#      x          Cp  
     1.00000    0.60739
     0.99537   -0.00037
     0.98793    0.12346
     0.97722    0.10087
     0.96424    0.07004
     0.95024    0.04918
     0.93610    0.02815
     0.92188    0.00798
     0.90763   -0.01352
     0.89340   -0.03190
     0.87917   -0.04483
     0.86497   -0.05064
     0.85092   -0.06173
     0.83708   -0.08750
     0.82384   -0.03190
     0.81170    0.07600
     0.80031    0.08966
     0.78875   -0.02354
     0.77621   -0.17003
     0.76274   -0.24221
     0.74911   -0.29584
     0.73557   -0.37479
     0.72201   -0.46266
     0.70840   -0.54589
     0.69478   -0.62869
     0.68121   -0.71780
     0.66771   -0.80964
     0.65426   -0.89404
     0.64076   -0.96891
     0.62720   -1.04129
     0.61363   -1.11383
     0.60006   -1.18031
     0.58647   -1.23152
     0.57279   -1.27200
     0.55901   -1.30824
     0.54517   -1.34200
     0.53129   -1.37185
     0.51735   -1.39772
     0.50336   -1.42189
     0.48934   -1.44889
     0.47533   -1.47600
     0.46131   -1.49700
     0.44726   -1.51114
     0.43314   -1.52668
     0.41901   -1.54906
     0.40490   -1.57271
     0.39081   -1.59300
     0.37672   -1.61190
     0.36261   -1.63323
     0.34852   -1.65689
     0.33446   -1.68100
     0.32043   -1.70508
     0.30643   -1.72769
     0.29244   -1.74751
     0.27846   -1.76905
     0.26453   -1.79724
     0.25067   -1.82502
     0.23686   -1.84497
     0.22307   -1.86369
     0.20931   -1.88905
     0.19563   -1.91573
     0.18202   -1.93817
     0.16845   -1.96235
     0.15493   -1.99315
     0.14150   -2.03322
     0.12821   -2.08360
     0.11506   -2.13604
     0.10207   -2.19256
     0.08924   -2.25878
     0.07662   -2.34290
     0.06428   -2.44944
     0.05234   -2.58132
     0.04087   -2.73990
     0.03013   -2.98008
     0.02068   -3.26161
     0.01315   -3.67838
     0.00802   -4.21774
     0.00478   -4.86932
     0.00262   -6.02400
     0.00120   -7.21719
     0.00033   -9.35223
    -0.00002  -11.56193
     0.00018   -9.22799
     0.00099   -4.96584
     0.00242   -2.37510
     0.00456   -0.68875
     0.00756    0.18444
     0.01200    0.69291
     0.01872    0.93404
     0.02806    0.99928
     0.03960    0.98036
     0.05255    0.93461
     0.06619    0.88582
     0.08016    0.83949
     0.09423    0.79755
     0.10839    0.76017
     0.12259    0.72697
     0.13688    0.69846
     0.15128    0.67243
     0.16570    0.64724
     0.18009    0.62438
     0.19449    0.60370
     0.20891    0.58478
     0.22336    0.56725
     0.23782    0.55066
     0.25227    0.53521
     0.26674    0.52101
     0.28122    0.50772
     0.29572    0.49508
     0.31024    0.48286
     0.32475    0.47073
     0.33926    0.45899
     0.35376    0.44782
     0.36827    0.43703
     0.38279    0.42637
     0.39729    0.41594
     0.41179    0.40602
     0.42631    0.39644
     0.44083    0.38652
     0.45532    0.37619
     0.46979    0.36661
     0.48427    0.35848
     0.49877    0.35055
     0.51328    0.34160
     0.52776    0.33247
     0.54222    0.32443
     0.55671    0.31709
     0.57121    0.30876
     0.58568    0.29921
     0.60011    0.29057
     0.61453    0.28405
     0.62898    0.27773
     0.64344    0.27001
     0.65787    0.26218
     0.67226    0.25572
     0.68666    0.25009
     0.70108    0.24473
     0.71553    0.23879
     0.72996    0.22875
     0.74429    0.21605
     0.75845    0.20454
     0.77243    0.19677
     0.78634    0.19929
     0.80029    0.21079
     0.81425    0.22336
     0.82807    0.24363
     0.84175    0.29001
     0.85545    0.33308
     0.86928    0.35061
     0.88327    0.36327
     0.89729    0.37590
     0.91125    0.38854
     0.92513    0.39876
     0.93892    0.40644
     0.95255    0.40975
     0.96594    0.40307
     0.97845    0.39479
     0.98836    0.34197
     0.99544    0.13741
     1.00000    0.60739
