#      x          Cp  
     1.00000    0.48899
     0.99503   -0.03828
     0.98853    0.05246
     0.98047    0.11575
     0.97009    0.06593
     0.95745    0.06032
     0.94327    0.03705
     0.92842    0.02268
     0.91336    0.00761
     0.89827   -0.00622
     0.88318   -0.02179
     0.86807   -0.03793
     0.85294   -0.05380
     0.83782   -0.06920
     0.82270   -0.08592
     0.80755   -0.10409
     0.79238   -0.12086
     0.77722   -0.13749
     0.76207   -0.15612
     0.74689   -0.17522
     0.73170   -0.19385
     0.71652   -0.21341
     0.70133   -0.23454
     0.68611   -0.25639
     0.67087   -0.27877
     0.65563   -0.30198
     0.64039   -0.32614
     0.62516   -0.35159
     0.60997   -0.37854
     0.59480   -0.40640
     0.57966   -0.43497
     0.56455   -0.46453
     0.54947   -0.49548
     0.53444   -0.52697
     0.51944   -0.55801
     0.50446   -0.58909
     0.48950   -0.62102
     0.47457   -0.65336
     0.45967   -0.68490
     0.44480   -0.71546
     0.42993   -0.74542
     0.41506   -0.77480
     0.40019   -0.80438
     0.38534   -0.83468
     0.37050   -0.86478
     0.35568   -0.89381
     0.34086   -0.92241
     0.32603   -0.95083
     0.31120   -0.97942
     0.29635   -1.00823
     0.28149   -1.03861
     0.26663   -1.07337
     0.25180   -1.11112
     0.23700   -1.14970
     0.22221   -1.19110
     0.20743   -1.23809
     0.19270   -1.28980
     0.17801   -1.34638
     0.16337   -1.41063
     0.14880   -1.48448
     0.13432   -1.56987
     0.11995   -1.66934
     0.10573   -1.78752
     0.09175   -1.93534
     0.07812   -2.11091
     0.06496   -2.33036
     0.05267   -2.62701
     0.04168   -2.99260
     0.03238   -3.44427
     0.02488   -3.96105
     0.01897   -4.51833
     0.01432   -5.14531
     0.01065   -5.80055
     0.00773   -6.49204
     0.00541   -7.16587
     0.00354   -7.93607
     0.00207   -8.78586
     0.00102   -9.17769
     0.00036   -9.02047
     0.00004   -8.49759
     0.00004   -7.18927
     0.00036   -5.38456
     0.00102   -3.70117
     0.00207   -2.19591
     0.00354   -1.01578
     0.00541   -0.23583
     0.00773    0.28022
     0.01065    0.62467
     0.01432    0.83744
     0.01897    0.95290
     0.02488    0.99725
     0.03238    0.99143
     0.04168    0.95310
     0.05267    0.89796
     0.06496    0.83801
     0.07812    0.77892
     0.09175    0.72429
     0.10573    0.67513
     0.11995    0.63018
     0.13432    0.58948
     0.14880    0.55250
     0.16337    0.51864
     0.17801    0.48741
     0.19270    0.45848
     0.20743    0.43189
     0.22221    0.40719
     0.23700    0.38372
     0.25180    0.36190
     0.26663    0.34204
     0.28149    0.32323
     0.29635    0.30478
     0.31120    0.28743
     0.32603    0.27152
     0.34086    0.25696
     0.35568    0.24380
     0.37050    0.23208
     0.38534    0.22202
     0.40019    0.21321
     0.41506    0.20519
     0.42993    0.19815
     0.44480    0.19240
     0.45967    0.18793
     0.47457    0.18488
     0.48950    0.18316
     0.50446    0.18213
     0.51944    0.18153
     0.53444    0.18173
     0.54947    0.18298
     0.56455    0.18468
     0.57966    0.18632
     0.59480    0.18807
     0.60997    0.19005
     0.62516    0.19208
     0.64039    0.19375
     0.65563    0.19514
     0.67087    0.19641
     0.68611    0.19759
     0.70133    0.19884
     0.71652    0.20000
     0.73170    0.20045
     0.74689    0.20053
     0.76207    0.20116
     0.77722    0.20169
     0.79238    0.20098
     0.80755    0.20042
     0.82270    0.20098
     0.83782    0.20052
     0.85294    0.19901
     0.86807    0.19770
     0.88318    0.19637
     0.89827    0.19427
     0.91336    0.19019
     0.92842    0.18632
     0.94327    0.18088
     0.95745    0.18228
     0.97009    0.16789
     0.98047    0.19438
     0.98853    0.11696
     0.99503    0.00742
     1.00000    0.48899
