#      x          Cp  
     1.00000    0.84135
     0.99602    0.92666
     0.99259    0.78001
     0.98856    0.63046
     0.98345    0.46563
     0.97728    0.33864
     0.97078    0.19304
     0.96460   -0.03299
     0.95878   -0.36194
     0.95308   -0.82501
     0.94723   -1.49787
     0.94098   -2.62781
     0.93379   -3.68682
     0.92495   -3.03406
     0.91444   -2.01115
     0.90281   -1.37339
     0.89015   -0.97431
     0.87644   -0.80360
     0.86153   -0.87889
     0.84472   -0.96014
     0.82558   -0.94584
     0.80403   -0.95501
     0.78030   -0.98958
     0.75497   -1.04075
     0.72895   -1.03325
     0.70285   -1.17501
     0.67631   -1.39711
     0.64998   -1.63386
     0.62457   -1.93103
     0.59997   -2.18626
     0.57550   -2.29471
     0.55080   -2.40718
     0.52621   -2.56857
     0.50187   -2.73189
     0.47782   -2.89613
     0.45409   -3.05088
     0.43064   -3.15695
     0.40723   -3.17458
     0.38390   -3.23744
     0.36097   -3.33766
     0.33865   -3.48894
     0.31734   -3.78170
     0.29713   -3.95502
     0.27764   -3.99121
     0.25879   -4.01832
     0.24051   -3.91679
     0.22256   -3.73136
     0.20498   -3.64849
     0.18799   -3.54066
     0.17158   -3.38113
     0.15577   -3.23274
     0.14067   -3.09618
     0.12641   -2.95033
     0.11302   -2.69800
     0.10037   -2.43548
     0.08847   -2.22786
     0.07743   -2.04910
     0.06734   -1.88536
     0.05822   -1.71780
     0.05001   -1.57255
     0.04270   -1.46065
     0.03628   -1.36251
     0.03073   -1.26979
     0.02602   -1.13880
     0.02207   -0.95015
     0.01866   -0.77651
     0.01565   -0.65305
     0.01296   -0.57095
     0.01061   -0.49996
     0.00858   -0.43788
     0.00688   -0.37810
     0.00548   -0.31181
     0.00438   -0.23230
     0.00354   -0.12507
     0.00289   -0.01926
     0.00234    0.07042
     0.00183    0.13888
     0.00132    0.18278
     0.00078    0.17392
     0.00030    0.13207
     0.00002    0.10922
     0.00005    0.16541
     0.00042    0.30539
     0.00098    0.43209
     0.00158    0.50178
     0.00218    0.54585
     0.00285    0.58387
     0.00365    0.62194
     0.00467    0.66791
     0.00599    0.72249
     0.00765    0.77706
     0.00969    0.82913
     0.01213    0.87686
     0.01496    0.91673
     0.01814    0.94712
     0.02167    0.96987
     0.02569    0.98722
     0.03041    0.99773
     0.03594    0.99971
     0.04222    0.99350
     0.04926    0.97891
     0.05719    0.95566
     0.06611    0.92370
     0.07610    0.88275
     0.08722    0.83296
     0.09947    0.77455
     0.11276    0.70160
     0.12700    0.61663
     0.14230    0.53227
     0.15860    0.43999
     0.17570    0.33736
     0.19348    0.22643
     0.21196    0.12186
     0.23117    0.02109
     0.25105   -0.07643
     0.27161   -0.16279
     0.29281   -0.24985
     0.31448   -0.33799
     0.33652   -0.42259
     0.35882   -0.50474
     0.38123   -0.59773
     0.40353   -0.69712
     0.42576   -0.77213
     0.44810   -0.80622
     0.47076   -0.81634
     0.49365   -0.83857
     0.51668   -0.84603
     0.53989   -0.84218
     0.56326   -0.82628
     0.58693   -0.76422
     0.61123   -0.67485
     0.63623   -0.61288
     0.66124   -0.58692
     0.68648   -0.45184
     0.71238   -0.32536
     0.73834   -0.27150
     0.76392   -0.23792
     0.78818   -0.19663
     0.81078   -0.19005
     0.83184   -0.23620
     0.85123   -0.30135
     0.86872   -0.36072
     0.88429   -0.45666
     0.89814   -0.56246
     0.91046   -0.61005
     0.92157   -0.94111
     0.93177   -1.61368
     0.94103   -2.53456
     0.94868   -3.20236
     0.95448   -2.14997
     0.95908   -0.97029
     0.96331   -0.28428
     0.96775    0.03294
     0.97240    0.25434
     0.97725    0.41486
     0.98219    0.55110
     0.98689    0.68644
     0.99127    0.80184
     0.99561    0.92454
     1.00000    0.84135
