#      x          Cp  
     1.00000    0.41036
     0.99291    0.14749
     0.98397    0.09044
     0.97317    0.14328
     0.96152    0.17087
     0.94976    0.03255
     0.93765    0.10913
     0.92480    0.11570
     0.91077    0.02405
     0.89611   -0.00004
     0.88144    0.03215
     0.86672    0.01581
     0.85174   -0.03108
     0.83646   -0.02599
     0.82134   -0.00457
     0.80702   -0.00149
     0.79354   -0.10140
     0.78046   -0.23228
     0.76722   -0.21943
     0.75332   -0.13222
     0.73874   -0.10838
     0.72376   -0.13006
     0.70852   -0.16569
     0.69306   -0.21368
     0.67767   -0.27839
     0.66264   -0.33035
     0.64792   -0.31195
     0.63334   -0.27943
     0.61878   -0.32108
     0.60413   -0.40899
     0.58929   -0.44966
     0.57430   -0.44155
     0.55931   -0.47377
     0.54445   -0.56474
     0.52968   -0.62967
     0.51482   -0.62041
     0.49979   -0.62065
     0.48475   -0.70272
     0.46980   -0.80543
     0.45477   -0.85616
     0.43943   -0.87728
     0.42383   -0.90573
     0.40816   -0.94166
     0.39248   -0.97752
     0.37675   -1.01527
     0.36105   -1.06516
     0.34551   -1.12171
     0.33005   -1.15948
     0.31443   -1.18440
     0.29877   -1.23376
     0.28332   -1.29676
     0.26797   -1.32349
     0.25237   -1.33605
     0.23666   -1.39249
     0.22118   -1.46550
     0.20590   -1.52508
     0.19067   -1.57601
     0.17545   -1.61951
     0.16013   -1.65946
     0.14470   -1.72793
     0.12967   -1.87375
     0.11493   -1.95439
     0.10010   -2.09051
     0.08637   -2.42757
     0.07331   -2.41234
     0.06038   -2.64738
     0.04901   -3.00181
     0.03865   -2.97961
     0.02986   -3.62200
     0.02305   -4.09420
     0.01767   -4.27727
     0.01337   -4.52193
     0.00999   -4.69510
     0.00735   -4.70658
     0.00526   -4.69455
     0.00357   -4.83179
     0.00221   -5.11208
     0.00116   -5.37402
     0.00043   -5.95651
     0.00005   -6.40104
     0.00005   -5.46177
     0.00043   -3.62185
     0.00116   -2.19703
     0.00221   -1.27284
     0.00357   -0.57073
     0.00526   -0.07878
     0.00735    0.28016
     0.00999    0.56481
     0.01337    0.78114
     0.01767    0.91867
     0.02305    0.98648
     0.02986    0.99838
     0.03865    0.97076
     0.04901    0.91242
     0.06038    0.84953
     0.07331    0.78214
     0.08637    0.70157
     0.10010    0.65799
     0.11493    0.60285
     0.12967    0.54850
     0.14470    0.51163
     0.16013    0.46738
     0.17545    0.42242
     0.19067    0.38236
     0.20590    0.34787
     0.22118    0.31938
     0.23666    0.29827
     0.25237    0.27568
     0.26797    0.24217
     0.28332    0.21542
     0.29877    0.20339
     0.31443    0.18888
     0.33005    0.16734
     0.34551    0.15263
     0.36105    0.14737
     0.37675    0.14129
     0.39248    0.13176
     0.40816    0.12295
     0.42383    0.11554
     0.43943    0.10598
     0.45477    0.09418
     0.46980    0.09834
     0.48475    0.13080
     0.49979    0.15531
     0.51482    0.13834
     0.52968    0.11629
     0.54445    0.13523
     0.55931    0.17052
     0.57430    0.17419
     0.58929    0.15495
     0.60413    0.16454
     0.61878    0.20385
     0.63334    0.21692
     0.64792    0.18457
     0.66264    0.16003
     0.67767    0.17988
     0.69306    0.20897
     0.70852    0.22836
     0.72376    0.24061
     0.73874    0.24420
     0.75332    0.21683
     0.76722    0.14449
     0.78046    0.12321
     0.79354    0.20553
     0.80702    0.26792
     0.82134    0.25524
     0.83646    0.22747
     0.85174    0.21091
     0.86672    0.23452
     0.88144    0.23496
     0.89611    0.19581
     0.91077    0.20076
     0.92480    0.26299
     0.93765    0.24465
     0.94976    0.16407
     0.96152    0.26993
     0.97317    0.22940
     0.98397    0.15999
     0.99291    0.19151
     1.00000    0.41036
