#      x          Cp  
     1.00000    0.48248
     0.98526    0.10502
     0.96830    0.17697
     0.95121    0.09529
     0.93404    0.14255
     0.91669    0.09917
     0.89908    0.08070
     0.88142    0.02049
     0.86362    0.01630
     0.84566    0.01714
     0.82747   -0.02948
     0.80917   -0.04735
     0.79096   -0.10212
     0.77280   -0.14137
     0.75464   -0.11415
     0.73642   -0.13758
     0.71807   -0.20136
     0.69968   -0.27646
     0.68130   -0.30133
     0.66284   -0.28901
     0.64424   -0.34003
     0.62545   -0.41646
     0.60655   -0.48233
     0.58761   -0.52598
     0.56861   -0.55547
     0.54960   -0.62344
     0.53068   -0.71352
     0.51195   -0.80577
     0.49329   -0.85708
     0.47447   -0.85345
     0.45549   -0.89587
     0.43661   -0.97437
     0.41780   -1.02187
     0.39899   -1.06577
     0.38025   -1.12935
     0.36159   -1.16494
     0.34288   -1.17024
     0.32414   -1.19361
     0.30548   -1.22596
     0.28695   -1.25705
     0.26871   -1.34919
     0.25102   -1.46135
     0.23376   -1.43338
     0.21681   -1.45053
     0.20042   -1.59328
     0.18468   -1.62432
     0.16953   -1.60789
     0.15514   -1.67166
     0.14169   -1.76526
     0.12926   -1.87064
     0.11784   -1.96234
     0.10737   -2.04322
     0.09780   -2.14479
     0.08907   -2.25497
     0.08112   -2.32002
     0.07382   -2.34556
     0.06712   -2.41461
     0.06094   -2.60335
     0.05528   -2.81328
     0.05009   -2.93742
     0.04530   -2.94147
     0.04085   -2.95660
     0.03668   -3.10137
     0.03279   -3.41628
     0.02919   -3.71674
     0.02591   -3.81547
     0.02289   -3.57889
     0.02005   -3.37527
     0.01731   -3.44663
     0.01467   -4.09412
     0.01222   -4.91124
     0.01003   -5.55605
     0.00817   -5.20182
     0.00654   -4.48675
     0.00502   -3.99545
     0.00352   -4.31500
     0.00211   -5.54430
     0.00099   -6.67367
     0.00029   -6.46907
     0.00009   -6.01332
     0.00000   -6.28593
     0.00029   -4.22798
     0.00096   -2.99270
     0.00206   -1.51067
     0.00344   -0.53663
     0.00492   -0.08766
     0.00642    0.10672
     0.00801    0.26776
     0.00982    0.45348
     0.01194    0.66589
     0.01434    0.81262
     0.01693    0.89911
     0.01961    0.94421
     0.02239    0.97225
     0.02534    0.99083
     0.02853    0.99951
     0.03201    0.99786
     0.03579    0.98880
     0.03985    0.97441
     0.04417    0.95424
     0.04880    0.92839
     0.05381    0.89953
     0.05927    0.87169
     0.06521    0.84437
     0.07166    0.81227
     0.07867    0.77393
     0.08629    0.73367
     0.09463    0.69668
     0.10377    0.66053
     0.11376    0.62188
     0.12467    0.58321
     0.13654    0.54821
     0.14940    0.51469
     0.16322    0.47990
     0.17788    0.43392
     0.19315    0.37927
     0.20902    0.35713
     0.22552    0.33676
     0.24242    0.27939
     0.25963    0.24768
     0.27736    0.24489
     0.29554    0.22279
     0.31389    0.19469
     0.33235    0.16958
     0.35085    0.13898
     0.36928    0.10889
     0.38772    0.09793
     0.40626    0.09157
     0.42482    0.07880
     0.44339    0.07785
     0.46208    0.08679
     0.48078    0.06975
     0.49929    0.04679
     0.51770    0.05954
     0.53624    0.08569
     0.55495    0.11142
     0.57372    0.12203
     0.59246    0.11830
     0.61114    0.12926
     0.62978    0.15188
     0.64828    0.18155
     0.66660    0.18846
     0.68480    0.16370
     0.70294    0.17324
     0.72109    0.20756
     0.73918    0.23383
     0.75714    0.22950
     0.77507    0.19836
     0.79298    0.21810
     0.81097    0.23979
     0.82902    0.23966
     0.84694    0.26128
     0.86464    0.24356
     0.88219    0.23634
     0.89960    0.26823
     0.91694    0.26892
     0.93402    0.29007
     0.95091    0.23422
     0.96769    0.28590
     0.98432    0.22120
     0.99891    0.48248
