#      x          Cp  
     1.00000    0.23346
     0.99101    0.11141
     0.97831    0.00389
     0.96331   -0.09424
     0.94644   -0.13898
     0.92830   -0.18365
     0.90923   -0.21168
     0.89002   -0.25269
     0.87056   -0.27576
     0.85141   -0.32586
     0.83233   -0.32493
     0.81325   -0.37576
     0.79459   -0.39752
     0.77582   -0.39317
     0.75730   -0.45723
     0.73924   -0.46443
     0.72125   -0.44189
     0.70346   -0.51280
     0.68602   -0.55427
     0.66864   -0.50979
     0.65131   -0.53953
     0.63426   -0.63377
     0.61739   -0.62659
     0.60053   -0.57857
     0.58377   -0.64750
     0.56725   -0.74790
     0.55083   -0.72047
     0.53443   -0.67475
     0.51823   -0.76728
     0.50237   -0.88774
     0.48665   -0.85745
     0.47096   -0.79129
     0.45549   -0.88170
     0.44044   -1.04239
     0.42566   -1.04622
     0.41093   -0.94175
     0.39633   -0.97236
     0.38214   -1.16975
     0.36833   -1.28943
     0.35465   -1.18076
     0.34103   -1.09272
     0.32774   -1.25522
     0.31498   -1.50877
     0.30260   -1.54463
     0.29031   -1.36641
     0.27811   -1.29632
     0.26625   -1.54981
     0.25485   -1.87191
     0.24370   -1.88667
     0.23244   -1.64243
     0.22091   -1.53888
     0.20921   -1.84604
     0.19730   -2.25881
     0.18459   -2.29848
     0.17015   -2.19795
     0.15447   -2.44652
     0.13942   -2.78486
     0.12550   -3.05153
     0.11184   -3.10259
     0.09844   -3.26490
     0.08683   -3.60358
     0.07653   -3.48652
     0.06691   -3.46065
     0.05873   -4.27774
     0.05205   -4.89382
     0.04619   -4.30510
     0.04053   -3.56359
     0.03493   -3.73478
     0.02974   -4.61792
     0.02516   -4.94953
     0.02100   -4.30461
     0.01702   -3.78678
     0.01336   -3.92837
     0.01027   -4.14649
     0.00775   -4.08750
     0.00568   -3.89624
     0.00400   -3.72632
     0.00263   -3.61560
     0.00155   -3.50206
     0.00073   -3.44900
     0.00017   -3.44180
    -0.00012   -3.35455
    -0.00011   -3.13241
     0.00021   -2.91742
     0.00095   -2.50365
     0.00228   -1.22692
     0.00412   -0.20900
     0.00631    0.37557
     0.00881    0.71733
     0.01160    0.89553
     0.01470    0.97538
     0.01816    0.99924
     0.02205    0.99511
     0.02652    0.98035
     0.03171    0.96368
     0.03771    0.94774
     0.04479    0.92482
     0.05345    0.89174
     0.06369    0.85773
     0.07472    0.84140
     0.08617    0.83058
     0.09850    0.78818
     0.11227    0.75966
     0.12765    0.74887
     0.14475    0.72017
     0.16240    0.70597
     0.17951    0.68274
     0.19674    0.64359
     0.21313    0.61217
     0.22773    0.61496
     0.24090    0.64477
     0.25325    0.64596
     0.26528    0.60085
     0.27728    0.55438
     0.28932    0.56608
     0.30142    0.59981
     0.31364    0.60117
     0.32610    0.55791
     0.33884    0.51707
     0.35179    0.53343
     0.36491    0.56481
     0.37823    0.55730
     0.39185    0.51275
     0.40577    0.48645
     0.41992    0.51188
     0.43424    0.53325
     0.44881    0.50643
     0.46368    0.46615
     0.47881    0.47125
     0.49408    0.49835
     0.50950    0.48845
     0.52517    0.44922
     0.54106    0.44260
     0.55706    0.46909
     0.57320    0.46612
     0.58960    0.43042
     0.60625    0.42423
     0.62301    0.44780
     0.63988    0.43872
     0.65702    0.40738
     0.67437    0.41449
     0.69179    0.43052
     0.70944    0.40795
     0.72736    0.39743
     0.74516    0.41705
     0.76296    0.40292
     0.78122    0.38251
     0.79963    0.39593
     0.81806    0.38106
     0.83679    0.37097
     0.85543    0.38079
     0.87423    0.36103
     0.89302    0.37192
     0.91171    0.35863
     0.93033    0.36208
     0.94813    0.35480
     0.96443    0.36212
     0.97875    0.34241
     0.99104    0.32614
     1.00000    0.23346
