#      x          Cp  
     1.00000    0.35020
     0.98865    0.22449
     0.97322    0.15565
     0.95543    0.11175
     0.93603    0.06112
     0.91573    0.01656
     0.89517   -0.01944
     0.87442   -0.07624
     0.85334   -0.12874
     0.83230   -0.17469
     0.81143   -0.23726
     0.79061   -0.28646
     0.76988   -0.34096
     0.74933   -0.41571
     0.72871   -0.45800
     0.70802   -0.52499
     0.68752   -0.60251
     0.66686   -0.64856
     0.64614   -0.73176
     0.62577   -0.82286
     0.60518   -0.87214
     0.58435   -0.96220
     0.56400   -1.07455
     0.54362   -1.14246
     0.52307   -1.25085
     0.50326   -1.40155
     0.48364   -1.47268
     0.46355   -1.56166
     0.44424   -1.76690
     0.42585   -1.88751
     0.40714   -1.90806
     0.38836   -2.02411
     0.37042   -2.12986
     0.35238   -2.02541
     0.33356   -2.00422
     0.31553   -2.19390
     0.29850   -2.15315
     0.28134   -1.99308
     0.26449   -2.18571
     0.24882   -2.36661
     0.23364   -2.13563
     0.21846   -2.06871
     0.20401   -2.41940
     0.19059   -2.47501
     0.17758   -2.12540
     0.16475   -2.16071
     0.15269   -2.61211
     0.14158   -2.62541
     0.13099   -2.19457
     0.12070   -2.17194
     0.11100   -2.71022
     0.10220   -2.98716
     0.09411   -2.51641
     0.08639   -2.13695
     0.07894   -2.45156
     0.07203   -3.14712
     0.06584   -3.40250
     0.06027   -2.76854
     0.05498   -2.22452
     0.04975   -2.27378
     0.04466   -3.06692
     0.03998   -3.94690
     0.03587   -3.81804
     0.03218   -2.92379
     0.02860   -2.26384
     0.02491   -2.28497
     0.02114   -3.07877
     0.01757   -4.03354
     0.01438   -4.29205
     0.01154   -4.13361
     0.00900   -4.08321
     0.00678   -4.30949
     0.00493   -4.45960
     0.00351   -4.19087
     0.00243   -3.64276
     0.00157   -3.19065
     0.00084   -3.05655
     0.00026   -3.33344
    -0.00007   -3.57689
    -0.00004   -3.52716
     0.00042   -2.93734
     0.00135   -1.98968
     0.00274   -0.91850
     0.00441   -0.27241
     0.00622    0.00050
     0.00819    0.22566
     0.01042    0.51425
     0.01292    0.76281
     0.01557    0.88181
     0.01821    0.92629
     0.02077    0.94335
     0.02335    0.96017
     0.02607    0.97971
     0.02909    0.99580
     0.03243    1.00000
     0.03603    0.99823
     0.03978    0.99418
     0.04365    0.98597
     0.04769    0.97038
     0.05204    0.94697
     0.05683    0.93072
     0.06210    0.92312
     0.06780    0.91506
     0.07386    0.88747
     0.08032    0.84193
     0.08733    0.80410
     0.09504    0.80115
     0.10346    0.80030
     0.11245    0.75677
     0.12197    0.68863
     0.13218    0.66873
     0.14323    0.68259
     0.15498    0.64584
     0.16719    0.56729
     0.18000    0.54809
     0.19365    0.56492
     0.20788    0.51341
     0.22234    0.44120
     0.23730    0.44874
     0.25302    0.45304
     0.26904    0.38305
     0.28515    0.34067
     0.30191    0.36247
     0.31927    0.33406
     0.33643    0.26736
     0.35369    0.26746
     0.37165    0.27912
     0.38944    0.21997
     0.40651    0.18495
     0.42403    0.22903
     0.44271    0.24759
     0.46140    0.22181
     0.47976    0.24336
     0.49858    0.28601
     0.51791    0.28021
     0.53722    0.27801
     0.55663    0.31311
     0.57638    0.32430
     0.59633    0.31826
     0.61625    0.34379
     0.63624    0.36073
     0.65653    0.35483
     0.67695    0.37240
     0.69731    0.38840
     0.71806    0.38587
     0.73896    0.40087
     0.75968    0.40976
     0.78075    0.41166
     0.80156    0.42814
     0.82222    0.42592
     0.84304    0.43687
     0.86328    0.44531
     0.88350    0.44710
     0.90328    0.45474
     0.92256    0.45832
     0.94098    0.46542
     0.95827    0.47096
     0.97417    0.46660
     0.98865    0.45352
     1.00000    0.35020
