#      x          Cp  
     1.00000    0.82190
     0.99339    0.06988
     0.98555    0.13108
     0.97662    0.24172
     0.96608    0.14438
     0.95385    0.07863
     0.94045    0.05135
     0.92604    0.03005
     0.91093   -0.01901
     0.89544   -0.06115
     0.87974   -0.09637
     0.86389   -0.12815
     0.84793   -0.15843
     0.83188   -0.18857
     0.81580   -0.21948
     0.79970   -0.25173
     0.78361   -0.28508
     0.76756   -0.31951
     0.75155   -0.35399
     0.73555   -0.38810
     0.71957   -0.42246
     0.70360   -0.45737
     0.68764   -0.49283
     0.67170   -0.52901
     0.65577   -0.56586
     0.63987   -0.60322
     0.62399   -0.64111
     0.60812   -0.67974
     0.59228   -0.71947
     0.57646   -0.75981
     0.56069   -0.80026
     0.54494   -0.84062
     0.52920   -0.88059
     0.51347   -0.91962
     0.49774   -0.95878
     0.48200   -0.99920
     0.46628   -1.04083
     0.45057   -1.08326
     0.43489   -1.12650
     0.41923   -1.17082
     0.40359   -1.21679
     0.38799   -1.26440
     0.37243   -1.31426
     0.35693   -1.36648
     0.34151   -1.41989
     0.32616   -1.47397
     0.31089   -1.52881
     0.29569   -1.58486
     0.28059   -1.64176
     0.26558   -1.69915
     0.25069   -1.75673
     0.23592   -1.81336
     0.22125   -1.86815
     0.20669   -1.92278
     0.19227   -1.97969
     0.17801   -2.03728
     0.16393   -2.09490
     0.15006   -2.15283
     0.13644   -2.21483
     0.12312   -2.27784
     0.11016   -2.33996
     0.09760   -2.39669
     0.08550   -2.44324
     0.07392   -2.47270
     0.06291   -2.47200
     0.05262   -2.47419
     0.04329   -2.50315
     0.03521   -2.59418
     0.02845   -2.75123
     0.02287   -2.96676
     0.01829   -3.24940
     0.01452   -3.52183
     0.01140   -3.79437
     0.00880   -4.05673
     0.00661   -4.30016
     0.00475   -4.62333
     0.00319   -5.03548
     0.00195   -5.34718
     0.00104   -5.46960
     0.00042   -5.38589
     0.00008   -5.13250
     0.00001   -4.59848
     0.00019   -3.73410
     0.00063   -2.83243
     0.00137   -1.96540
     0.00241   -1.17773
     0.00378   -0.52674
     0.00545   -0.03034
     0.00744    0.32758
     0.00978    0.58915
     0.01254    0.77309
     0.01580    0.89271
     0.01966    0.96286
     0.02423    0.99487
     0.02968    0.99864
     0.03619    0.98154
     0.04399    0.94889
     0.05326    0.90552
     0.06406    0.85537
     0.07621    0.80212
     0.08939    0.74817
     0.10322    0.69543
     0.11737    0.64539
     0.13175    0.60128
     0.14637    0.56290
     0.16124    0.52951
     0.17636    0.50052
     0.19171    0.47514
     0.20729    0.45220
     0.22302    0.43016
     0.23883    0.40959
     0.25470    0.39035
     0.27063    0.37235
     0.28659    0.35527
     0.30257    0.33919
     0.31855    0.32401
     0.33453    0.30987
     0.35051    0.29722
     0.36652    0.28600
     0.38255    0.27551
     0.39860    0.26544
     0.41463    0.25632
     0.43067    0.24865
     0.44673    0.24210
     0.46283    0.23629
     0.47895    0.23115
     0.49508    0.22669
     0.51124    0.22288
     0.52743    0.21966
     0.54363    0.21697
     0.55987    0.21474
     0.57612    0.21281
     0.59239    0.21113
     0.60868    0.20986
     0.62499    0.20907
     0.64132    0.20858
     0.65768    0.20820
     0.67407    0.20785
     0.69047    0.20739
     0.70688    0.20676
     0.72329    0.20607
     0.73968    0.20529
     0.75606    0.20483
     0.77244    0.20507
     0.78883    0.20569
     0.80521    0.20631
     0.82158    0.20745
     0.83795    0.21001
     0.85436    0.21300
     0.87075    0.21531
     0.88708    0.21863
     0.90329    0.22384
     0.91929    0.22818
     0.93472    0.24065
     0.94905    0.25934
     0.96229    0.24720
     0.97414    0.18290
     0.98422    0.12489
     0.99295    0.14161
     1.00000    0.82190
