#      x          Cp  
     0.99998    0.54520
     0.99247    0.28457
     0.98279    0.22823
     0.97178    0.17807
     0.95928    0.13676
     0.94534    0.09940
     0.93100    0.06654
     0.91682    0.03734
     0.90242    0.00979
     0.88790   -0.01674
     0.87347   -0.04233
     0.85900   -0.06749
     0.84443   -0.09247
     0.82988   -0.11740
     0.81535   -0.14309
     0.80079   -0.17086
     0.78627   -0.20423
     0.77189   -0.23954
     0.75765   -0.27313
     0.74347   -0.29906
     0.72925   -0.31413
     0.71491   -0.32529
     0.70044   -0.33544
     0.68588   -0.34928
     0.67129   -0.36543
     0.65671   -0.38230
     0.64216   -0.39935
     0.62761   -0.41635
     0.61305   -0.43376
     0.59847   -0.45186
     0.58388   -0.47117
     0.56929   -0.49142
     0.55470   -0.51247
     0.54013   -0.53425
     0.52556   -0.55683
     0.51099   -0.58038
     0.49642   -0.60517
     0.48184   -0.63156
     0.46724   -0.65975
     0.45265   -0.69011
     0.43811   -0.72512
     0.42368   -0.76334
     0.40935   -0.80094
     0.39508   -0.83348
     0.38075   -0.85494
     0.36630   -0.87398
     0.35172   -0.89583
     0.33713   -0.93204
     0.32264   -0.97917
     0.30832   -1.02767
     0.29413   -1.06961
     0.27993   -1.09666
     0.26563   -1.12047
     0.25120   -1.14676
     0.23670   -1.18539
     0.22223   -1.23560
     0.20784   -1.29368
     0.19349   -1.35977
     0.17909   -1.43556
     0.16461   -1.52684
     0.15020   -1.64248
     0.13614   -1.81625
     0.12269   -2.02218
     0.10987   -2.22713
     0.09751   -2.40487
     0.08539   -2.50751
     0.07335   -2.57977
     0.06142   -2.65839
     0.04982   -2.75620
     0.03882   -2.92531
     0.02892   -3.14598
     0.02063   -3.46946
     0.01424   -3.89428
     0.00977   -4.41286
     0.00663   -5.06688
     0.00429   -5.73181
     0.00254   -6.55510
     0.00131   -7.45380
     0.00052   -8.26027
     0.00009   -8.67484
     0.00001   -7.93424
     0.00029   -5.79324
     0.00092   -3.71647
     0.00193   -2.08714
     0.00340   -0.90850
     0.00544   -0.10037
     0.00811    0.43083
     0.01165    0.75233
     0.01660    0.92914
     0.02354    0.99660
     0.03260    0.98733
     0.04353    0.93846
     0.05560    0.87710
     0.06830    0.81532
     0.08148    0.75806
     0.09499    0.70676
     0.10871    0.66153
     0.12260    0.62170
     0.13663    0.58702
     0.15078    0.55675
     0.16504    0.52979
     0.17942    0.50563
     0.19388    0.48368
     0.20842    0.46260
     0.22298    0.44170
     0.23753    0.42165
     0.25209    0.40253
     0.26664    0.38445
     0.28121    0.36715
     0.29579    0.35036
     0.31038    0.33368
     0.32497    0.31700
     0.33954    0.30059
     0.35410    0.28451
     0.36866    0.26882
     0.38324    0.25328
     0.39781    0.23763
     0.41234    0.22081
     0.42680    0.20351
     0.44118    0.18713
     0.45550    0.17325
     0.46981    0.16352
     0.48416    0.15588
     0.49856    0.14951
     0.51300    0.14335
     0.52746    0.13752
     0.54191    0.13240
     0.55636    0.12831
     0.57083    0.12543
     0.58532    0.12312
     0.59985    0.12096
     0.61439    0.11823
     0.62895    0.11520
     0.64350    0.11216
     0.65804    0.10919
     0.67258    0.10632
     0.68711    0.10349
     0.70165    0.10061
     0.71619    0.09746
     0.73073    0.09421
     0.74525    0.09095
     0.75975    0.08732
     0.77419    0.08359
     0.78859    0.08058
     0.80295    0.07900
     0.81730    0.07978
     0.83165    0.08223
     0.84600    0.08620
     0.86032    0.09186
     0.87459    0.09904
     0.88882    0.10742
     0.90312    0.11658
     0.91760    0.12626
     0.93203    0.13848
     0.94642    0.15517
     0.95999    0.17802
     0.97220    0.20742
     0.98301    0.24735
     0.99257    0.29542
     1.00000    0.54520
