#      x          Cp  
     0.99998    0.49526
     0.99260    0.25598
     0.98308    0.20428
     0.97224    0.15903
     0.95989    0.12186
     0.94609    0.08859
     0.93188    0.05990
     0.91784    0.03486
     0.90357    0.01164
     0.88918   -0.01014
     0.87490   -0.03080
     0.86060   -0.05115
     0.84623   -0.07200
     0.83181   -0.09405
     0.81737   -0.11725
     0.80295   -0.14204
     0.78857   -0.17045
     0.77425   -0.20120
     0.75996   -0.23213
     0.74570   -0.26081
     0.73143   -0.28478
     0.71714   -0.30677
     0.70282   -0.32774
     0.68847   -0.34876
     0.67412   -0.36989
     0.65976   -0.39083
     0.64540   -0.41149
     0.63103   -0.43178
     0.61665   -0.45218
     0.60225   -0.47305
     0.58785   -0.49528
     0.57346   -0.51856
     0.55910   -0.54220
     0.54473   -0.56555
     0.53035   -0.58802
     0.51595   -0.61095
     0.50153   -0.63527
     0.48712   -0.66340
     0.47276   -0.69407
     0.45845   -0.72515
     0.44418   -0.75441
     0.42989   -0.77991
     0.41557   -0.80497
     0.40122   -0.83130
     0.38687   -0.86300
     0.37257   -0.89799
     0.35834   -0.93286
     0.34417   -0.96384
     0.33000   -0.98754
     0.31579   -1.00930
     0.30152   -1.03149
     0.28720   -1.05739
     0.27284   -1.08746
     0.25847   -1.12154
     0.24412   -1.16158
     0.22981   -1.20963
     0.21554   -1.26405
     0.20133   -1.32520
     0.18714   -1.39520
     0.17298   -1.47499
     0.15888   -1.56576
     0.14490   -1.67573
     0.13117   -1.81409
     0.11777   -1.96309
     0.10470   -2.11427
     0.09192   -2.25451
     0.07939   -2.38159
     0.06708   -2.50331
     0.05504   -2.63082
     0.04339   -2.82238
     0.03252   -3.10202
     0.02319   -3.48205
     0.01587   -4.04610
     0.01074   -4.59433
     0.00720   -5.25123
     0.00464   -6.18210
     0.00274   -7.10765
     0.00143   -8.13009
     0.00058   -9.09908
     0.00011   -9.68592
     0.00000   -9.04929
     0.00028   -6.61119
     0.00092   -4.18005
     0.00197   -2.31205
     0.00351   -0.99322
     0.00568   -0.10335
     0.00856    0.47023
     0.01250    0.78740
     0.01816    0.95244
     0.02612    0.99995
     0.03623    0.97491
     0.04794    0.91930
     0.06042    0.85751
     0.07339    0.79812
     0.08674    0.74446
     0.10033    0.69734
     0.11412    0.65612
     0.12808    0.62022
     0.14219    0.58892
     0.15641    0.56063
     0.17071    0.53403
     0.18505    0.50952
     0.19940    0.48684
     0.21377    0.46554
     0.22816    0.44551
     0.24256    0.42664
     0.25698    0.40876
     0.27141    0.39170
     0.28585    0.37541
     0.30029    0.35975
     0.31474    0.34456
     0.32919    0.32984
     0.34364    0.31558
     0.35809    0.30181
     0.37255    0.28846
     0.38703    0.27525
     0.40151    0.26184
     0.41597    0.24745
     0.43041    0.23285
     0.44480    0.21855
     0.45915    0.20509
     0.47346    0.19277
     0.48774    0.18162
     0.50201    0.17212
     0.51629    0.16528
     0.53060    0.16000
     0.54494    0.15558
     0.55932    0.15124
     0.57372    0.14676
     0.58813    0.14249
     0.60253    0.13840
     0.61693    0.13441
     0.63132    0.13062
     0.64572    0.12711
     0.66011    0.12394
     0.67451    0.12108
     0.68891    0.11843
     0.70331    0.11582
     0.71771    0.11303
     0.73211    0.11036
     0.74649    0.10792
     0.76084    0.10556
     0.77515    0.10363
     0.78942    0.10272
     0.80367    0.10371
     0.81795    0.10754
     0.83227    0.11277
     0.84663    0.11877
     0.86098    0.12465
     0.87526    0.13054
     0.88951    0.13684
     0.90383    0.14341
     0.91818    0.15030
     0.93234    0.15889
     0.94662    0.17078
     0.96024    0.18751
     0.97245    0.20946
     0.98319    0.23993
     0.99266    0.27812
     1.00000    0.49526
