#      x          Cp  
     0.99999    0.44059
     0.99275    0.22667
     0.98341    0.18073
     0.97277    0.14131
     0.96063    0.10913
     0.94699    0.08073
     0.93297    0.05692
     0.91914    0.03688
     0.90508    0.01910
     0.89086    0.00422
     0.87680   -0.00857
     0.86279   -0.02147
     0.84876   -0.03657
     0.83468   -0.05692
     0.82058   -0.08052
     0.80645   -0.10658
     0.79230   -0.13532
     0.77814   -0.16639
     0.76396   -0.19869
     0.74978   -0.23128
     0.73561   -0.26252
     0.72146   -0.29279
     0.70734   -0.32212
     0.69324   -0.34954
     0.67913   -0.37475
     0.66500   -0.39901
     0.65086   -0.42285
     0.63671   -0.44710
     0.62256   -0.47141
     0.60842   -0.49534
     0.59428   -0.51827
     0.58013   -0.53981
     0.56596   -0.56107
     0.55177   -0.58265
     0.53756   -0.60572
     0.52336   -0.63004
     0.50916   -0.65514
     0.49497   -0.68118
     0.48079   -0.70830
     0.46663   -0.73593
     0.45248   -0.76375
     0.43835   -0.79152
     0.42425   -0.81885
     0.41016   -0.84528
     0.39608   -0.86964
     0.38200   -0.89037
     0.36790   -0.90969
     0.35377   -0.92868
     0.33961   -0.94830
     0.32541   -0.96926
     0.31120   -0.99228
     0.29698   -1.01890
     0.28276   -1.05150
     0.26856   -1.08833
     0.25439   -1.12886
     0.24026   -1.17345
     0.22616   -1.22232
     0.21209   -1.27557
     0.19806   -1.33429
     0.18408   -1.40070
     0.17017   -1.47375
     0.15634   -1.55352
     0.14260   -1.64335
     0.12896   -1.74482
     0.11545   -1.85494
     0.10211   -1.97439
     0.08899   -2.10941
     0.07613   -2.25882
     0.06351   -2.41996
     0.05116   -2.61414
     0.03935   -2.91309
     0.02863   -3.30023
     0.01952   -3.88752
     0.01275   -4.60728
     0.00831   -5.42420
     0.00530   -6.50479
     0.00312   -7.56248
     0.00164   -8.79223
     0.00068  -10.07530
     0.00014  -11.04585
    -0.00001  -10.70928
     0.00025   -7.84321
     0.00091   -4.79829
     0.00202   -2.55137
     0.00368   -1.03479
     0.00607   -0.04696
     0.00934    0.54873
     0.01412    0.85436
     0.02135    0.98516
     0.03101    0.99349
     0.04236    0.94753
     0.05471    0.88678
     0.06761    0.82687
     0.08090    0.77293
     0.09447    0.72559
     0.10826    0.68402
     0.12218    0.64713
     0.13621    0.61474
     0.15031    0.58600
     0.16445    0.55957
     0.17864    0.53534
     0.19285    0.51313
     0.20709    0.49250
     0.22134    0.47316
     0.23561    0.45507
     0.24989    0.43810
     0.26419    0.42209
     0.27850    0.40689
     0.29282    0.39234
     0.30716    0.37815
     0.32149    0.36416
     0.33581    0.35056
     0.35014    0.33741
     0.36448    0.32502
     0.37885    0.31276
     0.39325    0.30003
     0.40763    0.28519
     0.42196    0.26798
     0.43621    0.25060
     0.45037    0.23430
     0.46450    0.22133
     0.47862    0.21051
     0.49276    0.20109
     0.50692    0.19288
     0.52111    0.18570
     0.53532    0.17929
     0.54954    0.17343
     0.56376    0.16774
     0.57798    0.16236
     0.59220    0.15740
     0.60643    0.15297
     0.62065    0.14906
     0.63489    0.14551
     0.64913    0.14218
     0.66337    0.13873
     0.67761    0.13539
     0.69184    0.13236
     0.70606    0.12968
     0.72026    0.12747
     0.73444    0.12597
     0.74861    0.12549
     0.76279    0.12684
     0.77697    0.12939
     0.79118    0.13252
     0.80543    0.13572
     0.81971    0.13868
     0.83402    0.14172
     0.84833    0.14485
     0.86258    0.14794
     0.87673    0.15118
     0.89085    0.15483
     0.90508    0.15907
     0.91919    0.16412
     0.93307    0.17047
     0.94713    0.17907
     0.96072    0.19090
     0.97284    0.20644
     0.98346    0.22850
     0.99278    0.25755
     1.00000    0.44059
