#      x          Cp  
     0.99999    0.41383
     0.99299    0.20773
     0.98396    0.16170
     0.97364    0.12176
     0.96184    0.08831
     0.94851    0.05774
     0.93475    0.03092
     0.92122    0.00740
     0.90749   -0.01459
     0.89348   -0.03597
     0.87956   -0.05654
     0.86564   -0.07604
     0.85164   -0.09416
     0.83758   -0.10923
     0.82352   -0.12286
     0.80950   -0.13667
     0.79553   -0.15250
     0.78159   -0.17186
     0.76765   -0.19391
     0.75370   -0.21909
     0.73976   -0.25013
     0.72584   -0.28548
     0.71194   -0.32203
     0.69807   -0.35704
     0.68419   -0.38654
     0.67031   -0.41337
     0.65642   -0.43855
     0.64250   -0.46250
     0.62858   -0.48553
     0.61465   -0.50785
     0.60071   -0.52964
     0.58675   -0.55083
     0.57276   -0.57209
     0.55876   -0.59413
     0.54474   -0.61876
     0.53075   -0.64710
     0.51680   -0.67626
     0.50289   -0.70483
     0.48900   -0.72998
     0.47511   -0.75223
     0.46122   -0.77293
     0.44730   -0.79220
     0.43338   -0.81000
     0.41944   -0.82690
     0.40549   -0.84321
     0.39152   -0.85871
     0.37753   -0.87397
     0.36350   -0.89046
     0.34945   -0.90970
     0.33539   -0.93478
     0.32135   -0.96366
     0.30734   -0.99519
     0.29335   -1.02882
     0.27940   -1.06432
     0.26546   -1.10195
     0.25153   -1.14196
     0.23763   -1.18490
     0.22375   -1.23084
     0.20989   -1.27992
     0.19607   -1.33306
     0.18230   -1.39133
     0.16860   -1.45392
     0.15495   -1.52102
     0.14134   -1.59327
     0.12775   -1.67227
     0.11421   -1.76086
     0.10075   -1.86390
     0.08746   -1.99331
     0.07436   -2.15031
     0.06135   -2.34447
     0.04858   -2.61285
     0.03665   -3.02792
     0.02591   -3.56491
     0.01651   -4.38988
     0.01007   -5.46768
     0.00618   -6.96578
     0.00357   -8.33191
     0.00185   -9.87647
     0.00076  -11.69931
     0.00016  -13.38096
    -0.00002  -13.53604
     0.00025   -9.75728
     0.00098   -5.54847
     0.00224   -2.69878
     0.00419   -0.92769
     0.00710    0.15351
     0.01143    0.70900
     0.01845    0.95322
     0.02843    0.99900
     0.03986    0.96151
     0.05227    0.90341
     0.06528    0.84623
     0.07869    0.79599
     0.09236    0.75210
     0.10620    0.71372
     0.12013    0.67936
     0.13413    0.64894
     0.14816    0.62180
     0.16221    0.59702
     0.17628    0.57427
     0.19037    0.55329
     0.20449    0.53366
     0.21861    0.51502
     0.23275    0.49737
     0.24688    0.48056
     0.26102    0.46442
     0.27516    0.44886
     0.28930    0.43386
     0.30344    0.41937
     0.31758    0.40534
     0.33173    0.39159
     0.34588    0.37795
     0.36005    0.36411
     0.37420    0.34996
     0.38836    0.33540
     0.40251    0.31980
     0.41663    0.30231
     0.43066    0.28459
     0.44463    0.26768
     0.45856    0.25376
     0.47248    0.24288
     0.48643    0.23341
     0.50042    0.22477
     0.51442    0.21615
     0.52843    0.20797
     0.54242    0.20048
     0.55641    0.19405
     0.57040    0.18876
     0.58441    0.18410
     0.59843    0.17982
     0.61246    0.17537
     0.62648    0.17104
     0.64050    0.16711
     0.65451    0.16377
     0.66851    0.16116
     0.68251    0.15924
     0.69650    0.15808
     0.71050    0.15802
     0.72451    0.15887
     0.73854    0.16035
     0.75257    0.16241
     0.76663    0.16506
     0.78070    0.16784
     0.79479    0.17043
     0.80890    0.17203
     0.82300    0.17279
     0.83708    0.17337
     0.85119    0.17407
     0.86523    0.17522
     0.87919    0.17672
     0.89315    0.17858
     0.90719    0.18081
     0.92097    0.18357
     0.93454    0.18726
     0.94833    0.19262
     0.96171    0.20048
     0.97357    0.21143
     0.98392    0.22786
     0.99298    0.25090
     1.00000    0.41383
