#      x          Cp  
     0.99999    0.38816
     0.94988    0.03458
     0.89976   -0.03942
     0.84965   -0.11638
     0.79954   -0.18744
     0.74942   -0.26841
     0.69931   -0.36614
     0.64921   -0.45725
     0.59912   -0.52759
     0.54905   -0.62399
     0.49900   -0.72003
     0.44897   -0.78611
     0.39896   -0.82557
     0.34897   -0.90630
     0.29899   -1.01207
     0.24902   -1.14531
     0.19909   -1.30885
     0.14919   -1.51587
     0.09933   -1.81423
     0.07441   -2.09091
     0.04952   -2.53333
     0.02467   -3.62411
     0.01227   -5.22468
     0.00732   -6.59325
     0.00485   -8.28537
     0.00000  -15.73090
     0.00511    0.07132
     0.00763    0.31667
     0.01267    0.80781
     0.02523    0.99998
     0.05030    0.90577
     0.07534    0.81633
     0.10036    0.74081
     0.15040    0.63267
     0.20044    0.55547
     0.25047    0.49266
     0.30050    0.43921
     0.35053    0.38796
     0.40056    0.33263
     0.45059    0.27035
     0.50059    0.23546
     0.55058    0.20551
     0.60055    0.18703
     0.65050    0.17503
     0.70044    0.17197
     0.75037    0.18095
     0.80030    0.18447
     0.85022    0.18491
     0.90015    0.18561
     0.95007    0.18921
     1.00000    0.38816
