#      x          Cp  
     0.99999    0.40255
     0.99309    0.19961
     0.98418    0.15334
     0.97401    0.11299
     0.96235    0.07890
     0.94915    0.04738
     0.93545    0.01936
     0.92202   -0.00533
     0.90839   -0.02851
     0.89447   -0.05090
     0.88061   -0.07233
     0.86675   -0.09312
     0.85281   -0.11360
     0.83882   -0.13378
     0.82485   -0.15383
     0.81086   -0.17412
     0.79685   -0.19514
     0.78286   -0.21734
     0.76887   -0.24035
     0.75489   -0.26417
     0.74091   -0.28914
     0.72694   -0.31504
     0.71299   -0.34126
     0.69906   -0.36741
     0.68516   -0.39288
     0.67128   -0.41771
     0.65740   -0.44171
     0.64352   -0.46366
     0.62961   -0.48343
     0.61566   -0.50308
     0.60169   -0.52389
     0.58772   -0.54892
     0.57377   -0.57641
     0.55985   -0.60450
     0.54597   -0.63175
     0.53211   -0.65688
     0.51825   -0.68079
     0.50440   -0.70350
     0.49053   -0.72442
     0.47667   -0.74365
     0.46280   -0.76160
     0.44892   -0.77805
     0.43502   -0.79214
     0.42109   -0.80563
     0.40712   -0.81981
     0.39314   -0.83690
     0.37914   -0.85775
     0.36515   -0.88076
     0.35118   -0.90578
     0.33722   -0.93303
     0.32327   -0.96221
     0.30934   -0.99314
     0.29542   -1.02582
     0.28152   -1.06034
     0.26764   -1.09676
     0.25377   -1.13530
     0.23992   -1.17665
     0.22610   -1.22080
     0.21230   -1.26750
     0.19854   -1.31696
     0.18482   -1.36960
     0.17115   -1.42569
     0.15751   -1.48590
     0.14391   -1.55119
     0.13032   -1.62331
     0.11676   -1.70513
     0.10326   -1.80109
     0.08986   -1.92209
     0.07662   -2.07484
     0.06347   -2.27792
     0.05054   -2.55349
     0.03833   -2.96896
     0.02723   -3.52272
     0.01734   -4.43985
     0.01044   -5.69248
     0.00636   -7.35201
     0.00366   -8.71262
     0.00189  -10.31100
     0.00077  -12.27096
     0.00015  -14.17241
    -0.00003  -14.57381
     0.00024  -10.57757
     0.00099   -5.89378
     0.00229   -2.80819
     0.00431   -0.93734
     0.00732    0.19751
     0.01189    0.74275
     0.01928    0.96778
     0.02951    0.99646
     0.04137    0.95468
     0.05445    0.90004
     0.06806    0.84712
     0.08176    0.80058
     0.09555    0.76011
     0.10949    0.72414
     0.12351    0.69187
     0.13756    0.66297
     0.15161    0.63672
     0.16567    0.61229
     0.17972    0.58956
     0.19378    0.56834
     0.20785    0.54846
     0.22192    0.52974
     0.23599    0.51202
     0.25007    0.49516
     0.26416    0.47904
     0.27825    0.46352
     0.29234    0.44847
     0.30644    0.43374
     0.32054    0.41919
     0.33464    0.40464
     0.34873    0.38984
     0.36282    0.37408
     0.37689    0.35779
     0.39094    0.34134
     0.40496    0.32485
     0.41893    0.30852
     0.43286    0.29286
     0.44675    0.27839
     0.46064    0.26662
     0.47454    0.25690
     0.48847    0.24819
     0.50244    0.23976
     0.51641    0.23077
     0.53037    0.22207
     0.54431    0.21400
     0.55823    0.20718
     0.57216    0.20161
     0.58609    0.19682
     0.60003    0.19266
     0.61399    0.18896
     0.62796    0.18570
     0.64194    0.18283
     0.65591    0.18010
     0.66986    0.17750
     0.68380    0.17558
     0.69772    0.17480
     0.71166    0.17639
     0.72563    0.17937
     0.73965    0.18270
     0.75371    0.18539
     0.76777    0.18663
     0.78184    0.18732
     0.79590    0.18765
     0.80997    0.18767
     0.82402    0.18752
     0.83805    0.18735
     0.85210    0.18731
     0.86610    0.18755
     0.88001    0.18805
     0.89393    0.18887
     0.90791    0.19012
     0.92161    0.19194
     0.93510    0.19459
     0.94883    0.19866
     0.96213    0.20487
     0.97388    0.21390
     0.98411    0.22798
     0.99307    0.24850
     1.00000    0.40255
