#      x          Cp  
     0.99999    0.40329
     0.99299    0.19935
     0.98394    0.15285
     0.97361    0.11224
     0.96176    0.07787
     0.94838    0.04609
     0.93451    0.01773
     0.92087   -0.00737
     0.90703   -0.03100
     0.89292   -0.05382
     0.87890   -0.07565
     0.86486   -0.09687
     0.85074   -0.11777
     0.83658   -0.13826
     0.82243   -0.15874
     0.80827   -0.17967
     0.79411   -0.20203
     0.77997   -0.22614
     0.76584   -0.25100
     0.75173   -0.27620
     0.73763   -0.30107
     0.72352   -0.32577
     0.70943   -0.35048
     0.69534   -0.37535
     0.68129   -0.40036
     0.66726   -0.42489
     0.65324   -0.44836
     0.63921   -0.46868
     0.62514   -0.48721
     0.61102   -0.50606
     0.59687   -0.52770
     0.58273   -0.55471
     0.56864   -0.58345
     0.55460   -0.61221
     0.54060   -0.63825
     0.52662   -0.66155
     0.51264   -0.68343
     0.49864   -0.70385
     0.48462   -0.72248
     0.47058   -0.74011
     0.45653   -0.75726
     0.44246   -0.77431
     0.42838   -0.79163
     0.41429   -0.80949
     0.40018   -0.82840
     0.38606   -0.84918
     0.37193   -0.87168
     0.35781   -0.89597
     0.34369   -0.92299
     0.32959   -0.95306
     0.31552   -0.98500
     0.30147   -1.01840
     0.28745   -1.05252
     0.27343   -1.08788
     0.25943   -1.12513
     0.24544   -1.16521
     0.23147   -1.20894
     0.21754   -1.25548
     0.20365   -1.30488
     0.18979   -1.35731
     0.17598   -1.41325
     0.16221   -1.47332
     0.14849   -1.53875
     0.13480   -1.61136
     0.12116   -1.69308
     0.10758   -1.78721
     0.09408   -1.90193
     0.08071   -2.04613
     0.06751   -2.23735
     0.05460   -2.49140
     0.04222   -2.86494
     0.03086   -3.36658
     0.02107   -4.11228
     0.01363   -5.09916
     0.00880   -6.22751
     0.00562   -7.57954
     0.00333   -8.65086
     0.00176   -9.93430
     0.00074  -11.38471
     0.00015  -12.63040
    -0.00004  -12.70782
     0.00019   -9.69875
     0.00086   -5.85034
     0.00200   -3.08570
     0.00371   -1.28701
     0.00615   -0.10834
     0.00951    0.55958
     0.01442    0.87019
     0.02178    0.99151
     0.03188    0.98880
     0.04435    0.94166
     0.05803    0.88807
     0.07187    0.83547
     0.08564    0.78943
     0.09955    0.74956
     0.11364    0.71356
     0.12781    0.68123
     0.14199    0.65222
     0.15616    0.62587
     0.17034    0.60158
     0.18452    0.57910
     0.19874    0.55810
     0.21296    0.53819
     0.22719    0.51931
     0.24142    0.50145
     0.25565    0.48465
     0.26988    0.46885
     0.28411    0.45367
     0.29837    0.43880
     0.31264    0.42379
     0.32689    0.40861
     0.34115    0.39315
     0.35541    0.37663
     0.36963    0.35885
     0.38377    0.34113
     0.39785    0.32432
     0.41190    0.31022
     0.42596    0.29801
     0.44005    0.28678
     0.45416    0.27596
     0.46828    0.26510
     0.48239    0.25473
     0.49649    0.24502
     0.51058    0.23641
     0.52467    0.22869
     0.53878    0.22155
     0.55290    0.21466
     0.56701    0.20772
     0.58110    0.20124
     0.59518    0.19555
     0.60925    0.19136
     0.62335    0.18845
     0.63747    0.18612
     0.65160    0.18383
     0.66573    0.18083
     0.67983    0.17819
     0.69390    0.17653
     0.70797    0.17747
     0.72206    0.18071
     0.73621    0.18450
     0.75041    0.18781
     0.76464    0.18910
     0.77888    0.18945
     0.79311    0.18940
     0.80735    0.18925
     0.82157    0.18911
     0.83577    0.18900
     0.84998    0.18896
     0.86418    0.18905
     0.87828    0.18934
     0.89236    0.18994
     0.90653    0.19098
     0.92044    0.19261
     0.93414    0.19510
     0.94806    0.19902
     0.96154    0.20510
     0.97347    0.21405
     0.98387    0.22809
     0.99296    0.24858
     1.00000    0.40329
