#      x          Cp  
     1.00000    0.40428
     0.99278    0.19807
     0.98344    0.15092
     0.97277    0.10961
     0.96053    0.07451
     0.94671    0.04194
     0.93223    0.01244
     0.91794   -0.01386
     0.90343   -0.03865
     0.88880   -0.06217
     0.87425   -0.08470
     0.85965   -0.10694
     0.84497   -0.12971
     0.83026   -0.15340
     0.81556   -0.17737
     0.80089   -0.20138
     0.78625   -0.22511
     0.77161   -0.24888
     0.75697   -0.27292
     0.74236   -0.29792
     0.72779   -0.32361
     0.71328   -0.34883
     0.69879   -0.37221
     0.68429   -0.39166
     0.66971   -0.41003
     0.65507   -0.42910
     0.64041   -0.45250
     0.62580   -0.47935
     0.61126   -0.50669
     0.59679   -0.53237
     0.58232   -0.55439
     0.56782   -0.57530
     0.55329   -0.59616
     0.53875   -0.61897
     0.52425   -0.64265
     0.50980   -0.66561
     0.49535   -0.68538
     0.48085   -0.70068
     0.46625   -0.71584
     0.45157   -0.73369
     0.43689   -0.76015
     0.42229   -0.79105
     0.40779   -0.82267
     0.39335   -0.85043
     0.37891   -0.87332
     0.36442   -0.89589
     0.34987   -0.92048
     0.33530   -0.95081
     0.32076   -0.98436
     0.30627   -1.01975
     0.29183   -1.05567
     0.27742   -1.09215
     0.26302   -1.13033
     0.24863   -1.17104
     0.23426   -1.21541
     0.21993   -1.26302
     0.20564   -1.31407
     0.19140   -1.36958
     0.17721   -1.43007
     0.16306   -1.49588
     0.14899   -1.56851
     0.13503   -1.65064
     0.12120   -1.74246
     0.10750   -1.84647
     0.09387   -1.96806
     0.08033   -2.11722
     0.06719   -2.32773
     0.05483   -2.60112
     0.04325   -2.95415
     0.03272   -3.39671
     0.02412   -3.95880
     0.01761   -4.74364
     0.01281   -5.44960
     0.00923   -6.07676
     0.00651   -6.88756
     0.00437   -7.63268
     0.00271   -8.18603
     0.00149   -8.78271
     0.00065   -9.30396
     0.00014   -9.54007
    -0.00004   -9.15965
     0.00011   -7.54172
     0.00061   -5.27035
     0.00146   -3.34662
     0.00269   -1.86712
     0.00435   -0.78592
     0.00649    0.06524
     0.00916    0.56607
     0.01254    0.82092
     0.01694    0.95456
     0.02293    0.99895
     0.03143    0.98621
     0.04300    0.94292
     0.05604    0.89313
     0.06960    0.84213
     0.08369    0.79443
     0.09807    0.75256
     0.11257    0.71467
     0.12711    0.68035
     0.14168    0.64931
     0.15627    0.62116
     0.17088    0.59553
     0.18553    0.57194
     0.20022    0.54999
     0.21493    0.52917
     0.22963    0.50947
     0.24434    0.49083
     0.25906    0.47327
     0.27381    0.45655
     0.28859    0.44025
     0.30339    0.42368
     0.31814    0.40620
     0.33284    0.38885
     0.34746    0.37217
     0.36205    0.35721
     0.37663    0.34353
     0.39122    0.33064
     0.40583    0.31829
     0.42047    0.30634
     0.43510    0.29481
     0.44973    0.28361
     0.46433    0.27247
     0.47890    0.26180
     0.49344    0.25193
     0.50798    0.24369
     0.52255    0.23696
     0.53716    0.23082
     0.55181    0.22454
     0.56645    0.21722
     0.58104    0.20997
     0.59560    0.20339
     0.61014    0.19861
     0.62472    0.19520
     0.63933    0.19228
     0.65397    0.18886
     0.66857    0.18434
     0.68310    0.18052
     0.69757    0.17862
     0.71202    0.18158
     0.72651    0.18709
     0.74108    0.19280
     0.75572    0.19595
     0.77042    0.19548
     0.78513    0.19397
     0.79987    0.19240
     0.81462    0.19197
     0.82940    0.19205
     0.84417    0.19229
     0.85892    0.19231
     0.87359    0.19222
     0.88821    0.19235
     0.90290    0.19292
     0.91749    0.19420
     0.93185    0.19640
     0.94639    0.20005
     0.96030    0.20586
     0.97262    0.21456
     0.98336    0.22838
     0.99275    0.24867
     1.00000    0.40428
