#      x          Cp  
     1.00000    0.40279
     0.99273    0.19711
     0.98333    0.15001
     0.97255    0.10864
     0.96016    0.07333
     0.94613    0.04029
     0.93118    0.00965
     0.91634   -0.01784
     0.90131   -0.04354
     0.88630   -0.06713
     0.87135   -0.08971
     0.85635   -0.11245
     0.84129   -0.13751
     0.82624   -0.16456
     0.81125   -0.19157
     0.79631   -0.21674
     0.78138   -0.23862
     0.76641   -0.25942
     0.75140   -0.28011
     0.73637   -0.30201
     0.72134   -0.32455
     0.70633   -0.34737
     0.69134   -0.37022
     0.67635   -0.39319
     0.66137   -0.41647
     0.64640   -0.44052
     0.63145   -0.46562
     0.61655   -0.49083
     0.60168   -0.51556
     0.58683   -0.53869
     0.57198   -0.56073
     0.55712   -0.58204
     0.54226   -0.60239
     0.52739   -0.62188
     0.51252   -0.64089
     0.49761   -0.65917
     0.48262   -0.67642
     0.46753   -0.69504
     0.45239   -0.71737
     0.43728   -0.74917
     0.42231   -0.78593
     0.40749   -0.82327
     0.39277   -0.85548
     0.37805   -0.88198
     0.36326   -0.90777
     0.34841   -0.93547
     0.33355   -0.96821
     0.31873   -1.00327
     0.30397   -1.03949
     0.28925   -1.07508
     0.27454   -1.11111
     0.25981   -1.14930
     0.24509   -1.19184
     0.23041   -1.24010
     0.21580   -1.29211
     0.20127   -1.34752
     0.18679   -1.40590
     0.17235   -1.46898
     0.15796   -1.53882
     0.14366   -1.62059
     0.12951   -1.71651
     0.11555   -1.82402
     0.10180   -1.94528
     0.08825   -2.08446
     0.07501   -2.25779
     0.06246   -2.49583
     0.05093   -2.78763
     0.04059   -3.17292
     0.03176   -3.59529
     0.02459   -4.04734
     0.01889   -4.59308
     0.01440   -5.12025
     0.01087   -5.71658
     0.00807   -6.38642
     0.00583   -6.99513
     0.00400   -7.33633
     0.00255   -7.61452
     0.00146   -7.86437
     0.00068   -8.01274
     0.00018   -7.94378
    -0.00003   -7.50918
     0.00004   -6.45863
     0.00041   -4.87749
     0.00108   -3.40281
     0.00206   -2.16302
     0.00337   -1.16829
     0.00506   -0.36221
     0.00715    0.29588
     0.00966    0.64877
     0.01268    0.84836
     0.01637    0.95653
     0.02111    0.99716
     0.02757    0.99417
     0.03675    0.96294
     0.04844    0.91630
     0.06105    0.86748
     0.07466    0.81852
     0.08913    0.77303
     0.10388    0.73250
     0.11870    0.69607
     0.13361    0.66324
     0.14860    0.63339
     0.16363    0.60583
     0.17866    0.58040
     0.19370    0.55692
     0.20876    0.53544
     0.22388    0.51558
     0.23907    0.49670
     0.25429    0.47788
     0.26947    0.45845
     0.28457    0.43947
     0.29959    0.42153
     0.31459    0.40563
     0.32961    0.39090
     0.34468    0.37674
     0.35977    0.36228
     0.37483    0.34768
     0.38985    0.33357
     0.40482    0.32046
     0.41978    0.30863
     0.43475    0.29755
     0.44974    0.28700
     0.46474    0.27673
     0.47974    0.26685
     0.49474    0.25741
     0.50971    0.24841
     0.52467    0.23991
     0.53960    0.23206
     0.55454    0.22523
     0.56950    0.21958
     0.58450    0.21444
     0.59953    0.20932
     0.61454    0.20331
     0.62952    0.19736
     0.64445    0.19213
     0.65934    0.18859
     0.67421    0.18672
     0.68910    0.18608
     0.70402    0.18708
     0.71901    0.18992
     0.73407    0.19320
     0.74919    0.19589
     0.76435    0.19629
     0.77952    0.19562
     0.79471    0.19466
     0.80990    0.19406
     0.82511    0.19384
     0.84032    0.19373
     0.85552    0.19359
     0.87064    0.19338
     0.88569    0.19337
     0.90079    0.19378
     0.91589    0.19487
     0.93078    0.19688
     0.94580    0.20037
     0.95993    0.20597
     0.97240    0.21447
     0.98324    0.22804
     0.99270    0.24805
     1.00000    0.40279
