#      x          Cp  
     1.00000    0.39906
     0.99288    0.19617
     0.98365    0.14953
     0.97302    0.10854
     0.96072    0.07340
     0.94661    0.04034
     0.93125    0.00926
     0.91587   -0.01882
     0.90034   -0.04528
     0.88488   -0.07047
     0.86944   -0.09495
     0.85392   -0.11932
     0.83834   -0.14443
     0.82279   -0.16972
     0.80731   -0.19445
     0.79191   -0.21743
     0.77652   -0.23871
     0.76111   -0.25939
     0.74565   -0.27978
     0.73013   -0.30026
     0.71456   -0.32154
     0.69899   -0.34491
     0.68349   -0.37233
     0.66812   -0.40079
     0.65287   -0.42831
     0.63767   -0.45143
     0.62244   -0.47204
     0.60715   -0.49203
     0.59180   -0.51314
     0.57644   -0.53549
     0.56110   -0.55801
     0.54579   -0.58011
     0.53050   -0.60139
     0.51521   -0.62241
     0.49988   -0.64309
     0.48449   -0.66285
     0.46900   -0.68377
     0.45344   -0.70786
     0.43791   -0.73988
     0.42247   -0.77692
     0.40718   -0.81568
     0.39203   -0.85340
     0.37696   -0.88947
     0.36195   -0.92483
     0.34694   -0.95844
     0.33192   -0.98942
     0.31685   -1.02047
     0.30174   -1.05331
     0.28664   -1.09081
     0.27156   -1.13169
     0.25654   -1.17517
     0.24158   -1.22104
     0.22668   -1.26967
     0.21182   -1.32183
     0.19701   -1.37883
     0.18222   -1.44227
     0.16748   -1.51285
     0.15286   -1.59277
     0.13844   -1.68861
     0.12432   -1.79730
     0.11050   -1.91710
     0.09693   -2.04841
     0.08357   -2.19582
     0.07082   -2.39845
     0.05927   -2.66548
     0.04896   -2.95983
     0.03970   -3.29418
     0.03171   -3.65097
     0.02519   -4.06078
     0.01998   -4.63344
     0.01581   -5.16762
     0.01242   -5.56898
     0.00961   -5.80100
     0.00727   -6.14681
     0.00530   -6.70927
     0.00368   -6.92331
     0.00239   -7.00775
     0.00140   -7.01547
     0.00068   -6.91302
     0.00021   -6.64866
    -0.00001   -6.16329
     0.00001   -5.37055
     0.00029   -4.26902
     0.00083   -3.19038
     0.00162   -2.22281
     0.00269   -1.37976
     0.00406   -0.65820
     0.00578    0.00755
     0.00786    0.48683
     0.01027    0.73938
     0.01309    0.89034
     0.01643    0.96982
     0.02054    0.99843
     0.02584    0.99484
     0.03303    0.97052
     0.04260    0.93103
     0.05380    0.88630
     0.06630    0.84043
     0.08038    0.79439
     0.09541    0.75107
     0.11060    0.71231
     0.12585    0.67759
     0.14119    0.64624
     0.15663    0.61783
     0.17218    0.59195
     0.18780    0.56798
     0.20346    0.54514
     0.21910    0.52270
     0.23469    0.50118
     0.25021    0.48080
     0.26570    0.46190
     0.28119    0.44407
     0.29669    0.42702
     0.31220    0.41052
     0.32770    0.39455
     0.34319    0.37916
     0.35864    0.36425
     0.37407    0.34988
     0.38947    0.33618
     0.40485    0.32339
     0.42023    0.31164
     0.43563    0.30055
     0.45104    0.28989
     0.46645    0.27938
     0.48184    0.26934
     0.49720    0.25996
     0.51256    0.25166
     0.52794    0.24414
     0.54335    0.23705
     0.55877    0.22998
     0.57420    0.22291
     0.58962    0.21613
     0.60501    0.20956
     0.62034    0.20329
     0.63563    0.19784
     0.65088    0.19383
     0.66615    0.19223
     0.68147    0.19194
     0.69686    0.19247
     0.71234    0.19340
     0.72788    0.19454
     0.74349    0.19571
     0.75913    0.19642
     0.77478    0.19664
     0.79044    0.19660
     0.80611    0.19617
     0.82180    0.19533
     0.83747    0.19447
     0.85315    0.19380
     0.86875    0.19354
     0.88427    0.19363
     0.89980    0.19412
     0.91540    0.19515
     0.93085    0.19706
     0.94629    0.20045
     0.96049    0.20590
     0.97288    0.21419
     0.98356    0.22745
     0.99285    0.24708
     1.00000    0.39906
