#      x          Cp  
     1.00000    0.39542
     0.99278    0.19302
     0.98340    0.14655
     0.97263    0.10576
     0.96015    0.07087
     0.94588    0.03827
     0.93028    0.00779
     0.91446   -0.02009
     0.89862   -0.04660
     0.88294   -0.07279
     0.86729   -0.09834
     0.85157   -0.12296
     0.83576   -0.14559
     0.81990   -0.16723
     0.80402   -0.18874
     0.78817   -0.21141
     0.77236   -0.23476
     0.75659   -0.25813
     0.74084   -0.28052
     0.72505   -0.30238
     0.70922   -0.32489
     0.69341   -0.35006
     0.67769   -0.37798
     0.66209   -0.40599
     0.64659   -0.43184
     0.63111   -0.45379
     0.61559   -0.47441
     0.60001   -0.49479
     0.58440   -0.51605
     0.56877   -0.53762
     0.55315   -0.55921
     0.53753   -0.58041
     0.52190   -0.60162
     0.50624   -0.62330
     0.49054   -0.64561
     0.47480   -0.66914
     0.45902   -0.69480
     0.44324   -0.72481
     0.42749   -0.75963
     0.41181   -0.79729
     0.39626   -0.83802
     0.38088   -0.88157
     0.36567   -0.92498
     0.35058   -0.96524
     0.33550   -0.99707
     0.32036   -1.02592
     0.30510   -1.05528
     0.28977   -1.08978
     0.27444   -1.12900
     0.25916   -1.17133
     0.24394   -1.21694
     0.22877   -1.26628
     0.21365   -1.31997
     0.19858   -1.37971
     0.18361   -1.44777
     0.16878   -1.52299
     0.15410   -1.60609
     0.13958   -1.70043
     0.12526   -1.80676
     0.11119   -1.92643
     0.09749   -2.06634
     0.08429   -2.23496
     0.07190   -2.43842
     0.06063   -2.68228
     0.05059   -2.95495
     0.04171   -3.28629
     0.03407   -3.63268
     0.02770   -3.97804
     0.02244   -4.39954
     0.01811   -4.85517
     0.01452   -5.24463
     0.01150   -5.54007
     0.00896   -5.77242
     0.00681   -6.15992
     0.00499   -6.56022
     0.00348   -6.64313
     0.00227   -6.63442
     0.00134   -6.54862
     0.00066   -6.36562
     0.00021   -6.05033
    -0.00001   -5.56477
     0.00000   -4.85539
     0.00026   -3.90936
     0.00075   -2.97082
     0.00148   -2.11351
     0.00247   -1.35197
     0.00375   -0.68755
     0.00533   -0.08723
     0.00724    0.40253
     0.00946    0.69271
     0.01204    0.86346
     0.01501    0.95468
     0.01851    0.99365
     0.02276    0.99902
     0.02807    0.98450
     0.03488    0.95669
     0.04351    0.92092
     0.05380    0.88193
     0.06575    0.83892
     0.07948    0.79407
     0.09440    0.75161
     0.10977    0.71356
     0.12539    0.67969
     0.14119    0.64908
     0.15709    0.62044
     0.17302    0.59306
     0.18891    0.56726
     0.20477    0.54319
     0.22060    0.52087
     0.23644    0.49981
     0.25228    0.47973
     0.26811    0.46036
     0.28392    0.44178
     0.29969    0.42399
     0.31542    0.40702
     0.33113    0.39087
     0.34681    0.37561
     0.36249    0.36153
     0.37818    0.34837
     0.39390    0.33582
     0.40963    0.32356
     0.42536    0.31156
     0.44107    0.30000
     0.45677    0.28886
     0.47244    0.27818
     0.48809    0.26806
     0.50373    0.25870
     0.51938    0.25024
     0.53505    0.24231
     0.55074    0.23462
     0.56639    0.22676
     0.58200    0.21936
     0.59757    0.21287
     0.61314    0.20823
     0.62875    0.20474
     0.64443    0.20179
     0.66012    0.19852
     0.67580    0.19525
     0.69143    0.19275
     0.70707    0.19214
     0.72277    0.19345
     0.73860    0.19528
     0.75453    0.19660
     0.77052    0.19671
     0.78652    0.19644
     0.80252    0.19599
     0.81852    0.19545
     0.83451    0.19489
     0.85050    0.19436
     0.86643    0.19387
     0.88227    0.19360
     0.89809    0.19372
     0.91402    0.19444
     0.92990    0.19607
     0.94558    0.19918
     0.95994    0.20433
     0.97249    0.21232
     0.98332    0.22524
     0.99274    0.24451
     1.00000    0.39542
