#      x          Cp  
     1.00000    0.34378
     0.99240    0.16547
     0.98250    0.12608
     0.97112    0.09358
     0.95799    0.06857
     0.94315    0.05178
     0.92729    0.04294
     0.91123    0.03556
     0.89525    0.02112
     0.87906   -0.00575
     0.86231   -0.03773
     0.84494   -0.06905
     0.82727   -0.09506
     0.80966   -0.12044
     0.79220   -0.14874
     0.77479   -0.18078
     0.75737   -0.21373
     0.73996   -0.24536
     0.72262   -0.27490
     0.70537   -0.30238
     0.68813   -0.32550
     0.67078   -0.34604
     0.65328   -0.36650
     0.63568   -0.38936
     0.61806   -0.41373
     0.60046   -0.43890
     0.58289   -0.46469
     0.56533   -0.49130
     0.54776   -0.51895
     0.53020   -0.54787
     0.51267   -0.57814
     0.49515   -0.61008
     0.47767   -0.64402
     0.46022   -0.68007
     0.44285   -0.71928
     0.42559   -0.76163
     0.40846   -0.80618
     0.39147   -0.85317
     0.37462   -0.90215
     0.35793   -0.95227
     0.34145   -1.00368
     0.32521   -1.05457
     0.30915   -1.10225
     0.29313   -1.13887
     0.27694   -1.16653
     0.26046   -1.19486
     0.24370   -1.23319
     0.22681   -1.28524
     0.20999   -1.34824
     0.19344   -1.42874
     0.17734   -1.52591
     0.16174   -1.63253
     0.14661   -1.74762
     0.13189   -1.87169
     0.11768   -2.00590
     0.10419   -2.15257
     0.09165   -2.32351
     0.08022   -2.50739
     0.06991   -2.69876
     0.06067   -2.89718
     0.05247   -3.10884
     0.04525   -3.36991
     0.03893   -3.64019
     0.03340   -3.89431
     0.02856   -4.12962
     0.02431   -4.37131
     0.02055   -4.62100
     0.01725   -4.84000
     0.01433   -5.02078
     0.01175   -5.18372
     0.00949   -5.31545
     0.00751   -5.37922
     0.00580   -5.34626
     0.00433   -5.21930
     0.00309   -5.03911
     0.00208   -4.81516
     0.00128   -4.54647
     0.00068   -4.22988
     0.00027   -3.86230
     0.00004   -3.44314
     0.00000   -2.97121
     0.00015   -2.45885
     0.00048   -1.95501
     0.00101   -1.47000
     0.00174   -1.00490
     0.00269   -0.55929
     0.00387   -0.13771
     0.00532    0.26490
     0.00703    0.58263
     0.00896    0.78417
     0.01110    0.90680
     0.01346    0.97208
     0.01603    0.99766
     0.01887    0.99729
     0.02199    0.98175
     0.02543    0.95882
     0.02923    0.93300
     0.03348    0.90792
     0.03825    0.88614
     0.04368    0.86893
     0.04993    0.85439
     0.05724    0.83471
     0.06593    0.81063
     0.07625    0.78481
     0.08804    0.76441
     0.10073    0.74558
     0.11410    0.72163
     0.12838    0.69385
     0.14372    0.66260
     0.16005    0.63018
     0.17696    0.59817
     0.19408    0.56714
     0.21126    0.53969
     0.22856    0.51546
     0.24599    0.49303
     0.26353    0.47175
     0.28109    0.45157
     0.29864    0.43254
     0.31619    0.41462
     0.33378    0.39753
     0.35136    0.38086
     0.36888    0.36416
     0.38629    0.34820
     0.40363    0.33385
     0.42099    0.32166
     0.43843    0.31038
     0.45596    0.29901
     0.47351    0.28712
     0.49102    0.27545
     0.50842    0.26396
     0.52569    0.25306
     0.54286    0.24362
     0.56005    0.23769
     0.57739    0.23447
     0.59498    0.23167
     0.61280    0.22726
     0.63073    0.22102
     0.64852    0.21221
     0.66591    0.19765
     0.68275    0.18307
     0.69918    0.17401
     0.71553    0.17829
     0.73213    0.18785
     0.74916    0.19653
     0.76657    0.19688
     0.78418    0.19369
     0.80188    0.19036
     0.81966    0.18914
     0.83750    0.18849
     0.85535    0.18758
     0.87309    0.18615
     0.89069    0.18493
     0.90822    0.18423
     0.92568    0.18420
     0.94249    0.18513
     0.95777    0.18773
     0.97105    0.19281
     0.98247    0.20179
     0.99237    0.21651
     0.99999    0.34378
