#      x          Cp  
     1.00000    0.83203
     0.99319    0.49533
     0.98493    0.30112
     0.97618    0.13148
     0.96687   -0.01358
     0.95690   -0.13920
     0.94615   -0.23776
     0.93450   -0.30269
     0.92180   -0.34343
     0.90795   -0.36596
     0.89294   -0.38809
     0.87689   -0.41814
     0.86003   -0.44662
     0.84263   -0.47332
     0.82501   -0.49917
     0.80743   -0.52629
     0.79003   -0.56217
     0.77288   -0.60616
     0.75598   -0.65224
     0.73929   -0.69857
     0.72276   -0.74327
     0.70629   -0.78432
     0.68979   -0.81523
     0.67312   -0.83722
     0.65621   -0.85549
     0.63901   -0.87186
     0.62152   -0.88859
     0.60382   -0.90831
     0.58605   -0.93819
     0.56838   -0.97461
     0.55090   -1.01313
     0.53362   -1.05186
     0.51652   -1.08902
     0.49948   -1.12130
     0.48237   -1.14281
     0.46504   -1.16018
     0.44742   -1.17743
     0.42946   -1.19772
     0.41124   -1.22458
     0.39291   -1.26829
     0.37471   -1.33246
     0.35682   -1.40602
     0.33931   -1.48549
     0.32218   -1.56804
     0.30536   -1.65142
     0.28874   -1.72961
     0.27221   -1.80514
     0.25568   -1.88319
     0.23917   -1.96669
     0.22269   -2.05910
     0.20636   -2.16562
     0.19031   -2.30544
     0.17472   -2.47465
     0.15981   -2.65594
     0.14575   -2.85393
     0.13266   -3.06800
     0.12051   -3.26585
     0.10911   -3.43204
     0.09828   -3.53352
     0.08781   -3.53722
     0.07766   -3.51960
     0.06802   -3.55796
     0.05911   -3.60980
     0.05105   -3.62144
     0.04381   -3.57116
     0.03737   -3.50516
     0.03170   -3.44301
     0.02674   -3.38604
     0.02242   -3.33001
     0.01860   -3.24866
     0.01520   -3.15944
     0.01218   -3.12147
     0.00951   -3.18902
     0.00723   -3.28902
     0.00529   -3.40468
     0.00366   -3.52933
     0.00230   -3.65739
     0.00118   -3.78200
     0.00029   -3.89317
    -0.00038   -3.97629
    -0.00086   -4.01032
    -0.00114   -3.96722
    -0.00121   -3.81339
    -0.00108   -3.51591
    -0.00073   -3.05521
    -0.00014   -2.43620
     0.00072   -1.68667
     0.00184   -0.99069
     0.00324   -0.42157
     0.00492    0.02074
     0.00690    0.35282
     0.00919    0.59519
     0.01181    0.76628
     0.01475    0.88236
     0.01807    0.95320
     0.02185    0.98853
     0.02620    0.99973
     0.03125    0.99613
     0.03714    0.98176
     0.04394    0.95902
     0.05169    0.93092
     0.06053    0.90174
     0.07067    0.87288
     0.08206    0.83678
     0.09421    0.79003
     0.10682    0.74917
     0.12015    0.72233
     0.13463    0.70360
     0.15057    0.68887
     0.16781    0.66851
     0.18568    0.64626
     0.20367    0.62429
     0.22161    0.60323
     0.23955    0.58292
     0.25751    0.56336
     0.27551    0.54463
     0.29356    0.52693
     0.31166    0.51095
     0.32980    0.49664
     0.34799    0.48360
     0.36619    0.47176
     0.38441    0.46111
     0.40261    0.45187
     0.42077    0.44438
     0.43889    0.43780
     0.45695    0.43162
     0.47495    0.42535
     0.49290    0.41840
     0.51081    0.40911
     0.52869    0.39771
     0.54658    0.38549
     0.56450    0.37292
     0.58247    0.36049
     0.60053    0.34902
     0.61871    0.33996
     0.63704    0.33207
     0.65551    0.32467
     0.67404    0.31732
     0.69256    0.30955
     0.71091    0.29985
     0.72897    0.28866
     0.74669    0.27740
     0.76415    0.26662
     0.78147    0.25689
     0.79886    0.24927
     0.81663    0.24666
     0.83493    0.24588
     0.85304    0.24409
     0.87114    0.23848
     0.88924    0.22521
     0.90573    0.18851
     0.92023    0.13005
     0.93301    0.08394
     0.94449    0.06135
     0.95503    0.07905
     0.96492    0.13788
     0.97435    0.22689
     0.98347    0.35140
     0.99238    0.51287
     1.00000    0.83203
