#      x          Cp  
     1.00000    0.38360
     0.99328   -0.12992
     0.98376   -0.20574
     0.97222   -0.16432
     0.95901   -0.11417
     0.94554   -0.10867
     0.93208   -0.13542
     0.91842   -0.17849
     0.90464   -0.22630
     0.89084   -0.26878
     0.87709   -0.30894
     0.86339   -0.34646
     0.84971   -0.38033
     0.83601   -0.40950
     0.82227   -0.43615
     0.80851   -0.46106
     0.79473   -0.48438
     0.78093   -0.50618
     0.76711   -0.52670
     0.75326   -0.54618
     0.73939   -0.56476
     0.72549   -0.58289
     0.71158   -0.60114
     0.69764   -0.61964
     0.68369   -0.63837
     0.66973   -0.65762
     0.65577   -0.67727
     0.64180   -0.69729
     0.62781   -0.71778
     0.61381   -0.73909
     0.59981   -0.76214
     0.58581   -0.78679
     0.57183   -0.81213
     0.55785   -0.83748
     0.54387   -0.86314
     0.52989   -0.88953
     0.51590   -0.91703
     0.50193   -0.94537
     0.48796   -0.97450
     0.47399   -1.00440
     0.46004   -1.03493
     0.44609   -1.06591
     0.43214   -1.09736
     0.41821   -1.12948
     0.40428   -1.16248
     0.39036   -1.19622
     0.37644   -1.23050
     0.36254   -1.26519
     0.34864   -1.30089
     0.33475   -1.33860
     0.32087   -1.37836
     0.30702   -1.41934
     0.29319   -1.46097
     0.27938   -1.50403
     0.26558   -1.54994
     0.25180   -1.59923
     0.23807   -1.65117
     0.22437   -1.70605
     0.21073   -1.76384
     0.19712   -1.82530
     0.18358   -1.89077
     0.17010   -1.96150
     0.15671   -2.03826
     0.14342   -2.11855
     0.13023   -2.20199
     0.11714   -2.29150
     0.10420   -2.38997
     0.09141   -2.49511
     0.07874   -2.61109
     0.06626   -2.76396
     0.05410   -2.96430
     0.04234   -3.22955
     0.03133   -3.58169
     0.02153   -4.12333
     0.01372   -4.95646
     0.00859   -6.01519
     0.00516   -7.29111
     0.00277   -9.27557
     0.00126  -10.85838
     0.00039  -12.83828
     0.00002  -14.46402
     0.00012  -12.38267
     0.00070   -8.80087
     0.00188   -4.96098
     0.00383   -1.74781
     0.00667   -0.17529
     0.01061    0.53659
     0.01643    0.87975
     0.02501    0.99240
     0.03604    0.98983
     0.04852    0.94613
     0.06153    0.89452
     0.07480    0.84589
     0.08827    0.80280
     0.10186    0.76538
     0.11550    0.73308
     0.12920    0.70595
     0.14296    0.68327
     0.15678    0.66385
     0.17064    0.64736
     0.18452    0.63385
     0.19846    0.62280
     0.21245    0.61333
     0.22648    0.60507
     0.24052    0.59819
     0.25457    0.59259
     0.26862    0.58796
     0.28266    0.58395
     0.29669    0.58049
     0.31070    0.57757
     0.32468    0.57508
     0.33864    0.57286
     0.35259    0.57065
     0.36653    0.56848
     0.38047    0.56636
     0.39440    0.56427
     0.40832    0.56215
     0.42224    0.55988
     0.43616    0.55740
     0.45008    0.55478
     0.46400    0.55204
     0.47792    0.54913
     0.49183    0.54594
     0.50576    0.54230
     0.51969    0.53837
     0.53363    0.53430
     0.54758    0.53022
     0.56153    0.52594
     0.57547    0.52126
     0.58943    0.51613
     0.60340    0.51078
     0.61738    0.50541
     0.63136    0.49997
     0.64535    0.49435
     0.65934    0.48841
     0.67333    0.48227
     0.68734    0.47602
     0.70136    0.46977
     0.71539    0.46358
     0.72942    0.45777
     0.74345    0.45227
     0.75745    0.44685
     0.77145    0.44149
     0.78542    0.43600
     0.79937    0.43031
     0.81330    0.42421
     0.82719    0.41730
     0.84107    0.40928
     0.85493    0.39995
     0.86879    0.38883
     0.88266    0.37613
     0.89656    0.36168
     0.91050    0.34607
     0.92448    0.32968
     0.93849    0.31161
     0.95248    0.29226
     0.96645    0.26898
     0.97990    0.23599
     0.99194    0.22426
     1.00000    0.38360
