#      x          Cp  
     1.00000    0.27368
     0.99261    0.12881
     0.98090    0.07657
     0.96735    0.02768
     0.95324   -0.01244
     0.93912   -0.04738
     0.92500   -0.07936
     0.91086   -0.10981
     0.89676   -0.13820
     0.88265   -0.16415
     0.86854   -0.18898
     0.85440   -0.21327
     0.84028   -0.23806
     0.82618   -0.26261
     0.81208   -0.28492
     0.79796   -0.30650
     0.78383   -0.32882
     0.76972   -0.35076
     0.75560   -0.37198
     0.74147   -0.39250
     0.72733   -0.41282
     0.71318   -0.43453
     0.69904   -0.45646
     0.68491   -0.47688
     0.67076   -0.49747
     0.65660   -0.51908
     0.64246   -0.54064
     0.62831   -0.56203
     0.61416   -0.58362
     0.60000   -0.60555
     0.58583   -0.62809
     0.57167   -0.65113
     0.55750   -0.67462
     0.54334   -0.69856
     0.52918   -0.72299
     0.51503   -0.74797
     0.50087   -0.77358
     0.48671   -0.79994
     0.47256   -0.82707
     0.45841   -0.85504
     0.44426   -0.88399
     0.43011   -0.91405
     0.41597   -0.94525
     0.40184   -0.97774
     0.38772   -1.01193
     0.37361   -1.04770
     0.35952   -1.08494
     0.34544   -1.12372
     0.33137   -1.16420
     0.31732   -1.20664
     0.30328   -1.25147
     0.28927   -1.29997
     0.27529   -1.35175
     0.26136   -1.40618
     0.24747   -1.46324
     0.23361   -1.52305
     0.21980   -1.58696
     0.20604   -1.65607
     0.19234   -1.73133
     0.17874   -1.81303
     0.16523   -1.90119
     0.15185   -1.99506
     0.13860   -2.09351
     0.12547   -2.19906
     0.11253   -2.31905
     0.09982   -2.44707
     0.08740   -2.57977
     0.07526   -2.71683
     0.06341   -2.86289
     0.05191   -3.02385
     0.04098   -3.23026
     0.03087   -3.48107
     0.02202   -3.85142
     0.01506   -4.25319
     0.01002   -4.87563
     0.00652   -5.49663
     0.00407   -6.26408
     0.00234   -7.02027
     0.00115   -8.03451
     0.00040   -8.58975
     0.00004   -9.19074
     0.00005   -8.66097
     0.00049   -6.79390
     0.00145   -3.89418
     0.00292   -1.69003
     0.00492   -0.32971
     0.00752    0.41937
     0.01091    0.78799
     0.01547    0.95526
     0.02176    0.99994
     0.03049    0.97602
     0.04160    0.92534
     0.05432    0.87466
     0.06802    0.83244
     0.08218    0.79845
     0.09639    0.77004
     0.11052    0.74653
     0.12458    0.72644
     0.13861    0.70835
     0.15263    0.69178
     0.16668    0.67629
     0.18076    0.66194
     0.19483    0.64860
     0.20892    0.63574
     0.22303    0.62329
     0.23717    0.61145
     0.25132    0.60014
     0.26548    0.58930
     0.27965    0.57871
     0.29383    0.56825
     0.30803    0.55806
     0.32224    0.54815
     0.33646    0.53842
     0.35068    0.52883
     0.36492    0.51930
     0.37917    0.50989
     0.39344    0.50062
     0.40772    0.49157
     0.42201    0.48275
     0.43630    0.47407
     0.45059    0.46547
     0.46490    0.45685
     0.47922    0.44833
     0.49356    0.44001
     0.50790    0.43211
     0.52225    0.42464
     0.53660    0.41739
     0.55093    0.41028
     0.56527    0.40322
     0.57960    0.39622
     0.59393    0.38929
     0.60827    0.38241
     0.62262    0.37557
     0.63697    0.36884
     0.65133    0.36231
     0.66566    0.35613
     0.67999    0.34972
     0.69433    0.34287
     0.70868    0.33648
     0.72302    0.33035
     0.73734    0.32342
     0.75170    0.31633
     0.76606    0.30978
     0.78042    0.30348
     0.79476    0.29728
     0.80910    0.29066
     0.82345    0.28376
     0.83781    0.27714
     0.85216    0.27048
     0.86652    0.26348
     0.88089    0.25659
     0.89525    0.24994
     0.90962    0.24334
     0.92399    0.23677
     0.93833    0.23024
     0.95266    0.22401
     0.96697    0.21910
     0.98067    0.21771
     0.99251    0.21904
     1.00000    0.27368
