#      x          Cp  
     1.00000    0.89076
     0.99291    0.60708
     0.98426    0.42652
     0.97506    0.26362
     0.96524    0.11905
     0.95471   -0.01132
     0.94337   -0.11987
     0.93113   -0.20493
     0.91792   -0.27323
     0.90374   -0.33051
     0.88867   -0.39392
     0.87288   -0.46258
     0.85656   -0.53095
     0.83993   -0.59860
     0.82322   -0.66579
     0.80660   -0.73381
     0.79020   -0.80912
     0.77407   -0.89048
     0.75823   -0.97212
     0.74263   -1.05152
     0.72720   -1.12635
     0.71187   -1.19369
     0.69651   -1.24569
     0.68098   -1.27496
     0.66517   -1.29229
     0.64899   -1.30170
     0.63239   -1.30649
     0.61539   -1.31000
     0.59809   -1.31904
     0.58066   -1.34260
     0.56329   -1.37115
     0.54607   -1.40050
     0.52904   -1.42814
     0.51215   -1.45170
     0.49531   -1.46513
     0.47837   -1.46461
     0.46120   -1.45890
     0.44371   -1.45165
     0.42587   -1.44644
     0.40775   -1.44738
     0.38950   -1.46719
     0.37132   -1.50424
     0.35340   -1.54820
     0.33580   -1.59557
     0.31854   -1.64344
     0.30156   -1.68864
     0.28478   -1.72506
     0.26810   -1.75705
     0.25146   -1.78756
     0.23483   -1.81803
     0.21822   -1.85009
     0.20167   -1.88559
     0.18528   -1.92813
     0.16913   -1.97851
     0.15331   -2.03968
     0.13787   -2.12408
     0.12291   -2.22218
     0.10869   -2.32391
     0.09549   -2.42970
     0.08353   -2.54266
     0.07285   -2.65969
     0.06330   -2.78187
     0.05473   -2.91103
     0.04700   -3.07396
     0.03998   -3.24761
     0.03371   -3.36282
     0.02829   -3.43140
     0.02365   -3.50548
     0.01969   -3.62218
     0.01633   -3.75244
     0.01346   -3.89129
     0.01099   -4.03544
     0.00886   -4.18220
     0.00702   -4.32817
     0.00543   -4.46872
     0.00407   -4.59752
     0.00291   -4.70565
     0.00196   -4.78148
     0.00119   -4.80979
     0.00059   -4.77255
     0.00018   -4.64967
    -0.00006   -4.42149
    -0.00012   -4.07379
     0.00001   -3.59121
     0.00034   -2.97623
     0.00085   -2.34217
     0.00155   -1.74352
     0.00245   -1.20604
     0.00354   -0.73979
     0.00483   -0.34523
     0.00634   -0.01757
     0.00808    0.25026
     0.01008    0.46588
     0.01237    0.63651
     0.01499    0.76848
     0.01800    0.86707
     0.02147    0.93636
     0.02547    0.97938
     0.03007    0.99846
     0.03541    0.99664
     0.04165    0.97931
     0.04890    0.95356
     0.05731    0.92096
     0.06704    0.88135
     0.07810    0.83657
     0.09030    0.78883
     0.10336    0.74131
     0.11716    0.69711
     0.13170    0.65679
     0.14700    0.62080
     0.16301    0.58901
     0.17965    0.56128
     0.19679    0.53708
     0.21431    0.51444
     0.23210    0.49365
     0.25007    0.47517
     0.26816    0.45891
     0.28632    0.44478
     0.30455    0.43272
     0.32286    0.42265
     0.34127    0.41398
     0.35981    0.40628
     0.37847    0.39908
     0.39726    0.39177
     0.41616    0.38301
     0.43514    0.37337
     0.45418    0.36333
     0.47326    0.35303
     0.49235    0.34254
     0.51141    0.33188
     0.53044    0.32110
     0.54941    0.31031
     0.56833    0.29952
     0.58720    0.28876
     0.60606    0.27807
     0.62491    0.26744
     0.64378    0.25684
     0.66263    0.24626
     0.68144    0.23565
     0.70011    0.22481
     0.71855    0.21325
     0.73670    0.20179
     0.75456    0.19091
     0.77221    0.18089
     0.78978    0.17199
     0.80743    0.16478
     0.82537    0.15951
     0.84367    0.15586
     0.86212    0.15367
     0.88024    0.15217
     0.89740    0.14853
     0.91312    0.13099
     0.92725    0.11898
     0.94001    0.12662
     0.95167    0.16311
     0.96251    0.23533
     0.97275    0.33351
     0.98254    0.46085
     0.99200    0.61746
     1.00000    0.89076
