#      x          Cp  
     1.00000    0.31071
     0.99120    0.16065
     0.97984    0.11270
     0.96695    0.06768
     0.95236    0.02833
     0.93625   -0.00843
     0.91922   -0.04310
     0.90192   -0.07652
     0.88460   -0.11057
     0.86723   -0.14536
     0.84978   -0.18089
     0.83223   -0.21738
     0.81461   -0.25498
     0.79696   -0.29411
     0.77938   -0.33524
     0.76193   -0.37703
     0.74465   -0.41865
     0.72752   -0.45930
     0.71050   -0.49806
     0.69351   -0.53186
     0.67646   -0.55894
     0.65928   -0.58401
     0.64192   -0.60907
     0.62440   -0.63625
     0.60679   -0.66793
     0.58919   -0.71146
     0.57175   -0.76687
     0.55455   -0.82750
     0.53760   -0.89113
     0.52086   -0.95564
     0.50426   -1.01883
     0.48766   -1.07387
     0.47095   -1.12234
     0.45403   -1.16973
     0.43690   -1.21823
     0.41962   -1.27042
     0.40234   -1.32978
     0.38529   -1.40653
     0.36867   -1.49466
     0.35255   -1.58591
     0.33688   -1.67694
     0.32154   -1.76476
     0.30635   -1.84631
     0.29107   -1.90861
     0.27542   -1.94965
     0.25915   -1.98511
     0.24222   -2.02293
     0.22482   -2.07353
     0.20754   -2.14947
     0.19118   -2.29832
     0.17625   -2.51492
     0.16261   -2.72460
     0.14982   -2.89696
     0.13734   -2.96279
     0.12476   -2.97429
     0.11201   -2.98061
     0.09951   -3.03209
     0.08796   -3.23664
     0.07770   -3.45669
     0.06850   -3.56083
     0.06006   -3.55493
     0.05229   -3.49923
     0.04523   -3.41193
     0.03894   -3.31297
     0.03340   -3.20903
     0.02853   -3.09903
     0.02422   -2.96944
     0.02039   -2.78842
     0.01692   -2.62809
     0.01381   -2.53799
     0.01103   -2.59793
     0.00860   -2.79599
     0.00654   -3.00864
     0.00483   -3.21759
     0.00341   -3.40694
     0.00226   -3.56095
     0.00135   -3.65965
     0.00067   -3.67876
     0.00020   -3.59176
    -0.00005   -3.37445
    -0.00009   -3.01551
     0.00009   -2.49922
     0.00049   -1.89664
     0.00110   -1.32673
     0.00192   -0.81860
     0.00295   -0.38128
     0.00418   -0.01346
     0.00563    0.28990
     0.00730    0.53448
     0.00920    0.72507
     0.01136    0.86463
     0.01377    0.95491
     0.01645    0.99560
     0.01941    0.99655
     0.02268    0.97450
     0.02626    0.94263
     0.03017    0.90619
     0.03447    0.86978
     0.03923    0.83718
     0.04454    0.81127
     0.05050    0.79367
     0.05720    0.78412
     0.06474    0.78180
     0.07324    0.78285
     0.08301    0.77260
     0.09455    0.75154
     0.10817    0.73375
     0.12321    0.72508
     0.13848    0.71972
     0.15343    0.71378
     0.16837    0.70390
     0.18373    0.69250
     0.19976    0.68055
     0.21639    0.66994
     0.23338    0.65993
     0.25049    0.65017
     0.26755    0.64050
     0.28449    0.63074
     0.30131    0.62056
     0.31813    0.60942
     0.33503    0.59771
     0.35211    0.58558
     0.36941    0.57319
     0.38696    0.56078
     0.40472    0.54901
     0.42263    0.53844
     0.44061    0.52848
     0.45859    0.51902
     0.47654    0.50997
     0.49444    0.50126
     0.51227    0.49291
     0.53004    0.48480
     0.54779    0.47683
     0.56551    0.46890
     0.58323    0.46090
     0.60099    0.45260
     0.61880    0.44368
     0.63669    0.43449
     0.65467    0.42525
     0.67272    0.41618
     0.69081    0.40756
     0.70887    0.40037
     0.72685    0.39454
     0.74469    0.38900
     0.76238    0.38325
     0.77991    0.37675
     0.79731    0.36871
     0.81463    0.35713
     0.83191    0.34326
     0.84919    0.32821
     0.86651    0.31253
     0.88386    0.29683
     0.90124    0.28213
     0.91861    0.26993
     0.93567    0.25971
     0.95182    0.25182
     0.96649    0.24703
     0.97952    0.24598
     0.99104    0.25218
     1.00000    0.31071
