#      x          Cp  
     1.00000    0.67586
     0.99061    0.30633
     0.97942    0.11910
     0.96777   -0.03631
     0.95555   -0.16218
     0.94262   -0.25805
     0.92881   -0.32310
     0.91399   -0.36901
     0.89811   -0.40642
     0.88131   -0.45623
     0.86383   -0.51006
     0.84594   -0.56302
     0.82786   -0.61352
     0.80971   -0.66050
     0.79151   -0.70246
     0.77319   -0.73859
     0.75463   -0.77128
     0.73579   -0.80160
     0.71662   -0.83058
     0.69711   -0.85944
     0.67733   -0.89037
     0.65733   -0.92278
     0.63719   -0.95653
     0.61696   -0.99213
     0.59667   -1.03052
     0.57635   -1.07404
     0.55601   -1.12177
     0.53569   -1.17304
     0.51543   -1.22823
     0.49532   -1.28821
     0.47542   -1.35585
     0.45578   -1.42792
     0.43644   -1.50249
     0.41736   -1.57828
     0.39851   -1.65394
     0.37980   -1.72646
     0.36117   -1.79735
     0.34261   -1.86901
     0.32416   -1.94256
     0.30591   -2.01958
     0.28800   -2.10597
     0.27057   -2.20392
     0.25370   -2.30347
     0.23739   -2.40040
     0.22159   -2.49121
     0.20621   -2.57229
     0.19115   -2.62984
     0.17631   -2.65360
     0.16172   -2.67970
     0.14762   -2.73475
     0.13435   -2.88158
     0.12216   -3.06459
     0.11105   -3.23137
     0.10087   -3.35962
     0.09149   -3.38691
     0.08276   -3.33118
     0.07461   -3.28816
     0.06703   -3.33957
     0.06006   -3.46422
     0.05369   -3.59151
     0.04790   -3.70656
     0.04266   -3.80562
     0.03792   -3.88392
     0.03364   -3.93392
     0.02979   -3.94805
     0.02632   -3.91646
     0.02319   -3.81854
     0.02036   -3.60123
     0.01778   -3.34576
     0.01540   -3.10897
     0.01317   -2.91896
     0.01108   -2.82596
     0.00914   -2.85047
     0.00738   -2.90528
     0.00580   -2.96803
     0.00443   -3.02470
     0.00324   -3.06473
     0.00225   -3.07821
     0.00143   -3.05510
     0.00080   -2.98514
     0.00035   -2.85794
     0.00008   -2.66510
    -0.00000   -2.38767
     0.00011   -2.03101
     0.00040   -1.65793
     0.00087   -1.29128
     0.00151   -0.94400
     0.00233   -0.62302
     0.00334   -0.33172
     0.00453   -0.07126
     0.00591    0.15844
     0.00750    0.35817
     0.00930    0.52894
     0.01132    0.67177
     0.01356    0.78756
     0.01603    0.87723
     0.01872    0.94125
     0.02163    0.98085
     0.02477    0.99841
     0.02815    0.99738
     0.03180    0.98254
     0.03575    0.95925
     0.04004    0.93204
     0.04470    0.90423
     0.04976    0.87765
     0.05524    0.85029
     0.06115    0.82077
     0.06749    0.79067
     0.07431    0.76061
     0.08164    0.73102
     0.08955    0.70270
     0.09811    0.67723
     0.10738    0.65954
     0.11743    0.65138
     0.12835    0.64991
     0.14024    0.65286
     0.15324    0.65414
     0.16753    0.64362
     0.18330    0.62703
     0.20065    0.60787
     0.21946    0.59318
     0.23930    0.58149
     0.25964    0.57149
     0.28006    0.56257
     0.30039    0.55377
     0.32074    0.54337
     0.34129    0.53228
     0.36217    0.52115
     0.38340    0.51043
     0.40489    0.50138
     0.42643    0.49528
     0.44781    0.49037
     0.46894    0.48575
     0.48982    0.48066
     0.51055    0.47308
     0.53126    0.46280
     0.55206    0.45176
     0.57300    0.44081
     0.59408    0.43102
     0.61524    0.42531
     0.63638    0.42269
     0.65744    0.42107
     0.67839    0.41951
     0.69925    0.41672
     0.72008    0.41027
     0.74093    0.40211
     0.76185    0.39355
     0.78287    0.38540
     0.80397    0.37924
     0.82511    0.37670
     0.84621    0.37584
     0.86708    0.37582
     0.88747    0.37604
     0.90713    0.37353
     0.92582    0.36912
     0.94337    0.37126
     0.95971    0.38680
     0.97481    0.42032
     0.98875    0.47786
     1.00000    0.67586
