#      x          Cp  
     1.00000    0.38877
     0.99320    0.19718
     0.98443    0.11792
     0.97443    0.05292
     0.96294   -0.00339
     0.94986   -0.05407
     0.93563   -0.09607
     0.92151   -0.13017
     0.90727   -0.16084
     0.89285   -0.19330
     0.87867   -0.22821
     0.86462   -0.26323
     0.85062   -0.29823
     0.83660   -0.33302
     0.82250   -0.36729
     0.80830   -0.40062
     0.79400   -0.43149
     0.77961   -0.45931
     0.76517   -0.48549
     0.75069   -0.51045
     0.73620   -0.53454
     0.72169   -0.55809
     0.70719   -0.58146
     0.69269   -0.60546
     0.67819   -0.63028
     0.66368   -0.65543
     0.64917   -0.68087
     0.63465   -0.70659
     0.62013   -0.73259
     0.60560   -0.75891
     0.59106   -0.78566
     0.57652   -0.81285
     0.56198   -0.84041
     0.54744   -0.86837
     0.53289   -0.89674
     0.51835   -0.92558
     0.50380   -0.95492
     0.48926   -0.98489
     0.47471   -1.01551
     0.46015   -1.04690
     0.44559   -1.07916
     0.43104   -1.11248
     0.41648   -1.14711
     0.40194   -1.18352
     0.38741   -1.22298
     0.37291   -1.26465
     0.35843   -1.30782
     0.34398   -1.35221
     0.32957   -1.39754
     0.31519   -1.44361
     0.30084   -1.49008
     0.28652   -1.53633
     0.27222   -1.58301
     0.25794   -1.63068
     0.24369   -1.67983
     0.22946   -1.73112
     0.21528   -1.78561
     0.20113   -1.84548
     0.18704   -1.91666
     0.17304   -1.99415
     0.15917   -2.07406
     0.14550   -2.15262
     0.13209   -2.22772
     0.11893   -2.30189
     0.10587   -2.37746
     0.09267   -2.43697
     0.07914   -2.52110
     0.06589   -2.88052
     0.05403   -3.32959
     0.04401   -3.43842
     0.03545   -3.37590
     0.02732   -3.35870
     0.01750   -3.51674
     0.01049   -4.18586
     0.00692   -5.18277
     0.00458   -6.19073
     0.00290   -7.32663
     0.00168   -8.60471
     0.00080   -9.97520
     0.00024  -11.22726
    -0.00005  -11.86658
    -0.00004  -11.14826
     0.00026   -8.58314
     0.00089   -5.72739
     0.00183   -3.47565
     0.00314   -1.86362
     0.00489   -0.75277
     0.00726    0.00486
     0.01063    0.51663
     0.01593    0.85275
     0.02464    0.99261
     0.03555    0.99124
     0.04798    0.94858
     0.06118    0.89357
     0.07448    0.84202
     0.08813    0.80105
     0.10258    0.76671
     0.11718    0.73252
     0.13168    0.70030
     0.14640    0.66919
     0.16101    0.63879
     0.17540    0.60986
     0.18964    0.58346
     0.20381    0.56188
     0.21796    0.54716
     0.23213    0.53656
     0.24636    0.52902
     0.26067    0.52367
     0.27507    0.51967
     0.28956    0.51614
     0.30414    0.51124
     0.31879    0.50360
     0.33348    0.49504
     0.34820    0.48603
     0.36292    0.47692
     0.37765    0.46804
     0.39238    0.45967
     0.40711    0.45259
     0.42186    0.44694
     0.43664    0.44218
     0.45143    0.43821
     0.46624    0.43497
     0.48104    0.43247
     0.49585    0.43077
     0.51064    0.43041
     0.52539    0.43092
     0.54008    0.43166
     0.55471    0.43230
     0.56928    0.43247
     0.58379    0.43175
     0.59827    0.42946
     0.61273    0.42390
     0.62720    0.41633
     0.64169    0.40773
     0.65623    0.39857
     0.67082    0.38934
     0.68547    0.38060
     0.70018    0.37334
     0.71494    0.36933
     0.72975    0.36704
     0.74458    0.36567
     0.75941    0.36477
     0.77423    0.36396
     0.78898    0.36286
     0.80363    0.36079
     0.81813    0.35722
     0.83246    0.35286
     0.84664    0.34785
     0.86075    0.34224
     0.87485    0.33599
     0.88908    0.32896
     0.90361    0.32049
     0.91822    0.31031
     0.93250    0.30020
     0.94695    0.29104
     0.96096    0.28553
     0.97322    0.28468
     0.98379    0.28899
     0.99295    0.30652
     1.00000    0.38877
