#      x          Cp  
     1.00000    0.23319
     0.99336    0.12578
     0.98524    0.08927
     0.97654    0.05537
     0.96720    0.02625
     0.95711   -0.00149
     0.94618   -0.02892
     0.93433   -0.05691
     0.92149   -0.08618
     0.90768   -0.11737
     0.89308   -0.15174
     0.87867   -0.18757
     0.86449   -0.22357
     0.85030   -0.25989
     0.83595   -0.29643
     0.82135   -0.33274
     0.80658   -0.36758
     0.79198   -0.39696
     0.77748   -0.42127
     0.76299   -0.44353
     0.74843   -0.46487
     0.73376   -0.48634
     0.71898   -0.50917
     0.70410   -0.53491
     0.68917   -0.56823
     0.67425   -0.60733
     0.65938   -0.64895
     0.64459   -0.69176
     0.62988   -0.73435
     0.61525   -0.77521
     0.60066   -0.81172
     0.58608   -0.83841
     0.57147   -0.85970
     0.55678   -0.87852
     0.54202   -0.89638
     0.52717   -0.91490
     0.51224   -0.93575
     0.49726   -0.96265
     0.48227   -0.99968
     0.46728   -1.04214
     0.45234   -1.08846
     0.43746   -1.13773
     0.42263   -1.18924
     0.40786   -1.24242
     0.39313   -1.29652
     0.37844   -1.35114
     0.36376   -1.40631
     0.34910   -1.46175
     0.33447   -1.51706
     0.31987   -1.57176
     0.30532   -1.62520
     0.29085   -1.67579
     0.27647   -1.72364
     0.26221   -1.76960
     0.24804   -1.81382
     0.23395   -1.85643
     0.21988   -1.89739
     0.20578   -1.93653
     0.19158   -1.97038
     0.17719   -2.00181
     0.16269   -2.03802
     0.14833   -2.08805
     0.13449   -2.16288
     0.12123   -2.25298
     0.10823   -2.35971
     0.09478   -2.51374
     0.08120   -2.71987
     0.06887   -2.91463
     0.05618   -3.10688
     0.04465   -3.31931
     0.03635   -3.51641
     0.02944   -3.69379
     0.02234   -3.43222
     0.01306   -2.93509
     0.00822   -3.72795
     0.00536   -4.55546
     0.00338   -5.47424
     0.00194   -6.54443
     0.00091   -7.78714
     0.00021   -9.13919
    -0.00019  -10.31488
    -0.00029  -10.62880
    -0.00009   -9.21554
     0.00046   -6.17185
     0.00136   -3.47531
     0.00265   -1.65027
     0.00440   -0.48535
     0.00675    0.24280
     0.01000    0.68655
     0.01486    0.93844
     0.02280    0.99882
     0.03410    0.96567
     0.04788    0.91429
     0.06278    0.86487
     0.07768    0.82465
     0.09260    0.79121
     0.10740    0.76108
     0.12204    0.73241
     0.13660    0.70677
     0.15112    0.68649
     0.16558    0.67580
     0.18002    0.67000
     0.19444    0.66593
     0.20890    0.65870
     0.22344    0.64806
     0.23807    0.63628
     0.25281    0.62378
     0.26766    0.61103
     0.28260    0.59856
     0.29762    0.58713
     0.31268    0.57862
     0.32772    0.57212
     0.34273    0.56669
     0.35768    0.56193
     0.37258    0.55742
     0.38742    0.55276
     0.40223    0.54715
     0.41704    0.53963
     0.43187    0.53127
     0.44675    0.52249
     0.46169    0.51361
     0.47668    0.50494
     0.49171    0.49689
     0.50679    0.49056
     0.52186    0.48619
     0.53693    0.48277
     0.55197    0.47996
     0.56697    0.47752
     0.58193    0.47520
     0.59685    0.47278
     0.61174    0.46984
     0.62662    0.46641
     0.64148    0.46254
     0.65633    0.45814
     0.67117    0.45308
     0.68599    0.44717
     0.70079    0.43995
     0.71555    0.43065
     0.73027    0.42010
     0.74496    0.40869
     0.75966    0.39667
     0.77439    0.38423
     0.78922    0.37161
     0.80421    0.35938
     0.81908    0.34825
     0.83367    0.33772
     0.84803    0.32757
     0.86225    0.31763
     0.87650    0.30775
     0.89099    0.29775
     0.90585    0.28751
     0.92001    0.27775
     0.93315    0.26865
     0.94525    0.26024
     0.95639    0.25252
     0.96666    0.24552
     0.97617    0.23945
     0.98501    0.23449
     0.99326    0.23407
     1.00000    0.23319
