#      x          Cp  
     1.00000    0.25558
     0.99239    0.02113
     0.98281   -0.06707
     0.97225   -0.14595
     0.96059   -0.20559
     0.94777   -0.24465
     0.93387   -0.25370
     0.91914   -0.24681
     0.90389   -0.23683
     0.88836   -0.24769
     0.87268   -0.27445
     0.85693   -0.30732
     0.84118   -0.34402
     0.82544   -0.38251
     0.80973   -0.42097
     0.79401   -0.45523
     0.77825   -0.48348
     0.76241   -0.50965
     0.74646   -0.53489
     0.73042   -0.56028
     0.71429   -0.58681
     0.69812   -0.61649
     0.68194   -0.65195
     0.66581   -0.69042
     0.64977   -0.73069
     0.63381   -0.77202
     0.61795   -0.81368
     0.60217   -0.85485
     0.58643   -0.89356
     0.57072   -0.93087
     0.55501   -0.96770
     0.53929   -1.00438
     0.52354   -1.04124
     0.50777   -1.07858
     0.49200   -1.11722
     0.47622   -1.15723
     0.46046   -1.19782
     0.44473   -1.23872
     0.42903   -1.27959
     0.41337   -1.32009
     0.39776   -1.35931
     0.38219   -1.39605
     0.36667   -1.43219
     0.35117   -1.46867
     0.33568   -1.50633
     0.32015   -1.54618
     0.30455   -1.58953
     0.28881   -1.63946
     0.27288   -1.69640
     0.25679   -1.76034
     0.24060   -1.83254
     0.22448   -1.91520
     0.20866   -2.01124
     0.19338   -2.13953
     0.17884   -2.29842
     0.16498   -2.45544
     0.15163   -2.59278
     0.13847   -2.67029
     0.12527   -2.71873
     0.11195   -2.76638
     0.09872   -2.85119
     0.08601   -3.02515
     0.07426   -3.19387
     0.06365   -3.30268
     0.05396   -3.37572
     0.04463   -3.37092
     0.03539   -3.36524
     0.02733   -3.52660
     0.02125   -4.42035
     0.01672   -4.51277
     0.01304   -4.60545
     0.01010   -5.02371
     0.00775   -4.84376
     0.00577   -4.58378
     0.00407   -4.72230
     0.00266   -5.15015
     0.00158   -5.57379
     0.00079   -5.91691
     0.00027   -6.07645
     0.00001   -5.94050
     0.00001   -5.36458
     0.00029   -4.35403
     0.00083   -3.31860
     0.00164   -2.36861
     0.00274   -1.53019
     0.00413   -0.80421
     0.00585   -0.16557
     0.00788    0.34875
     0.01021    0.69721
     0.01287    0.89646
     0.01589    0.98000
     0.01931    0.99993
     0.02328    0.99101
     0.02787    0.96641
     0.03324    0.93657
     0.03961    0.90974
     0.04723    0.89082
     0.05634    0.87228
     0.06715    0.84943
     0.07966    0.82508
     0.09371    0.80082
     0.10882    0.78062
     0.12428    0.76603
     0.13957    0.75453
     0.15460    0.74386
     0.16961    0.73229
     0.18481    0.72080
     0.20032    0.70983
     0.21610    0.70031
     0.23206    0.69174
     0.24810    0.68388
     0.26413    0.67664
     0.28009    0.66993
     0.29596    0.66374
     0.31172    0.65816
     0.32739    0.65299
     0.34298    0.64795
     0.35850    0.64283
     0.37400    0.63741
     0.38950    0.63142
     0.40503    0.62401
     0.42066    0.61466
     0.43640    0.60447
     0.45229    0.59392
     0.46831    0.58351
     0.48444    0.57390
     0.50064    0.56638
     0.51681    0.56307
     0.53290    0.56193
     0.54887    0.56183
     0.56468    0.56212
     0.58036    0.56217
     0.59593    0.56130
     0.61144    0.55782
     0.62695    0.55235
     0.64249    0.54578
     0.65812    0.53839
     0.67385    0.53039
     0.68970    0.52201
     0.70567    0.51372
     0.72174    0.50580
     0.73789    0.49786
     0.75408    0.48983
     0.77027    0.48169
     0.78640    0.47348
     0.80239    0.46547
     0.81819    0.45800
     0.83375    0.45034
     0.84909    0.44206
     0.86426    0.43272
     0.87936    0.42174
     0.89452    0.40796
     0.90990    0.38721
     0.92564    0.36016
     0.94139    0.33105
     0.95638    0.30518
     0.96987    0.28481
     0.98170    0.26595
     0.99203    0.25744
     1.00000    0.25558
