#      x          Cp  
     1.00000    0.50332
     0.98481    0.55511
     0.96870    0.50774
     0.95291    0.46164
     0.93765    0.48484
     0.92337    0.51724
     0.90990    0.52203
     0.89692    0.51607
     0.88445    0.51531
     0.87270    0.52469
     0.86179    0.53328
     0.85171    0.53944
     0.84240    0.53884
     0.83379    0.52549
     0.82578    0.49321
     0.81833    0.44004
     0.81141    0.33735
     0.80488    0.16400
     0.79844   -0.06775
     0.79178   -0.34256
     0.78454   -0.55145
     0.77656   -0.69102
     0.76774   -0.79490
     0.75806   -0.88006
     0.74764   -0.99803
     0.73663   -1.13206
     0.72506   -1.25339
     0.71282   -1.31770
     0.69959   -1.32570
     0.68510   -1.31084
     0.66922   -1.30625
     0.65203   -1.30752
     0.63365   -1.32748
     0.61427   -1.36461
     0.59414   -1.41210
     0.57347   -1.46219
     0.55236   -1.49889
     0.53075   -1.51848
     0.50846   -1.51317
     0.48529   -1.49229
     0.46110   -1.46477
     0.43599   -1.45526
     0.41039   -1.47242
     0.38488   -1.51806
     0.35990   -1.57491
     0.33551   -1.62177
     0.31152   -1.64347
     0.28773   -1.65068
     0.26419   -1.66117
     0.24122   -1.69299
     0.21935   -1.76102
     0.19897   -1.85369
     0.18024   -1.95711
     0.16308   -2.04771
     0.14734   -2.12158
     0.13288   -2.17813
     0.11960   -2.21466
     0.10740   -2.22537
     0.09618   -2.23054
     0.08589   -2.24493
     0.07649   -2.26765
     0.06792   -2.31332
     0.06014   -2.36685
     0.05306   -2.40998
     0.04662   -2.43831
     0.04076   -2.45509
     0.03541   -2.45875
     0.03051   -2.45387
     0.02603   -2.44980
     0.02192   -2.46408
     0.01816   -2.49339
     0.01474   -2.52639
     0.01163   -2.58312
     0.00884   -2.65219
     0.00635   -2.70870
     0.00418   -2.82488
     0.00239   -2.93563
     0.00109   -2.84706
     0.00034   -2.32918
     0.00003   -1.74861
     0.00003   -1.35921
     0.00034   -1.08660
     0.00109   -0.72724
     0.00239   -0.24814
     0.00418    0.14988
     0.00635    0.42927
     0.00884    0.61979
     0.01163    0.75750
     0.01474    0.85409
     0.01816    0.92016
     0.02192    0.96350
     0.02603    0.98870
     0.03051    0.99928
     0.03541    0.99763
     0.04076    0.98544
     0.04662    0.96427
     0.05306    0.93556
     0.06014    0.90077
     0.06792    0.86118
     0.07649    0.81699
     0.08589    0.76745
     0.09618    0.71330
     0.10740    0.65461
     0.11960    0.59323
     0.13288    0.53303
     0.14734    0.47512
     0.16308    0.42070
     0.18024    0.37114
     0.19897    0.32698
     0.21935    0.28338
     0.24122    0.23639
     0.26419    0.18172
     0.28773    0.12268
     0.31152    0.06472
     0.33551    0.01424
     0.35990   -0.02400
     0.38488   -0.05523
     0.41039   -0.08819
     0.43599   -0.13118
     0.46110   -0.18449
     0.48529   -0.24501
     0.50846   -0.30098
     0.53075   -0.34759
     0.55236   -0.37925
     0.57347   -0.39945
     0.59414   -0.40974
     0.61427   -0.41903
     0.63365   -0.43201
     0.65203   -0.45328
     0.66922   -0.48447
     0.68510   -0.51778
     0.69959   -0.55631
     0.71282   -0.57812
     0.72506   -0.55961
     0.73663   -0.49876
     0.74764   -0.42550
     0.75806   -0.36027
     0.76774   -0.31585
     0.77656   -0.25499
     0.78454   -0.16459
     0.79178   -0.01846
     0.79844    0.18225
     0.80488    0.35426
     0.81141    0.48421
     0.81833    0.56103
     0.82578    0.59998
     0.83379    0.62288
     0.84240    0.63089
     0.85171    0.62860
     0.86179    0.62055
     0.87270    0.61006
     0.88445    0.59835
     0.89692    0.59451
     0.90990    0.59468
     0.92337    0.58524
     0.93765    0.55055
     0.95291    0.52138
     0.96870    0.55210
     0.98481    0.58657
     1.00000    0.50332
