#      x          Cp  
     1.00000    0.40349
     0.99093    0.23497
     0.97934    0.16478
     0.96636    0.10593
     0.95189    0.05227
     0.93613   -0.00244
     0.91955   -0.05719
     0.90263   -0.10956
     0.88558   -0.15558
     0.86839   -0.19730
     0.85103   -0.23680
     0.83351   -0.27501
     0.81584   -0.31277
     0.79809   -0.35133
     0.78031   -0.39237
     0.76259   -0.43438
     0.74495   -0.47669
     0.72740   -0.51886
     0.70994   -0.56045
     0.69251   -0.60002
     0.67506   -0.63730
     0.65755   -0.67414
     0.63997   -0.71126
     0.62230   -0.74947
     0.60459   -0.78976
     0.58689   -0.83482
     0.56924   -0.88360
     0.55169   -0.93442
     0.53427   -0.98665
     0.51697   -1.03979
     0.49978   -1.09319
     0.48268   -1.14591
     0.46563   -1.19869
     0.44862   -1.25201
     0.43166   -1.30595
     0.41474   -1.36099
     0.39790   -1.41756
     0.38116   -1.47677
     0.36455   -1.53709
     0.34809   -1.59808
     0.33176   -1.65928
     0.31557   -1.72049
     0.29947   -1.78168
     0.28345   -1.84292
     0.26748   -1.90413
     0.25160   -1.96518
     0.23583   -2.02597
     0.22028   -2.08660
     0.20502   -2.14748
     0.19017   -2.21279
     0.17579   -2.27919
     0.16184   -2.34133
     0.14822   -2.39498
     0.13476   -2.43538
     0.12141   -2.47105
     0.10830   -2.50626
     0.09572   -2.54501
     0.08399   -2.59192
     0.07336   -2.65740
     0.06389   -2.75114
     0.05555   -2.85539
     0.04826   -2.98026
     0.04189   -3.13443
     0.03632   -3.28947
     0.03143   -3.44094
     0.02710   -3.58867
     0.02324   -3.75509
     0.01979   -3.92331
     0.01668   -4.04785
     0.01390   -4.12686
     0.01142   -4.18743
     0.00922   -4.25525
     0.00731   -4.31925
     0.00566   -4.37424
     0.00425   -4.41350
     0.00306   -4.42906
     0.00208   -4.41105
     0.00129   -4.34790
     0.00069   -4.22637
     0.00027   -4.03253
     0.00003   -3.75284
    -0.00002   -3.37631
     0.00012   -2.87219
     0.00045   -2.31581
     0.00097   -1.77628
     0.00168   -1.27745
     0.00258   -0.83132
     0.00368   -0.44154
     0.00498   -0.10724
     0.00651    0.17475
     0.00827    0.40845
     0.01030    0.59790
     0.01259    0.74715
     0.01517    0.85955
     0.01804    0.93530
     0.02122    0.97901
     0.02473    0.99770
     0.02860    0.99857
     0.03287    0.98660
     0.03761    0.96502
     0.04290    0.93644
     0.04885    0.90296
     0.05553    0.86535
     0.06310    0.82473
     0.07169    0.78269
     0.08145    0.73991
     0.09254    0.69764
     0.10501    0.65816
     0.11876    0.62341
     0.13346    0.59442
     0.14876    0.57010
     0.16444    0.54575
     0.18051    0.52275
     0.19696    0.50246
     0.21379    0.48638
     0.23098    0.47398
     0.24850    0.46445
     0.26631    0.45731
     0.28436    0.45203
     0.30259    0.44783
     0.32094    0.44381
     0.33934    0.44035
     0.35775    0.43740
     0.37614    0.43480
     0.39450    0.43236
     0.41282    0.42958
     0.43111    0.42654
     0.44939    0.42346
     0.46765    0.42035
     0.48591    0.41722
     0.50416    0.41405
     0.52240    0.41082
     0.54063    0.40753
     0.55885    0.40416
     0.57706    0.40068
     0.59526    0.39705
     0.61343    0.39321
     0.63159    0.38915
     0.64972    0.38482
     0.66785    0.38014
     0.68598    0.37500
     0.70412    0.36895
     0.72231    0.36158
     0.74055    0.35387
     0.75884    0.34634
     0.77717    0.33955
     0.79550    0.33426
     0.81379    0.33264
     0.83199    0.33354
     0.85003    0.33541
     0.86786    0.33765
     0.88545    0.33973
     0.90276    0.34112
     0.91972    0.34136
     0.93614    0.34077
     0.95166    0.33939
     0.96597    0.33774
     0.97896    0.33748
     0.99071    0.34714
     1.00000    0.40349
