#      x          Cp  
     1.00000    0.62420
     0.99189    0.41486
     0.98149    0.32778
     0.96974    0.25772
     0.95650    0.19728
     0.94183    0.14270
     0.92619    0.09345
     0.91019    0.04843
     0.89422    0.00628
     0.87833   -0.03483
     0.86246   -0.07625
     0.84658   -0.12030
     0.83065   -0.16937
     0.81465   -0.22214
     0.79858   -0.27831
     0.78247   -0.33764
     0.76635   -0.40046
     0.75026   -0.46709
     0.73423   -0.53812
     0.71828   -0.61343
     0.70244   -0.69309
     0.68669   -0.77793
     0.67103   -0.86782
     0.65548   -0.96277
     0.64006   -1.06382
     0.62476   -1.17079
     0.60960   -1.28324
     0.59456   -1.40275
     0.57961   -1.53039
     0.56478   -1.66398
     0.55020   -1.80454
     0.53602   -1.95894
     0.52229   -2.10881
     0.50892   -2.24053
     0.49568   -2.32408
     0.48227   -2.34258
     0.46847   -2.33429
     0.45418   -2.31397
     0.43946   -2.31017
     0.42454   -2.31891
     0.40959   -2.32812
     0.39468   -2.33551
     0.37976   -2.33950
     0.36479   -2.34210
     0.34977   -2.34457
     0.33472   -2.34934
     0.31968   -2.35448
     0.30470   -2.35944
     0.28977   -2.36468
     0.27490   -2.36972
     0.26011   -2.37459
     0.24540   -2.38017
     0.23079   -2.38675
     0.21630   -2.39346
     0.20196   -2.39979
     0.18778   -2.40716
     0.17380   -2.41459
     0.16003   -2.42181
     0.14647   -2.43099
     0.13313   -2.44373
     0.12005   -2.45603
     0.10737   -2.46698
     0.09522   -2.47938
     0.08374   -2.49419
     0.07290   -2.50924
     0.06263   -2.52579
     0.05320   -2.54026
     0.04503   -2.56871
     0.03818   -2.60393
     0.03237   -2.63264
     0.02727   -2.65402
     0.02268   -2.67007
     0.01845   -2.67265
     0.01467   -2.65591
     0.01144   -2.63099
     0.00878   -2.61693
     0.00661   -2.63292
     0.00483   -2.72656
     0.00335   -2.96275
     0.00217   -3.21798
     0.00125   -3.44950
     0.00058   -3.62274
     0.00013   -3.69546
    -0.00008   -3.61707
    -0.00007   -3.33963
     0.00019   -2.78783
     0.00071   -2.12537
     0.00147   -1.50035
     0.00248   -0.94378
     0.00377   -0.46463
     0.00534   -0.05464
     0.00723    0.29785
     0.00947    0.57619
     0.01214    0.77471
     0.01529    0.90003
     0.01901    0.96750
     0.02336    0.99527
     0.02838    0.99955
     0.03414    0.98989
     0.04077    0.96987
     0.04839    0.94187
     0.05720    0.90889
     0.06753    0.87335
     0.07961    0.83587
     0.09324    0.79673
     0.10794    0.75926
     0.12339    0.72475
     0.13936    0.69354
     0.15566    0.66519
     0.17217    0.63906
     0.18882    0.61520
     0.20559    0.59328
     0.22243    0.57299
     0.23933    0.55423
     0.25626    0.53675
     0.27322    0.52036
     0.29019    0.50506
     0.30718    0.49078
     0.32419    0.47742
     0.34123    0.46476
     0.35826    0.45229
     0.37524    0.44005
     0.39215    0.42869
     0.40901    0.41898
     0.42587    0.41099
     0.44277    0.40414
     0.45974    0.39847
     0.47679    0.39373
     0.49392    0.38952
     0.51110    0.38524
     0.52831    0.38094
     0.54554    0.37690
     0.56279    0.37324
     0.58005    0.36993
     0.59735    0.36686
     0.61467    0.36396
     0.63200    0.36121
     0.64933    0.35857
     0.66667    0.35599
     0.68399    0.35347
     0.70130    0.35103
     0.71861    0.34864
     0.73590    0.34632
     0.75319    0.34406
     0.77046    0.34185
     0.78773    0.33972
     0.80499    0.33773
     0.82224    0.33587
     0.83945    0.33382
     0.85658    0.33049
     0.87354    0.32588
     0.89029    0.32224
     0.90688    0.32100
     0.92330    0.32356
     0.93930    0.33114
     0.95439    0.34573
     0.96815    0.36905
     0.98045    0.40384
     0.99142    0.45829
     1.00000    0.62420
