#      x          Cp  
     1.00000    0.11374
     0.99196    0.13693
     0.97989    0.15900
     0.96590    0.18424
     0.95133    0.21809
     0.93687    0.28384
     0.92318    0.35386
     0.91105    0.41131
     0.90031    0.43836
     0.89020    0.41541
     0.88006    0.36331
     0.86936    0.28839
     0.85764    0.19093
     0.84455    0.10387
     0.83035    0.06262
     0.81569    0.04032
     0.80106    0.02303
     0.78650   -0.01060
     0.77185   -0.05341
     0.75701   -0.10031
     0.74204   -0.14737
     0.72706   -0.19251
     0.71217   -0.23625
     0.69738   -0.27709
     0.68264   -0.31350
     0.66788   -0.34763
     0.65306   -0.38024
     0.63820   -0.41181
     0.62329   -0.44262
     0.60837   -0.47297
     0.59343   -0.50349
     0.57849   -0.53444
     0.56355   -0.56547
     0.54860   -0.59663
     0.53366   -0.62803
     0.51872   -0.65948
     0.50379   -0.69091
     0.48887   -0.72227
     0.47395   -0.75348
     0.45904   -0.78441
     0.44414   -0.81489
     0.42926   -0.84477
     0.41438   -0.87395
     0.39951   -0.90195
     0.38462   -0.92777
     0.36970   -0.95297
     0.35474   -0.97858
     0.33975   -1.00596
     0.32475   -1.03548
     0.30973   -1.06731
     0.29472   -1.10292
     0.27973   -1.14324
     0.26478   -1.18728
     0.24988   -1.23562
     0.23504   -1.28986
     0.22030   -1.34845
     0.20565   -1.41071
     0.19111   -1.47685
     0.17667   -1.54701
     0.16234   -1.62143
     0.14814   -1.70158
     0.13407   -1.78981
     0.12019   -1.89152
     0.10658   -2.00976
     0.09332   -2.13770
     0.08045   -2.27623
     0.06805   -2.43134
     0.05633   -2.61741
     0.04552   -2.81419
     0.03577   -3.02714
     0.02752   -3.33668
     0.02089   -3.55142
     0.01566   -3.84350
     0.01162   -4.09919
     0.00847   -4.33173
     0.00601   -4.59381
     0.00409   -4.80838
     0.00258   -5.09443
     0.00143   -5.39884
     0.00060   -6.09956
     0.00012   -6.20020
     0.00000   -5.57974
     0.00022   -4.62682
     0.00087   -3.02407
     0.00194   -1.54002
     0.00344   -0.45178
     0.00535    0.20549
     0.00771    0.61122
     0.01063    0.83897
     0.01426    0.95418
     0.01887    0.99701
     0.02483    0.99274
     0.03272    0.95727
     0.04296    0.90263
     0.05500    0.84012
     0.06819    0.77973
     0.08208    0.72494
     0.09634    0.67712
     0.11085    0.63544
     0.12553    0.59918
     0.14035    0.56765
     0.15531    0.53971
     0.17037    0.51443
     0.18552    0.49160
     0.20073    0.47058
     0.21596    0.45049
     0.23121    0.43151
     0.24646    0.41359
     0.26170    0.39643
     0.27692    0.38012
     0.29213    0.36476
     0.30731    0.35049
     0.32248    0.33735
     0.33764    0.32529
     0.35279    0.31442
     0.36795    0.30486
     0.38310    0.29643
     0.39827    0.28909
     0.41346    0.28297
     0.42868    0.27782
     0.44392    0.27344
     0.45918    0.26956
     0.47446    0.26619
     0.48974    0.26351
     0.50503    0.26181
     0.52036    0.26119
     0.53574    0.26105
     0.55116    0.26092
     0.56662    0.26016
     0.58206    0.25969
     0.59750    0.26023
     0.61286    0.26347
     0.62811    0.26783
     0.64325    0.27184
     0.65831    0.27382
     0.67335    0.27368
     0.68839    0.27232
     0.70340    0.27019
     0.71833    0.26749
     0.73315    0.26276
     0.74790    0.25449
     0.76267    0.23844
     0.77755    0.21794
     0.79261    0.19625
     0.80783    0.18124
     0.82314    0.17137
     0.83822    0.15541
     0.85266    0.11750
     0.86607    0.04315
     0.87848   -0.03098
     0.89019   -0.08605
     0.90157   -0.08122
     0.91309    0.02397
     0.92522    0.11788
     0.93820    0.10795
     0.95200    0.07573
     0.96620    0.08733
     0.97997    0.09863
     0.99197    0.09883
     1.00000    0.11374
