#      x          Cp  
     1.00000    0.30654
     0.99295    0.15622
     0.98429    0.09729
     0.97500    0.05018
     0.96499    0.01037
     0.95416   -0.02625
     0.94240   -0.06107
     0.92963   -0.09495
     0.91579   -0.12828
     0.90093   -0.16109
     0.88538   -0.19254
     0.87009   -0.22138
     0.85494   -0.24844
     0.83973   -0.27447
     0.82432   -0.29996
     0.80865   -0.32528
     0.79301   -0.35028
     0.77750   -0.37505
     0.76203   -0.39990
     0.74653   -0.42517
     0.73097   -0.45123
     0.71534   -0.47849
     0.69964   -0.50783
     0.68392   -0.54078
     0.66823   -0.57570
     0.65260   -0.61165
     0.63703   -0.64799
     0.62153   -0.68407
     0.60606   -0.71914
     0.59058   -0.75081
     0.57507   -0.77952
     0.55948   -0.80728
     0.54382   -0.83483
     0.52810   -0.86296
     0.51236   -0.89247
     0.49668   -0.92615
     0.48112   -0.96620
     0.46570   -1.00605
     0.45036   -1.03972
     0.43494   -1.05560
     0.41932   -1.06818
     0.40354   -1.09022
     0.38781   -1.14820
     0.37237   -1.22671
     0.35722   -1.30595
     0.34219   -1.36098
     0.32699   -1.39122
     0.31152   -1.41981
     0.29591   -1.46988
     0.28055   -1.55646
     0.26568   -1.64149
     0.25121   -1.69972
     0.23686   -1.68013
     0.22231   -1.63395
     0.20745   -1.60255
     0.19239   -1.66534
     0.17751   -1.82760
     0.16306   -2.01337
     0.14908   -2.17989
     0.13545   -2.27031
     0.12203   -2.32784
     0.10863   -2.37021
     0.09502   -2.40548
     0.08100   -2.43834
     0.06731   -2.46562
     0.05476   -2.54233
     0.04191   -3.03084
     0.02955   -3.60481
     0.02093   -3.98248
     0.01588   -4.39258
     0.01228   -4.81640
     0.00948   -5.27940
     0.00723   -5.79338
     0.00539   -6.36865
     0.00388   -7.01148
     0.00264   -7.72050
     0.00165   -8.47724
     0.00089   -9.23037
     0.00034   -9.87132
    -0.00000  -10.21161
    -0.00013   -9.99744
    -0.00005   -9.00987
     0.00027   -7.19447
     0.00081   -5.21409
     0.00159   -3.50381
     0.00260   -2.16166
     0.00388   -1.16135
     0.00544   -0.43538
     0.00733    0.08323
     0.00963    0.44863
     0.01245    0.70087
     0.01601    0.86789
     0.02077    0.96652
     0.02784    0.99983
     0.03954    0.95780
     0.05248    0.91312
     0.06525    0.86755
     0.08024    0.81146
     0.09567    0.75480
     0.11001    0.71214
     0.12422    0.68096
     0.13901    0.65570
     0.15457    0.63193
     0.17045    0.60630
     0.18605    0.58421
     0.20119    0.56983
     0.21601    0.56834
     0.23070    0.57080
     0.24539    0.57159
     0.26015    0.55899
     0.27495    0.53669
     0.28979    0.51368
     0.30464    0.50070
     0.31949    0.50432
     0.33438    0.51201
     0.34935    0.51757
     0.36452    0.51160
     0.37995    0.50036
     0.39563    0.48823
     0.41145    0.48123
     0.42723    0.47796
     0.44292    0.47510
     0.45855    0.46983
     0.47422    0.46201
     0.49000    0.45371
     0.50591    0.44634
     0.52185    0.44068
     0.53776    0.43577
     0.55369    0.43139
     0.56965    0.42741
     0.58556    0.42378
     0.60143    0.42050
     0.61724    0.41762
     0.63302    0.41486
     0.64878    0.41203
     0.66452    0.40895
     0.68022    0.40541
     0.69590    0.40113
     0.71154    0.39528
     0.72713    0.38823
     0.74269    0.38054
     0.75823    0.37240
     0.77380    0.36399
     0.78946    0.35547
     0.80529    0.34731
     0.82112    0.33988
     0.83667    0.33279
     0.85200    0.32582
     0.86724    0.31882
     0.88260    0.31157
     0.89834    0.30387
     0.91364    0.29594
     0.92790    0.28823
     0.94104    0.28089
     0.95311    0.27406
     0.96422    0.26791
     0.97447    0.26293
     0.98397    0.25954
     0.99280    0.26468
     1.00000    0.30654
