#      x          Cp  
     1.00000    0.30316
     0.99214    0.14586
     0.98001    0.06570
     0.96659    0.00653
     0.95291   -0.03576
     0.93912   -0.06766
     0.92523   -0.09361
     0.91126   -0.11757
     0.89725   -0.14142
     0.88321   -0.16580
     0.86917   -0.19031
     0.85512   -0.21508
     0.84108   -0.24081
     0.82705   -0.26743
     0.81303   -0.29460
     0.79902   -0.32228
     0.78502   -0.35046
     0.77103   -0.37903
     0.75705   -0.40789
     0.74308   -0.43696
     0.72911   -0.46612
     0.71516   -0.49534
     0.70120   -0.52446
     0.68726   -0.55317
     0.67331   -0.58162
     0.65936   -0.60982
     0.64541   -0.63762
     0.63145   -0.66491
     0.61749   -0.69197
     0.60352   -0.71887
     0.58955   -0.74557
     0.57556   -0.77226
     0.56157   -0.79914
     0.54757   -0.82644
     0.53356   -0.85441
     0.51955   -0.88306
     0.50554   -0.91249
     0.49153   -0.94321
     0.47752   -0.97515
     0.46351   -1.00804
     0.44951   -1.04188
     0.43553   -1.07679
     0.42155   -1.11256
     0.40758   -1.14909
     0.39362   -1.18634
     0.37968   -1.22430
     0.36575   -1.26288
     0.35183   -1.30206
     0.33793   -1.34182
     0.32404   -1.38222
     0.31017   -1.42331
     0.29632   -1.46526
     0.28249   -1.50827
     0.26869   -1.55237
     0.25490   -1.59781
     0.24115   -1.64536
     0.22744   -1.69510
     0.21377   -1.74684
     0.20014   -1.80123
     0.18657   -1.85974
     0.17306   -1.92160
     0.15963   -1.98690
     0.14629   -2.05826
     0.13305   -2.13779
     0.11995   -2.22171
     0.10701   -2.30913
     0.09426   -2.40337
     0.08175   -2.50512
     0.06947   -2.59678
     0.05735   -2.68188
     0.04539   -2.80054
     0.03384   -3.04022
     0.02336   -3.49606
     0.01545   -4.16245
     0.00979   -5.27359
     0.00590   -6.46496
     0.00345   -8.00029
     0.00187   -9.77931
     0.00084  -11.69751
     0.00023  -13.37188
    -0.00001  -13.75102
     0.00014  -11.00429
     0.00067   -7.23765
     0.00161   -4.29298
     0.00303   -2.21920
     0.00516   -0.81802
     0.00834    0.14174
     0.01307    0.71999
     0.01984    0.93904
     0.02889    0.99965
     0.03980    0.97652
     0.05170    0.92239
     0.06407    0.86421
     0.07690    0.81277
     0.09019    0.76975
     0.10383    0.73244
     0.11765    0.69967
     0.13158    0.67168
     0.14555    0.64784
     0.15955    0.62699
     0.17356    0.60866
     0.18760    0.59270
     0.20167    0.57880
     0.21577    0.56667
     0.22990    0.55609
     0.24406    0.54685
     0.25823    0.53870
     0.27242    0.53147
     0.28661    0.52505
     0.30081    0.51929
     0.31499    0.51399
     0.32916    0.50911
     0.34331    0.50453
     0.35745    0.50006
     0.37157    0.49563
     0.38569    0.49127
     0.39981    0.48690
     0.41393    0.48239
     0.42804    0.47781
     0.44216    0.47319
     0.45628    0.46849
     0.47041    0.46371
     0.48455    0.45891
     0.49869    0.45411
     0.51283    0.44935
     0.52698    0.44463
     0.54114    0.43995
     0.55529    0.43536
     0.56945    0.43086
     0.58361    0.42642
     0.59777    0.42202
     0.61192    0.41767
     0.62608    0.41334
     0.64023    0.40899
     0.65439    0.40461
     0.66854    0.40016
     0.68268    0.39563
     0.69683    0.39101
     0.71098    0.38625
     0.72512    0.38136
     0.73926    0.37632
     0.75341    0.37113
     0.76755    0.36575
     0.78169    0.36018
     0.79583    0.35439
     0.80997    0.34835
     0.82410    0.34203
     0.83824    0.33543
     0.85238    0.32850
     0.86652    0.32119
     0.88066    0.31353
     0.89480    0.30547
     0.90895    0.29690
     0.92311    0.28784
     0.93727    0.27845
     0.95142    0.26876
     0.96554    0.25936
     0.97946    0.25168
     0.99196    0.25579
     1.00000    0.30316
