#      x          Cp  
     1.00000    0.38655
     0.98760    0.17021
     0.97247    0.14239
     0.95633    0.13487
     0.93902    0.08364
     0.92036    0.01754
     0.90027   -0.01828
     0.87883   -0.06493
     0.85618   -0.11484
     0.83263   -0.15994
     0.80845   -0.20098
     0.78385   -0.24214
     0.75901   -0.29308
     0.73406   -0.35089
     0.70919   -0.40829
     0.68450   -0.46916
     0.66016   -0.53394
     0.63611   -0.59570
     0.61240   -0.66290
     0.58909   -0.73409
     0.56616   -0.80289
     0.54358   -0.87475
     0.52139   -0.95058
     0.49946   -0.99772
     0.47767   -1.07323
     0.45651   -1.18857
     0.43585   -1.27054
     0.41556   -1.35891
     0.39571   -1.44961
     0.37631   -1.54292
     0.35739   -1.63869
     0.33893   -1.72936
     0.32091   -1.81992
     0.30335   -1.91202
     0.28627   -2.00512
     0.26968   -2.08877
     0.25354   -2.16401
     0.23787   -2.24502
     0.22276   -2.33026
     0.20823   -2.42054
     0.19433   -2.50040
     0.18104   -2.58695
     0.16837   -2.64183
     0.15631   -2.70792
     0.14487   -2.76807
     0.13405   -2.84850
     0.12386   -2.88018
     0.11425   -2.93650
     0.10524   -3.00207
     0.09679   -3.02388
     0.08887   -3.06204
     0.08146   -3.10638
     0.07454   -3.12803
     0.06807   -3.16135
     0.06204   -3.19137
     0.05642   -3.20496
     0.05119   -3.17139
     0.04630   -3.11209
     0.04173   -3.05529
     0.03745   -3.01984
     0.03344   -2.99903
     0.02970   -3.00257
     0.02621   -3.05580
     0.02299   -2.97395
     0.01998   -2.88081
     0.01714   -3.07316
     0.01455   -3.22164
     0.01224   -3.11115
     0.01016   -2.95462
     0.00828   -2.84517
     0.00659   -2.78710
     0.00509   -2.75797
     0.00383   -2.55216
     0.00278   -2.28825
     0.00190   -2.04922
     0.00117   -1.87120
     0.00059   -1.70218
     0.00017   -1.52592
    -0.00009   -1.32819
    -0.00019   -1.11251
    -0.00013   -0.89523
     0.00010   -0.68015
     0.00049   -0.46974
     0.00105   -0.26555
     0.00179   -0.06879
     0.00272    0.12184
     0.00384    0.29849
     0.00516    0.45473
     0.00667    0.58875
     0.00837    0.70283
     0.01028    0.79788
     0.01241    0.87398
     0.01474    0.93017
     0.01728    0.96812
     0.02003    0.99047
     0.02298    0.99946
     0.02610    0.99808
     0.02935    0.98722
     0.03287    0.96970
     0.03663    0.95056
     0.04053    0.92015
     0.04467    0.88249
     0.04912    0.85085
     0.05388    0.81855
     0.05893    0.78051
     0.06430    0.73958
     0.07003    0.70008
     0.07615    0.66227
     0.08269    0.62497
     0.08969    0.58810
     0.09719    0.55142
     0.10522    0.51505
     0.11383    0.48075
     0.12307    0.44665
     0.13298    0.41394
     0.14362    0.38793
     0.15504    0.36209
     0.16727    0.33640
     0.18035    0.31476
     0.19432    0.29739
     0.20925    0.28496
     0.22522    0.28022
     0.24232    0.27971
     0.26054    0.27628
     0.27964    0.26671
     0.29930    0.25593
     0.31942    0.25259
     0.34014    0.25959
     0.36155    0.26736
     0.38355    0.27574
     0.40605    0.28841
     0.42898    0.30205
     0.45204    0.32183
     0.47501    0.33358
     0.49794    0.34515
     0.52052    0.36322
     0.54302    0.36665
     0.56579    0.36500
     0.58886    0.36386
     0.61216    0.36271
     0.63566    0.36060
     0.65927    0.35998
     0.68287    0.35788
     0.70645    0.35545
     0.72982    0.35437
     0.75276    0.35590
     0.77502    0.35814
     0.79651    0.35915
     0.81716    0.35709
     0.83703    0.34677
     0.85597    0.34307
     0.87372    0.31845
     0.89038    0.27693
     0.90642    0.32052
     0.92240    0.30532
     0.93865    0.29079
     0.95510    0.30578
     0.97142    0.30324
     0.98715    0.31733
     1.00000    0.38655
