#      x          Cp  
     1.00000    0.26590
     0.99324    0.16965
     0.98450    0.13065
     0.97453    0.09777
     0.96309    0.06689
     0.95008    0.03376
     0.93617   -0.00424
     0.92242   -0.04227
     0.90850   -0.07948
     0.89451   -0.11112
     0.88065   -0.13504
     0.86674   -0.15643
     0.85268   -0.17728
     0.83855   -0.20084
     0.82443   -0.22606
     0.81029   -0.25187
     0.79618   -0.27760
     0.78213   -0.30278
     0.76810   -0.32787
     0.75407   -0.35298
     0.74005   -0.37819
     0.72601   -0.40358
     0.71195   -0.42920
     0.69789   -0.45519
     0.68381   -0.48173
     0.66974   -0.50851
     0.65567   -0.53539
     0.64161   -0.56222
     0.62757   -0.58886
     0.61353   -0.61512
     0.59951   -0.64065
     0.58549   -0.66482
     0.57147   -0.68819
     0.55744   -0.71102
     0.54342   -0.73343
     0.52938   -0.75550
     0.51533   -0.77730
     0.50127   -0.79884
     0.48720   -0.81999
     0.47311   -0.84104
     0.45901   -0.86226
     0.44490   -0.88385
     0.43078   -0.90606
     0.41666   -0.92921
     0.40254   -0.95378
     0.38842   -0.98114
     0.37432   -1.01047
     0.36024   -1.04096
     0.34618   -1.07203
     0.33214   -1.10322
     0.31812   -1.13491
     0.30410   -1.16704
     0.29008   -1.19853
     0.27604   -1.23083
     0.26198   -1.26622
     0.24791   -1.30811
     0.23387   -1.36070
     0.21989   -1.41919
     0.20599   -1.48162
     0.19217   -1.54520
     0.17843   -1.61045
     0.16476   -1.68071
     0.15110   -1.75956
     0.13741   -1.85563
     0.12367   -1.96507
     0.11003   -2.08494
     0.09676   -2.21468
     0.08413   -2.35508
     0.07214   -2.50935
     0.06048   -2.68928
     0.04860   -2.94650
     0.03583   -3.39722
     0.02447   -3.97182
     0.01670   -4.70065
     0.01097   -5.56677
     0.00645   -6.18397
     0.00361   -7.03058
     0.00186   -8.48407
     0.00077  -10.16994
     0.00012  -11.96335
    -0.00014  -13.15996
    -0.00000  -11.81707
     0.00059   -7.29743
     0.00168   -3.67239
     0.00342   -1.42270
     0.00616   -0.16014
     0.01038    0.54186
     0.01605    0.87371
     0.02395    0.98953
     0.03601    0.98763
     0.04976    0.93720
     0.06237    0.88691
     0.07474    0.84041
     0.08757    0.79753
     0.10118    0.75753
     0.11536    0.72008
     0.12952    0.68662
     0.14376    0.65638
     0.15787    0.62882
     0.17189    0.60334
     0.18593    0.57978
     0.20003    0.55799
     0.21419    0.53808
     0.22840    0.51962
     0.24262    0.50220
     0.25684    0.48502
     0.27104    0.46786
     0.28521    0.45138
     0.29935    0.43589
     0.31348    0.42201
     0.32761    0.40929
     0.34175    0.39745
     0.35591    0.38621
     0.37006    0.37548
     0.38421    0.36548
     0.39834    0.35636
     0.41248    0.34843
     0.42661    0.34144
     0.44075    0.33520
     0.45491    0.32959
     0.46908    0.32452
     0.48327    0.31988
     0.49747    0.31554
     0.51167    0.31117
     0.52587    0.30695
     0.54006    0.30311
     0.55425    0.29974
     0.56842    0.29695
     0.58258    0.29487
     0.59674    0.29372
     0.61089    0.29418
     0.62505    0.29579
     0.63921    0.29806
     0.65339    0.30074
     0.66757    0.30365
     0.68175    0.30659
     0.69593    0.30936
     0.71010    0.31154
     0.72425    0.31319
     0.73837    0.31447
     0.75247    0.31536
     0.76654    0.31582
     0.78061    0.31579
     0.79468    0.31516
     0.80878    0.31351
     0.82293    0.31099
     0.83711    0.30804
     0.85127    0.30502
     0.86534    0.30239
     0.87930    0.29956
     0.89323    0.29621
     0.90731    0.29195
     0.92147    0.28670
     0.93541    0.28069
     0.94950    0.27355
     0.96268    0.26553
     0.97427    0.25766
     0.98436    0.25060
     0.99318    0.24932
     1.00000    0.26590
