#      x          Cp  
     1.00000    0.33697
     0.99212    0.21877
     0.98120    0.16553
     0.96821    0.11392
     0.95409    0.06105
     0.93990    0.01034
     0.92576   -0.03258
     0.91159   -0.05583
     0.89735   -0.07793
     0.88306   -0.11378
     0.86873   -0.14590
     0.85435   -0.17093
     0.83994   -0.20097
     0.82551   -0.23508
     0.81111   -0.26966
     0.79675   -0.30330
     0.78241   -0.33471
     0.76806   -0.36556
     0.75369   -0.39654
     0.73932   -0.42878
     0.72496   -0.46182
     0.71063   -0.49485
     0.69630   -0.52696
     0.68198   -0.55747
     0.66763   -0.58775
     0.65326   -0.61853
     0.63889   -0.65142
     0.62452   -0.68563
     0.61018   -0.72015
     0.59586   -0.75411
     0.58155   -0.78691
     0.56725   -0.81906
     0.55293   -0.85056
     0.53862   -0.88111
     0.52429   -0.91087
     0.50997   -0.93996
     0.49563   -0.96820
     0.48129   -0.99551
     0.46694   -1.02240
     0.45257   -1.04912
     0.43820   -1.07592
     0.42382   -1.10304
     0.40943   -1.13079
     0.39504   -1.15959
     0.38063   -1.19007
     0.36624   -1.22550
     0.35190   -1.26376
     0.33759   -1.29783
     0.32329   -1.33018
     0.30899   -1.36298
     0.29469   -1.39475
     0.28037   -1.42596
     0.26602   -1.46214
     0.25165   -1.50605
     0.23734   -1.56324
     0.22311   -1.62835
     0.20897   -1.69697
     0.19492   -1.77177
     0.18098   -1.85318
     0.16715   -1.93509
     0.15341   -2.01931
     0.13979   -2.11712
     0.12636   -2.22381
     0.11309   -2.33036
     0.09999   -2.44816
     0.08719   -2.59729
     0.07480   -2.75891
     0.06274   -2.92611
     0.05115   -3.11675
     0.04051   -3.39464
     0.03100   -3.62200
     0.02281   -3.90955
     0.01641   -4.20341
     0.01159   -4.34474
     0.00804   -4.63988
     0.00550   -4.99812
     0.00366   -4.85641
     0.00221   -5.06282
     0.00109   -6.30760
     0.00036   -7.65714
     0.00001   -8.67837
     0.00004   -8.07030
     0.00049   -5.52984
     0.00138   -3.31010
     0.00274   -1.70771
     0.00457   -0.57324
     0.00691    0.08693
     0.00996    0.50817
     0.01397    0.78260
     0.01926    0.93626
     0.02642    0.99668
     0.03582    0.98963
     0.04695    0.94916
     0.05965    0.89658
     0.07309    0.84361
     0.08677    0.79518
     0.10071    0.75119
     0.11485    0.71066
     0.12903    0.67379
     0.14324    0.64033
     0.15749    0.61055
     0.17180    0.58424
     0.18618    0.56070
     0.20062    0.53936
     0.21513    0.51954
     0.22967    0.50081
     0.24425    0.48273
     0.25884    0.46511
     0.27342    0.44775
     0.28799    0.43023
     0.30252    0.41321
     0.31700    0.39731
     0.33146    0.38281
     0.34590    0.36998
     0.36035    0.35912
     0.37482    0.34978
     0.38931    0.34119
     0.40383    0.33302
     0.41835    0.32497
     0.43286    0.31751
     0.44736    0.31080
     0.46184    0.30516
     0.47633    0.30047
     0.49082    0.29659
     0.50532    0.29353
     0.51982    0.29127
     0.53433    0.28979
     0.54884    0.28916
     0.56336    0.28951
     0.57788    0.29072
     0.59242    0.29270
     0.60698    0.29569
     0.62157    0.29957
     0.63619    0.30380
     0.65083    0.30803
     0.66547    0.31175
     0.68011    0.31532
     0.69473    0.31893
     0.70933    0.32279
     0.72391    0.32683
     0.73847    0.33080
     0.75299    0.33464
     0.76746    0.33830
     0.78187    0.34146
     0.79627    0.34386
     0.81068    0.34457
     0.82513    0.34499
     0.83949    0.34793
     0.85373    0.34681
     0.86813    0.33805
     0.88263    0.33586
     0.89687    0.33798
     0.91095    0.32236
     0.92516    0.30348
     0.93937    0.30766
     0.95344    0.31303
     0.96753    0.30748
     0.98078    0.30160
     0.99197    0.30424
     1.00000    0.33697
