#      x          Cp  
     1.00000    0.27668
     0.99215    0.14742
     0.98011    0.08310
     0.96661    0.03154
     0.95249   -0.01131
     0.93806   -0.04915
     0.92355   -0.08378
     0.90904   -0.11658
     0.89454   -0.14669
     0.88001   -0.17412
     0.86545   -0.20047
     0.85085   -0.22680
     0.83624   -0.25484
     0.82165   -0.28361
     0.80709   -0.31246
     0.79257   -0.34065
     0.77806   -0.36812
     0.76355   -0.39546
     0.74903   -0.42282
     0.73450   -0.45031
     0.71994   -0.47844
     0.70539   -0.50771
     0.69084   -0.53986
     0.67634   -0.57434
     0.66189   -0.60945
     0.64751   -0.64433
     0.63319   -0.67809
     0.61893   -0.71017
     0.60470   -0.73964
     0.59047   -0.76344
     0.57621   -0.78247
     0.56190   -0.79894
     0.54753   -0.81354
     0.53310   -0.82682
     0.51861   -0.83957
     0.50407   -0.85254
     0.48950   -0.86729
     0.47491   -0.88363
     0.46030   -0.90113
     0.44569   -0.91998
     0.43106   -0.94039
     0.41642   -0.96246
     0.40177   -0.98656
     0.38713   -1.01361
     0.37250   -1.04322
     0.35789   -1.07517
     0.34330   -1.10975
     0.32872   -1.14722
     0.31416   -1.18775
     0.29963   -1.23229
     0.28515   -1.28268
     0.27074   -1.33698
     0.25641   -1.39421
     0.24217   -1.45382
     0.22802   -1.51546
     0.21395   -1.57876
     0.19995   -1.64320
     0.18602   -1.70784
     0.17215   -1.77433
     0.15834   -1.84413
     0.14462   -1.91948
     0.13100   -2.00243
     0.11750   -2.09458
     0.10412   -2.20042
     0.09086   -2.33553
     0.07776   -2.50182
     0.06500   -2.70011
     0.05288   -2.94704
     0.04170   -3.33702
     0.03192   -3.78528
     0.02398   -4.18075
     0.01776   -4.54470
     0.01299   -5.04237
     0.00933   -5.96594
     0.00651   -6.68656
     0.00434   -7.12891
     0.00268   -7.65278
     0.00146   -8.25969
     0.00059   -8.88739
     0.00005   -9.40882
    -0.00021   -9.56520
    -0.00016   -8.97409
     0.00023   -7.04525
     0.00097   -4.61923
     0.00210   -2.70620
     0.00364   -1.33515
     0.00565   -0.39679
     0.00818    0.25413
     0.01139    0.66578
     0.01549    0.87321
     0.02089    0.97099
     0.02827    0.99998
     0.03834    0.98058
     0.05055    0.93718
     0.06356    0.88921
     0.07713    0.84292
     0.09114    0.80073
     0.10547    0.76276
     0.12002    0.72838
     0.13469    0.69743
     0.14941    0.66923
     0.16414    0.64261
     0.17887    0.61756
     0.19358    0.59406
     0.20827    0.57204
     0.22294    0.55139
     0.23759    0.53198
     0.25224    0.51379
     0.26689    0.49682
     0.28155    0.48085
     0.29621    0.46573
     0.31087    0.45120
     0.32552    0.43729
     0.34015    0.42413
     0.35476    0.41172
     0.36933    0.40012
     0.38387    0.38957
     0.39839    0.38037
     0.41291    0.37326
     0.42746    0.36764
     0.44206    0.36304
     0.45671    0.35913
     0.47141    0.35570
     0.48614    0.35262
     0.50091    0.34959
     0.51568    0.34611
     0.53045    0.34267
     0.54520    0.33952
     0.55993    0.33679
     0.57464    0.33465
     0.58933    0.33327
     0.60402    0.33322
     0.61874    0.33484
     0.63350    0.33726
     0.64829    0.34015
     0.66306    0.34324
     0.67777    0.34619
     0.69241    0.34867
     0.70701    0.34981
     0.72160    0.34957
     0.73620    0.34877
     0.75084    0.34771
     0.76552    0.34667
     0.78022    0.34582
     0.79492    0.34542
     0.80961    0.34642
     0.82426    0.34843
     0.83884    0.35061
     0.85333    0.35284
     0.86769    0.35494
     0.88193    0.35580
     0.89606    0.35456
     0.91014    0.34910
     0.92424    0.33981
     0.93839    0.32704
     0.95254    0.31124
     0.96650    0.29333
     0.97994    0.27433
     0.99205    0.26246
     1.00000    0.27668
