#      x          Cp  
     1.00000    0.28926
     0.99173    0.16296
     0.98026    0.11326
     0.96690    0.06396
     0.95216    0.02156
     0.93661   -0.01679
     0.92065   -0.05280
     0.90453   -0.08833
     0.88834   -0.12377
     0.87214   -0.16003
     0.85591   -0.19741
     0.83967   -0.23692
     0.82341   -0.27807
     0.80716   -0.32028
     0.79092   -0.36338
     0.77471   -0.40758
     0.75855   -0.45288
     0.74243   -0.49933
     0.72637   -0.54696
     0.71036   -0.59582
     0.69440   -0.64597
     0.67849   -0.69747
     0.66260   -0.74977
     0.64676   -0.80697
     0.63099   -0.86667
     0.61531   -0.92716
     0.59968   -0.98597
     0.58408   -1.04651
     0.56855   -1.11070
     0.55310   -1.17548
     0.53773   -1.23961
     0.52241   -1.30210
     0.50715   -1.36318
     0.49194   -1.42265
     0.47676   -1.47941
     0.46160   -1.53242
     0.44646   -1.58236
     0.43132   -1.62926
     0.41617   -1.67192
     0.40099   -1.70837
     0.38578   -1.74623
     0.37056   -1.78325
     0.35532   -1.81809
     0.34008   -1.85381
     0.32483   -1.88906
     0.30959   -1.92712
     0.29439   -1.96778
     0.27924   -2.01133
     0.26417   -2.05701
     0.24919   -2.10578
     0.23434   -2.15806
     0.21962   -2.21326
     0.20506   -2.26970
     0.19069   -2.32823
     0.17651   -2.38525
     0.16253   -2.44319
     0.14878   -2.50345
     0.13530   -2.56595
     0.12212   -2.63043
     0.10930   -2.69989
     0.09692   -2.77063
     0.08507   -2.84566
     0.07384   -2.92046
     0.06334   -2.99827
     0.05368   -3.07514
     0.04501   -3.15116
     0.03739   -3.22836
     0.03081   -3.30248
     0.02517   -3.39326
     0.02039   -3.48525
     0.01641   -3.57525
     0.01312   -3.68524
     0.01038   -3.79798
     0.00806   -3.91308
     0.00608   -4.09310
     0.00440   -4.31247
     0.00302   -4.49758
     0.00192   -4.63224
     0.00109   -4.76470
     0.00050   -4.94316
     0.00014   -5.02200
     0.00000   -4.92400
     0.00011   -4.62166
     0.00052   -4.00772
     0.00131   -2.87774
     0.00247   -1.75945
     0.00402   -0.86352
     0.00591   -0.21658
     0.00813    0.22508
     0.01070    0.53630
     0.01372    0.74790
     0.01730    0.87979
     0.02160    0.95290
     0.02684    0.99001
     0.03327    0.99994
     0.04104    0.98925
     0.05000    0.96559
     0.06013    0.93404
     0.07170    0.89725
     0.08486    0.85716
     0.09933    0.81575
     0.11456    0.77510
     0.13016    0.73661
     0.14586    0.70074
     0.16162    0.66717
     0.17745    0.63578
     0.19331    0.60688
     0.20921    0.58041
     0.22517    0.55609
     0.24118    0.53380
     0.25724    0.51330
     0.27337    0.49442
     0.28955    0.47701
     0.30579    0.46087
     0.32208    0.44578
     0.33842    0.43142
     0.35480    0.41783
     0.37120    0.40488
     0.38762    0.39237
     0.40405    0.38035
     0.42048    0.36878
     0.43691    0.35749
     0.45332    0.34653
     0.46972    0.33597
     0.48608    0.32563
     0.50241    0.31562
     0.51870    0.30612
     0.53493    0.29719
     0.55111    0.28890
     0.56723    0.28144
     0.58329    0.27494
     0.59930    0.26952
     0.61524    0.26539
     0.63112    0.26278
     0.64694    0.26203
     0.66270    0.26318
     0.67842    0.26639
     0.69410    0.27196
     0.70977    0.28048
     0.72547    0.29304
     0.74126    0.30882
     0.75718    0.32749
     0.77324    0.34882
     0.78939    0.37217
     0.80552    0.39639
     0.82151    0.42088
     0.83722    0.44539
     0.85256    0.46851
     0.86750    0.49007
     0.88202    0.50977
     0.89611    0.52649
     0.90978    0.54016
     0.92300    0.55015
     0.93578    0.55544
     0.94811    0.55514
     0.95998    0.54805
     0.97133    0.53207
     0.98208    0.49968
     0.99208    0.46301
     1.00000    0.28926
