#      x          Cp  
     1.00000    0.27323
     0.99237    0.10648
     0.98037    0.03593
     0.96712   -0.03182
     0.95360   -0.07954
     0.94013   -0.11960
     0.92699   -0.15531
     0.91422   -0.18984
     0.90101   -0.20408
     0.88739   -0.23886
     0.87358   -0.26031
     0.85973   -0.28865
     0.84591   -0.31722
     0.83208   -0.34411
     0.81821   -0.37164
     0.80436   -0.40493
     0.79055   -0.43535
     0.77670   -0.46593
     0.76287   -0.50172
     0.74908   -0.53812
     0.73531   -0.57405
     0.72155   -0.60909
     0.70779   -0.64376
     0.69405   -0.67858
     0.68032   -0.71293
     0.66662   -0.74412
     0.65291   -0.77205
     0.63919   -0.79647
     0.62546   -0.81700
     0.61171   -0.83469
     0.59793   -0.84954
     0.58410   -0.86122
     0.57022   -0.87321
     0.55632   -0.88557
     0.54239   -0.89818
     0.52842   -0.91419
     0.51446   -0.93259
     0.50050   -0.95245
     0.48654   -0.97357
     0.47258   -0.99780
     0.45867   -1.02320
     0.44476   -1.04466
     0.43083   -1.06701
     0.41691   -1.09050
     0.40300   -1.11380
     0.38909   -1.13510
     0.37516   -1.15674
     0.36123   -1.18024
     0.34728   -1.20260
     0.33330   -1.22998
     0.31932   -1.26449
     0.30536   -1.30322
     0.29145   -1.34671
     0.27758   -1.39399
     0.26374   -1.44369
     0.24995   -1.50056
     0.23624   -1.55802
     0.22256   -1.61026
     0.20891   -1.66781
     0.19531   -1.72706
     0.18176   -1.78593
     0.16823   -1.84996
     0.15475   -1.92351
     0.14139   -2.00697
     0.12811   -2.08994
     0.11491   -2.18389
     0.10187   -2.29303
     0.08895   -2.40224
     0.07615   -2.52906
     0.06347   -2.68619
     0.05096   -2.90957
     0.03889   -3.28817
     0.02780   -3.88258
     0.01851   -4.79107
     0.01151   -6.05255
     0.00696   -7.38369
     0.00407   -8.60995
     0.00222   -9.37179
     0.00104  -10.10982
     0.00032  -11.70723
     0.00001  -14.59283
     0.00021  -15.36695
     0.00121   -7.11106
     0.00295   -2.06199
     0.00535   -0.55575
     0.00881    0.29000
     0.01413    0.76270
     0.02175    0.96395
     0.03137    0.99902
     0.04269    0.96440
     0.05505    0.91264
     0.06803    0.86218
     0.08133    0.81708
     0.09472    0.77862
     0.10819    0.74735
     0.12173    0.72277
     0.13539    0.70408
     0.14918    0.68996
     0.16308    0.67932
     0.17704    0.67123
     0.19095    0.66508
     0.20478    0.65988
     0.21853    0.65471
     0.23225    0.64902
     0.24596    0.64260
     0.25968    0.63535
     0.27343    0.62719
     0.28723    0.61865
     0.30108    0.60997
     0.31494    0.60116
     0.32883    0.59222
     0.34275    0.58310
     0.35672    0.57380
     0.37072    0.56551
     0.38470    0.55728
     0.39872    0.54843
     0.41277    0.54058
     0.42681    0.53329
     0.44084    0.52605
     0.45489    0.51841
     0.46895    0.51160
     0.48299    0.50515
     0.49705    0.49809
     0.51112    0.49156
     0.52518    0.48540
     0.53923    0.47927
     0.55331    0.47267
     0.56740    0.46704
     0.58146    0.46218
     0.59552    0.45643
     0.60959    0.45134
     0.62365    0.44683
     0.63769    0.44229
     0.65171    0.43708
     0.66575    0.43209
     0.67976    0.42748
     0.69376    0.42175
     0.70776    0.41575
     0.72177    0.40965
     0.73576    0.40312
     0.74976    0.39545
     0.76379    0.38744
     0.77783    0.37990
     0.79187    0.37138
     0.80596    0.36346
     0.82004    0.35691
     0.83409    0.35067
     0.84813    0.34393
     0.86216    0.33674
     0.87620    0.32965
     0.89022    0.32290
     0.90420    0.31496
     0.91818    0.30643
     0.93196    0.29245
     0.94504    0.30767
     0.95672    0.24019
     0.96795    0.27662
     0.98006    0.26714
     0.99216    0.25446
     1.00000    0.27323
