#      x          Cp  
     1.00000    0.35818
     0.98997    0.23459
     0.97996    0.22075
     0.97495    0.21168
     0.94991    0.16007
     0.92487    0.13854
     0.91986    0.12765
     0.89983    0.10181
     0.87477    0.07817
     0.84972    0.02878
     0.82465   -0.02179
     0.81964   -0.03009
     0.79958   -0.06964
     0.77953   -0.12865
     0.77451   -0.14114
     0.74944   -0.20425
     0.72436   -0.30500
     0.69928   -0.40448
     0.67923   -0.49525
     0.67421   -0.51817
     0.64914   -0.62350
     0.62408   -0.71672
     0.59903   -0.78462
     0.57399   -0.83652
     0.54896   -0.87044
     0.52394   -0.90253
     0.49892   -0.92556
     0.47390   -0.95407
     0.44890   -0.97966
     0.42389   -1.01255
     0.39889   -1.04312
     0.37390   -1.08067
     0.34891   -1.11873
     0.32392   -1.16314
     0.29894   -1.20910
     0.27396   -1.25934
     0.24899   -1.31867
     0.22402   -1.38197
     0.19906   -1.45988
     0.17410   -1.55304
     0.14915   -1.66284
     0.12421   -1.80194
     0.09928   -2.00104
     0.08931   -2.10069
     0.07935   -2.21193
     0.05943   -2.53242
     0.04947   -2.74657
     0.03952   -3.02738
     0.02958   -3.48229
     0.01965   -4.12931
     0.00974   -5.46349
     0.00481   -5.85136
     0.00237   -5.69698
     0.00188   -5.58121
     0.00140   -5.45835
     0.00092   -5.27279
     0.00068   -5.14356
     0.00044   -5.00944
     0.00021   -4.72057
     0.00000   -5.12622
     0.00027   -4.67662
     0.00053   -3.70718
     0.00079   -3.14804
     0.00105   -2.68296
     0.00156   -2.05830
     0.00207   -1.63088
     0.00258   -1.27854
     0.00511   -0.06050
     0.01015    0.70440
     0.02021    0.98401
     0.03026    0.99558
     0.04029    0.96202
     0.05032    0.91966
     0.06035    0.87593
     0.08040    0.79757
     0.09042    0.76422
     0.10044    0.72983
     0.12548    0.65753
     0.15052    0.59624
     0.17556    0.54337
     0.20059    0.50003
     0.22562    0.46017
     0.25064    0.42312
     0.27566    0.38997
     0.30068    0.35859
     0.32570    0.32893
     0.35071    0.30040
     0.37572    0.27487
     0.40073    0.25032
     0.42573    0.22701
     0.45073    0.20459
     0.47573    0.18710
     0.50073    0.16810
     0.52573    0.14013
     0.55072    0.12001
     0.57571    0.09931
     0.60069    0.07806
     0.62567    0.05214
     0.65065    0.03255
     0.67561    0.01410
     0.68060    0.00578
     0.70057   -0.02193
     0.72550    0.08761
     0.75042    0.22867
     0.77535    0.24698
     0.78034    0.24448
     0.80030    0.24836
     0.82026    0.25414
     0.82525    0.25542
     0.85020    0.25820
     0.87516    0.25552
     0.90012    0.25657
     0.92009    0.26320
     0.92508    0.26591
     0.95005    0.27671
     0.97502    0.28448
     0.98002    0.28239
     0.99001    0.28477
     1.00000    0.35818
