#      x          Cp  
     1.00002    0.18454
     0.99254    0.09058
     0.98127    0.05981
     0.96791    0.03206
     0.95345    0.00972
     0.93861   -0.00953
     0.92364   -0.02668
     0.90863   -0.04272
     0.89361   -0.05797
     0.87859   -0.07178
     0.86357   -0.08581
     0.84855   -0.09888
     0.83353   -0.11118
     0.81851   -0.12413
     0.80349   -0.13590
     0.78847   -0.14833
     0.77346   -0.16043
     0.75845   -0.17173
     0.74344   -0.18456
     0.72844   -0.19581
     0.71343   -0.20778
     0.69841   -0.22058
     0.68339   -0.23233
     0.66836   -0.24424
     0.65334   -0.25760
     0.63834   -0.27052
     0.62333   -0.28275
     0.60833   -0.29725
     0.59331   -0.31076
     0.57828   -0.32441
     0.56326   -0.33939
     0.54825   -0.35523
     0.53325   -0.36945
     0.51827   -0.38663
     0.50330   -0.40279
     0.48834   -0.41696
     0.47340   -0.43526
     0.45846   -0.45941
     0.44352   -0.48125
     0.42854   -0.50229
     0.41355   -0.52785
     0.39858   -0.55337
     0.38360   -0.57900
     0.36861   -0.60814
     0.35368   -0.63988
     0.33875   -0.67021
     0.32382   -0.70544
     0.30894   -0.74323
     0.29409   -0.78201
     0.27924   -0.82379
     0.26445   -0.87212
     0.24970   -0.91882
     0.23496   -0.97324
     0.22030   -1.03223
     0.20567   -1.09349
     0.19111   -1.16599
     0.17662   -1.24082
     0.16219   -1.32862
     0.14789   -1.42575
     0.13368   -1.53605
     0.11965   -1.66765
     0.10581   -1.81494
     0.09229   -2.00327
     0.07918   -2.21685
     0.06668   -2.48941
     0.05501   -2.79083
     0.04442   -3.14949
     0.03524   -3.56579
     0.02766   -4.04748
     0.02156   -4.56106
     0.01671   -5.15385
     0.01283   -5.77328
     0.00970   -6.45974
     0.00713   -7.26115
     0.00503   -8.14764
     0.00332   -9.22366
     0.00195  -10.50663
     0.00095  -11.22864
     0.00032  -10.75636
     0.00003   -9.48679
     0.00004   -7.97166
     0.00033   -6.37360
     0.00096   -4.48068
     0.00196   -2.63494
     0.00333   -1.25583
     0.00505   -0.37614
     0.00715    0.18818
     0.00972    0.55839
     0.01286    0.78967
     0.01675    0.92406
     0.02160    0.98781
     0.02771    0.99858
     0.03531    0.97153
     0.04450    0.92087
     0.05510    0.85979
     0.06678    0.79799
     0.07929    0.74217
     0.09240    0.69161
     0.10593    0.64823
     0.11977    0.60919
     0.13379    0.57584
     0.14800    0.54595
     0.16231    0.51989
     0.17674    0.49703
     0.19122    0.47587
     0.20579    0.45838
     0.22043    0.44120
     0.23508    0.42671
     0.24982    0.41376
     0.26457    0.40089
     0.27936    0.39062
     0.29421    0.38032
     0.30906    0.37075
     0.32394    0.36233
     0.33887    0.35445
     0.35380    0.34617
     0.36873    0.33956
     0.38372    0.33289
     0.39870    0.32585
     0.41367    0.31980
     0.42866    0.31448
     0.44365    0.30792
     0.45859    0.30249
     0.47353    0.29884
     0.48848    0.29313
     0.50343    0.28564
     0.51839    0.27971
     0.53337    0.27479
     0.54837    0.26857
     0.56337    0.26360
     0.57840    0.25865
     0.59342    0.25322
     0.60843    0.24792
     0.62343    0.24369
     0.63843    0.23823
     0.65344    0.23337
     0.66846    0.22905
     0.68348    0.22412
     0.69851    0.21906
     0.71352    0.21489
     0.72852    0.21027
     0.74352    0.20527
     0.75852    0.20157
     0.77352    0.19659
     0.78852    0.19241
     0.80353    0.18840
     0.81853    0.18351
     0.83354    0.17979
     0.84856    0.17537
     0.86358    0.17120
     0.87860    0.16741
     0.89362    0.16304
     0.90864    0.15943
     0.92364    0.15562
     0.93861    0.15157
     0.95345    0.14794
     0.96791    0.14536
     0.98128    0.14418
     0.99255    0.14804
     1.00002    0.18454
