#      x          Cp  
     1.00000    0.42096
     0.99316    0.20692
     0.98433    0.12690
     0.97426    0.05523
     0.96266   -0.00430
     0.94940   -0.05400
     0.93475   -0.08748
     0.91960   -0.11007
     0.90440   -0.12886
     0.88939   -0.15557
     0.87457   -0.18890
     0.85984   -0.22449
     0.84513   -0.26176
     0.83038   -0.30002
     0.81554   -0.33860
     0.80062   -0.37635
     0.78562   -0.41086
     0.77057   -0.44345
     0.75548   -0.47495
     0.74038   -0.50562
     0.72527   -0.53574
     0.71017   -0.56554
     0.69507   -0.59538
     0.67996   -0.62552
     0.66484   -0.65581
     0.64971   -0.68628
     0.63457   -0.71698
     0.61941   -0.74800
     0.60426   -0.77944
     0.58911   -0.81173
     0.57397   -0.84465
     0.55886   -0.87787
     0.54376   -0.91126
     0.52868   -0.94462
     0.51360   -0.97777
     0.49849   -1.01008
     0.48335   -1.04061
     0.46815   -1.07082
     0.45288   -1.10149
     0.43756   -1.13329
     0.42221   -1.16696
     0.40687   -1.20346
     0.39160   -1.24571
     0.37644   -1.29358
     0.36143   -1.34448
     0.34655   -1.39771
     0.33177   -1.45304
     0.31701   -1.51002
     0.30218   -1.56837
     0.28714   -1.62667
     0.27176   -1.68717
     0.25634   -1.75152
     0.24118   -1.82022
     0.22606   -1.89782
     0.21069   -1.99071
     0.19565   -2.11966
     0.18165   -2.28910
     0.16854   -2.44946
     0.15593   -2.57995
     0.14317   -2.59004
     0.12943   -2.48983
     0.11450   -2.41647
     0.10014   -2.55750
     0.08845   -3.17358
     0.07890   -3.77038
     0.07018   -3.74823
     0.06098   -3.17885
     0.05086   -2.80804
     0.04188   -3.30906
     0.03491   -4.01899
     0.02913   -4.70499
     0.02387   -5.01217
     0.01816   -4.18949
     0.01236   -3.69451
     0.00842   -4.15958
     0.00577   -4.70982
     0.00383   -5.32785
     0.00237   -6.02706
     0.00126   -6.81431
     0.00045   -7.67408
    -0.00010   -8.53729
    -0.00041   -9.22951
    -0.00048   -9.41521
    -0.00029   -8.68573
     0.00019   -6.75122
     0.00099   -4.35473
     0.00213   -2.46862
     0.00369   -1.14318
     0.00576   -0.25354
     0.00861    0.33376
     0.01275    0.70635
     0.01900    0.91160
     0.02657    0.99136
     0.03448    0.99645
     0.04338    0.96647
     0.05386    0.92079
     0.06588    0.88248
     0.07880    0.84973
     0.09202    0.80257
     0.10526    0.76001
     0.11869    0.73544
     0.13256    0.72023
     0.14701    0.71021
     0.16200    0.69615
     0.17734    0.67923
     0.19281    0.66240
     0.20832    0.64758
     0.22382    0.63520
     0.23929    0.62419
     0.25472    0.61426
     0.27012    0.60513
     0.28548    0.59657
     0.30080    0.58829
     0.31610    0.57991
     0.33137    0.57154
     0.34663    0.56316
     0.36189    0.55473
     0.37716    0.54614
     0.39245    0.53728
     0.40776    0.52774
     0.42310    0.51751
     0.43849    0.50696
     0.45393    0.49624
     0.46941    0.48551
     0.48495    0.47497
     0.50052    0.46496
     0.51612    0.45605
     0.53170    0.44784
     0.54728    0.44014
     0.56286    0.43284
     0.57845    0.42591
     0.59404    0.41931
     0.60961    0.41318
     0.62515    0.40739
     0.64065    0.40172
     0.65611    0.39602
     0.67155    0.39012
     0.68697    0.38379
     0.70239    0.37651
     0.71783    0.36761
     0.73330    0.35803
     0.74881    0.34819
     0.76435    0.33849
     0.77988    0.32936
     0.79536    0.32143
     0.81075    0.31656
     0.82598    0.31386
     0.84106    0.31179
     0.85601    0.30964
     0.87089    0.30664
     0.88580    0.30186
     0.90086    0.29269
     0.91623    0.27423
     0.93180    0.25371
     0.94697    0.23795
     0.96088    0.23547
     0.97307    0.24440
     0.98365    0.26425
     0.99287    0.29734
     1.00000    0.42096
