#      x          Cp  
     1.00000    0.37142
     0.99087    0.07070
     0.97966   -0.07354
     0.96765   -0.18398
     0.95480   -0.26530
     0.94105   -0.32572
     0.92634   -0.36975
     0.91062   -0.40178
     0.89386   -0.42584
     0.87606   -0.44592
     0.85726   -0.46586
     0.83758   -0.48901
     0.81721   -0.51807
     0.79639   -0.55489
     0.77533   -0.60053
     0.75416   -0.65548
     0.73295   -0.71993
     0.71183   -0.79345
     0.69093   -0.87527
     0.67034   -0.96435
     0.65011   -1.05976
     0.63024   -1.16039
     0.61074   -1.26538
     0.59160   -1.37349
     0.57278   -1.48405
     0.55428   -1.59578
     0.53605   -1.70783
     0.51809   -1.81918
     0.50035   -1.92891
     0.48282   -2.03602
     0.46548   -2.13969
     0.44831   -2.23911
     0.43128   -2.33350
     0.41438   -2.42223
     0.39760   -2.50502
     0.38093   -2.58136
     0.36436   -2.65108
     0.34787   -2.71431
     0.33148   -2.77100
     0.31519   -2.82159
     0.29899   -2.86648
     0.28291   -2.90607
     0.26695   -2.94100
     0.25115   -2.97199
     0.23552   -2.99945
     0.22010   -3.02426
     0.20495   -3.04672
     0.19009   -3.06756
     0.17560   -3.08702
     0.16154   -3.10558
     0.14797   -3.12382
     0.13497   -3.14158
     0.12261   -3.15987
     0.11095   -3.17871
     0.10003   -3.19860
     0.08990   -3.22033
     0.08056   -3.24403
     0.07200   -3.27028
     0.06419   -3.29933
     0.05709   -3.33137
     0.05065   -3.36639
     0.04482   -3.40426
     0.03953   -3.44470
     0.03475   -3.48722
     0.03042   -3.53120
     0.02649   -3.57569
     0.02294   -3.61959
     0.01973   -3.66148
     0.01682   -3.69953
     0.01421   -3.73167
     0.01186   -3.75525
     0.00975   -3.76748
     0.00789   -3.76502
     0.00624   -3.74456
     0.00481   -3.70289
     0.00358   -3.63702
     0.00255   -3.54614
     0.00171   -3.42834
     0.00105   -3.28810
     0.00055   -3.13756
     0.00022   -2.94763
     0.00004   -2.85218
     0.00001   -2.85831
     0.00021   -2.72106
     0.00073   -2.25016
     0.00154   -1.73728
     0.00265   -1.21080
     0.00405   -0.72729
     0.00570   -0.30842
     0.00762    0.03761
     0.00977    0.31334
     0.01216    0.52651
     0.01478    0.68682
     0.01764    0.80395
     0.02072    0.88657
     0.02406    0.94206
     0.02765    0.97642
     0.03151    0.99447
     0.03567    1.00000
     0.04016    0.99592
     0.04501    0.98451
     0.05026    0.96751
     0.05595    0.94624
     0.06214    0.92171
     0.06890    0.89471
     0.07628    0.86584
     0.08437    0.83564
     0.09323    0.80457
     0.10294    0.77311
     0.11356    0.74181
     0.12513    0.71128
     0.13767    0.68222
     0.15116    0.65539
     0.16559    0.63148
     0.18090    0.61109
     0.19704    0.59460
     0.21398    0.58215
     0.23168    0.57362
     0.25012    0.56868
     0.26927    0.56682
     0.28909    0.56743
     0.30952    0.56983
     0.33042    0.57335
     0.35157    0.57741
     0.37276    0.58152
     0.39386    0.58538
     0.41483    0.58887
     0.43567    0.59196
     0.45640    0.59469
     0.47704    0.59714
     0.49760    0.59942
     0.51807    0.60161
     0.53847    0.60378
     0.55877    0.60597
     0.57897    0.60816
     0.59906    0.61033
     0.61903    0.61240
     0.63887    0.61425
     0.65859    0.61579
     0.67819    0.61691
     0.69769    0.61751
     0.71710    0.61755
     0.73642    0.61701
     0.75566    0.61596
     0.77481    0.61455
     0.79383    0.61301
     0.81265    0.61164
     0.83119    0.61081
     0.84932    0.61084
     0.86690    0.61194
     0.88379    0.61406
     0.89990    0.61688
     0.91515    0.61973
     0.92955    0.62156
     0.94313    0.62110
     0.95594    0.61631
     0.96807    0.60521
     0.97962    0.57999
     0.99068    0.55040
     1.00000    0.37142
