#      x          Cp  
     1.00000    0.46464
     0.99170    0.27591
     0.98014    0.19841
     0.96681    0.13747
     0.95230    0.09101
     0.93721    0.04815
     0.92190    0.01125
     0.90646   -0.02149
     0.89096   -0.05247
     0.87544   -0.08183
     0.85993   -0.10934
     0.84441   -0.13542
     0.82888   -0.16054
     0.81334   -0.18493
     0.79779   -0.20879
     0.78225   -0.23237
     0.76671   -0.25568
     0.75118   -0.27863
     0.73565   -0.30109
     0.72011   -0.32326
     0.70457   -0.34527
     0.68903   -0.36730
     0.67349   -0.38933
     0.65795   -0.41140
     0.64241   -0.43364
     0.62687   -0.45601
     0.61134   -0.47850
     0.59581   -0.50107
     0.58029   -0.52378
     0.56476   -0.54674
     0.54923   -0.57011
     0.53372   -0.59406
     0.51821   -0.61842
     0.50271   -0.64314
     0.48722   -0.66810
     0.47173   -0.69348
     0.45624   -0.71949
     0.44077   -0.74645
     0.42530   -0.77449
     0.40986   -0.80337
     0.39443   -0.83302
     0.37902   -0.86340
     0.36363   -0.89478
     0.34824   -0.92746
     0.33288   -0.96197
     0.31755   -0.99824
     0.30224   -1.03627
     0.28698   -1.07641
     0.27175   -1.11880
     0.25657   -1.16356
     0.24143   -1.21121
     0.22635   -1.26222
     0.21132   -1.31703
     0.19637   -1.37746
     0.18151   -1.44380
     0.16677   -1.51627
     0.15216   -1.59713
     0.13772   -1.68678
     0.12348   -1.78883
     0.10952   -1.90670
     0.09595   -2.04092
     0.08289   -2.20124
     0.07056   -2.38266
     0.05922   -2.59543
     0.04909   -2.83222
     0.04027   -3.10876
     0.03276   -3.43073
     0.02651   -3.74886
     0.02137   -4.09460
     0.01714   -4.45135
     0.01358   -4.79708
     0.01055   -5.20566
     0.00796   -5.78679
     0.00578   -6.31208
     0.00401   -6.66744
     0.00261   -6.81312
     0.00155   -6.83016
     0.00078   -6.75322
     0.00028   -6.52986
     0.00003   -6.09122
     0.00003   -5.23163
     0.00028   -4.10006
     0.00078   -3.01585
     0.00155   -2.05280
     0.00261   -1.23984
     0.00401   -0.56957
     0.00578   -0.03013
     0.00796    0.37215
     0.01055    0.64564
     0.01358    0.81499
     0.01714    0.92000
     0.02137    0.97832
     0.02651    0.99952
     0.03276    0.99122
     0.04027    0.96065
     0.04909    0.91513
     0.05922    0.86062
     0.07056    0.80278
     0.08289    0.74531
     0.09595    0.69134
     0.10952    0.64123
     0.12348    0.59572
     0.13772    0.55427
     0.15216    0.51660
     0.16677    0.48262
     0.18151    0.45172
     0.19637    0.42371
     0.21132    0.39807
     0.22635    0.37436
     0.24143    0.35264
     0.25657    0.33271
     0.27175    0.31440
     0.28698    0.29759
     0.30224    0.28209
     0.31755    0.26773
     0.33288    0.25446
     0.34824    0.24211
     0.36363    0.23052
     0.37902    0.21975
     0.39443    0.20981
     0.40986    0.20073
     0.42530    0.19239
     0.44077    0.18469
     0.45624    0.17743
     0.47173    0.17060
     0.48722    0.16430
     0.50271    0.15857
     0.51821    0.15345
     0.53372    0.14884
     0.54923    0.14466
     0.56476    0.14078
     0.58029    0.13726
     0.59581    0.13415
     0.61134    0.13149
     0.62687    0.12927
     0.64241    0.12745
     0.65795    0.12599
     0.67349    0.12485
     0.68903    0.12408
     0.70457    0.12367
     0.72011    0.12362
     0.73565    0.12400
     0.75118    0.12488
     0.76671    0.12635
     0.78225    0.12835
     0.79779    0.13081
     0.81333    0.13373
     0.82888    0.13723
     0.84441    0.14134
     0.85993    0.14623
     0.87544    0.15232
     0.89096    0.15994
     0.90646    0.16881
     0.92190    0.17894
     0.93721    0.19231
     0.95230    0.21045
     0.96681    0.23149
     0.98014    0.26506
     0.99170    0.31570
     1.00000    0.46464
