#      x          Cp  
     1.00000    0.39810
     0.99910    0.39135
     0.99650    0.31926
     0.99241    0.22530
     0.98702    0.11211
     0.98043    0.00371
     0.97265   -0.07757
     0.96354   -0.10340
     0.95301   -0.11327
     0.94107   -0.12386
     0.92776   -0.13835
     0.91314   -0.15137
     0.89724   -0.17099
     0.88014   -0.18778
     0.86188   -0.21028
     0.84254   -0.23436
     0.82218   -0.25911
     0.80090   -0.28927
     0.77877   -0.32284
     0.75588   -0.35778
     0.73234   -0.39864
     0.70824   -0.44459
     0.68370   -0.49724
     0.65880   -0.55569
     0.63369   -0.62135
     0.60847   -0.70071
     0.58329   -0.79041
     0.55826   -0.89607
     0.53354   -1.03020
     0.50927   -1.18167
     0.48563   -1.42071
     0.46217   -1.56957
     0.44102   -2.08880
     0.42054   -2.60889
     0.40063   -2.73356
     0.38056   -2.74459
     0.36051   -2.81188
     0.34055   -2.86356
     0.32079   -2.92255
     0.30130   -2.98646
     0.28212   -3.06304
     0.26332   -3.13003
     0.24496   -3.17879
     0.22699   -3.18309
     0.20945   -3.20121
     0.19237   -3.20556
     0.17581   -3.21522
     0.15981   -3.22805
     0.14441   -3.24945
     0.12967   -3.24764
     0.11562   -3.27551
     0.10232   -3.28649
     0.08979   -3.26653
     0.07802   -3.20546
     0.06700   -3.15006
     0.05675   -3.08543
     0.04730   -3.01703
     0.03866   -2.93289
     0.03086   -2.86051
     0.02391   -2.75464
     0.01783   -2.66275
     0.01262   -2.54282
     0.00830   -2.41644
     0.00488   -2.24933
     0.00235   -2.12391
     0.00000   -1.63133
     0.00024   -1.36781
     0.00141   -1.18128
     0.00371   -0.35164
     0.00778    0.70141
     0.01388    0.95372
     0.02172    0.99993
     0.03119    0.98212
     0.04223    0.94361
     0.05477    0.89981
     0.06876    0.85608
     0.08412    0.81528
     0.10082    0.77726
     0.11877    0.74254
     0.13792    0.71091
     0.15819    0.68245
     0.17951    0.65605
     0.20181    0.63167
     0.22501    0.61010
     0.24903    0.58870
     0.27379    0.57045
     0.29929    0.56050
     0.32561    0.55320
     0.35268    0.54677
     0.38039    0.54121
     0.40866    0.53545
     0.43736    0.53045
     0.46641    0.52619
     0.49569    0.52213
     0.52509    0.51759
     0.55451    0.51451
     0.58384    0.51084
     0.61296    0.50717
     0.64176    0.50436
     0.67014    0.50153
     0.69800    0.49824
     0.72521    0.49619
     0.75169    0.49262
     0.77731    0.49105
     0.80200    0.48788
     0.82563    0.48642
     0.84813    0.48357
     0.86940    0.48135
     0.88934    0.47975
     0.90788    0.47744
     0.92493    0.47582
     0.94041    0.47226
     0.95426    0.47106
     0.96639    0.46679
     0.97672    0.45528
     0.98515    0.44346
     0.99168    0.43380
     0.99632    0.42468
     0.99908    0.41842
     1.00000    0.39810
