#      x          Cp  
     1.00000    0.19557
     0.99878    0.20479
     0.99513    0.18913
     0.98907    0.17374
     0.98063    0.15633
     0.96985    0.13822
     0.95677    0.11884
     0.94147    0.09760
     0.92402    0.07485
     0.90451    0.04982
     0.88302    0.02312
     0.85967   -0.00605
     0.83457   -0.03755
     0.80783   -0.07128
     0.77960   -0.10791
     0.75000   -0.14718
     0.71918   -0.18936
     0.68730   -0.23458
     0.65451   -0.28302
     0.62096   -0.33506
     0.58682   -0.39052
     0.55226   -0.45012
     0.51745   -0.51361
     0.48255   -0.58191
     0.44774   -0.65482
     0.41318   -0.73307
     0.37904   -0.81712
     0.34549   -0.90762
     0.31270   -1.00537
     0.28081   -1.11144
     0.25000   -1.22670
     0.22040   -1.35316
     0.19217   -1.49296
     0.16543   -1.64834
     0.14033   -1.82343
     0.11698   -2.02311
     0.09549   -2.25478
     0.07598   -2.52694
     0.05853   -2.85303
     0.04323   -3.25114
     0.03015   -3.74319
     0.01937   -4.34989
     0.01093   -5.06107
     0.00487   -5.71966
     0.00122   -5.75901
     0.00000   -4.23960
     0.00122   -1.75833
     0.00487   -0.02401
     0.01093    0.73617
     0.01937    0.97481
     0.03015    0.99116
     0.04323    0.92274
     0.05853    0.82761
     0.07598    0.72970
     0.09549    0.63857
     0.11698    0.55755
     0.14033    0.48726
     0.16543    0.42727
     0.19217    0.37669
     0.22040    0.33463
     0.25000    0.29996
     0.28081    0.27173
     0.31270    0.24924
     0.34549    0.23158
     0.37904    0.21810
     0.41318    0.20818
     0.44774    0.20130
     0.48255    0.19693
     0.51745    0.19480
     0.55226    0.19423
     0.58682    0.19520
     0.62096    0.19712
     0.65451    0.19998
     0.68730    0.20335
     0.71918    0.20706
     0.75000    0.21098
     0.77960    0.21490
     0.80783    0.21875
     0.83457    0.22210
     0.85967    0.22524
     0.88302    0.22791
     0.90451    0.22976
     0.92402    0.23132
     0.94147    0.23188
     0.95677    0.23197
     0.96985    0.23113
     0.98063    0.22974
     0.98907    0.22826
     0.99513    0.22525
     0.99878    0.22332
     1.00000    0.19557
