#      x          Cp  
     1.00000    0.26962
     0.99215    0.14524
     0.97973    0.08828
     0.96626    0.04885
     0.95258    0.01844
     0.93887   -0.00713
     0.92515   -0.02965
     0.91142   -0.05016
     0.89770   -0.06923
     0.88397   -0.08721
     0.87024   -0.10455
     0.85650   -0.12125
     0.84277   -0.13752
     0.82903   -0.15364
     0.81530   -0.16946
     0.80156   -0.18530
     0.78782   -0.20107
     0.77408   -0.21689
     0.76034   -0.23280
     0.74660   -0.24885
     0.73287   -0.26512
     0.71913   -0.28151
     0.70540   -0.29825
     0.69166   -0.31521
     0.67793   -0.33251
     0.66420   -0.35019
     0.65047   -0.36818
     0.63675   -0.38656
     0.62302   -0.40543
     0.60930   -0.42474
     0.59558   -0.44452
     0.58186   -0.46480
     0.56815   -0.48560
     0.55444   -0.50703
     0.54073   -0.52896
     0.52703   -0.55150
     0.51333   -0.57470
     0.49963   -0.59845
     0.48594   -0.62292
     0.47225   -0.64798
     0.45857   -0.67378
     0.44489   -0.70022
     0.43121   -0.72738
     0.41755   -0.75523
     0.40388   -0.78381
     0.39022   -0.81316
     0.37657   -0.84319
     0.36292   -0.87415
     0.34928   -0.90611
     0.33564   -0.93934
     0.32201   -0.97379
     0.30839   -1.00984
     0.29477   -1.04770
     0.28117   -1.08732
     0.26757   -1.12965
     0.25400   -1.17441
     0.24044   -1.22230
     0.22690   -1.27316
     0.21338   -1.32794
     0.19989   -1.38668
     0.18644   -1.45024
     0.17302   -1.51956
     0.15965   -1.59537
     0.14633   -1.67894
     0.13307   -1.77196
     0.11990   -1.87890
     0.10684   -1.99712
     0.09388   -2.13344
     0.08109   -2.30005
     0.06851   -2.49579
     0.05622   -2.74123
     0.04435   -3.05435
     0.03312   -3.47145
     0.02297   -4.05421
     0.01469   -4.86188
     0.00881   -5.88197
     0.00505   -7.05347
     0.00270   -8.34376
     0.00125   -9.58359
     0.00041  -10.66568
     0.00003  -12.65960
     0.00016  -14.30447
     0.00116   -5.25993
     0.00285   -1.69664
     0.00531   -0.23295
     0.00903    0.52372
     0.01494    0.88345
     0.02383    0.99548
     0.03511    0.98423
     0.04751    0.93402
     0.06037    0.87735
     0.07347    0.82352
     0.08671    0.77447
     0.10003    0.73050
     0.11343    0.69175
     0.12689    0.65682
     0.14039    0.62563
     0.15391    0.59775
     0.16747    0.57280
     0.18106    0.55035
     0.19466    0.53012
     0.20830    0.51182
     0.22194    0.49525
     0.23561    0.48014
     0.24929    0.46635
     0.26299    0.45365
     0.27670    0.44193
     0.29043    0.43101
     0.30416    0.42082
     0.31790    0.41131
     0.33164    0.40236
     0.34540    0.39400
     0.35916    0.38608
     0.37292    0.37861
     0.38669    0.37150
     0.40047    0.36468
     0.41425    0.35810
     0.42804    0.35175
     0.44183    0.34563
     0.45562    0.33969
     0.46941    0.33392
     0.48321    0.32828
     0.49701    0.32280
     0.51081    0.31739
     0.52461    0.31214
     0.53841    0.30691
     0.55221    0.30181
     0.56601    0.29676
     0.57982    0.29178
     0.59362    0.28689
     0.60742    0.28202
     0.62123    0.27721
     0.63503    0.27247
     0.64883    0.26779
     0.66263    0.26318
     0.67644    0.25861
     0.69024    0.25412
     0.70404    0.24969
     0.71785    0.24532
     0.73165    0.24100
     0.74545    0.23676
     0.75926    0.23260
     0.77306    0.22847
     0.78686    0.22438
     0.80066    0.22037
     0.81447    0.21633
     0.82827    0.21236
     0.84207    0.20834
     0.85587    0.20439
     0.86968    0.20039
     0.88348    0.19644
     0.89727    0.19254
     0.91107    0.18886
     0.92485    0.18547
     0.93863    0.18269
     0.95240    0.18104
     0.96614    0.18145
     0.97965    0.18622
     0.99212    0.20468
     1.00000    0.26962
