#      x          Cp  
     1.00000    0.39769
     0.99268    0.22015
     0.98321    0.14947
     0.97242    0.09293
     0.96007    0.04404
     0.94618   -0.00035
     0.93130   -0.03978
     0.91635   -0.07407
     0.90136   -0.10458
     0.88654   -0.13099
     0.87172   -0.15593
     0.85681   -0.18176
     0.84187   -0.21433
     0.82701   -0.25288
     0.81229   -0.29105
     0.79766   -0.32276
     0.78300   -0.34128
     0.76823   -0.35673
     0.75335   -0.37526
     0.73849   -0.41039
     0.72377   -0.45429
     0.70922   -0.49649
     0.69480   -0.52218
     0.68036   -0.52590
     0.66585   -0.52720
     0.65126   -0.53766
     0.63668   -0.58011
     0.62216   -0.63846
     0.60772   -0.69991
     0.59328   -0.74728
     0.57873   -0.77601
     0.56401   -0.79946
     0.54913   -0.82305
     0.53417   -0.85371
     0.51922   -0.88724
     0.50431   -0.92190
     0.48942   -0.95579
     0.47449   -0.99015
     0.45952   -1.02711
     0.44456   -1.07110
     0.42967   -1.12354
     0.41491   -1.17770
     0.40029   -1.22951
     0.38574   -1.27255
     0.37122   -1.31095
     0.35666   -1.34688
     0.34205   -1.38020
     0.32735   -1.41244
     0.31259   -1.44664
     0.29783   -1.48772
     0.28316   -1.54155
     0.26863   -1.59937
     0.25424   -1.65672
     0.23994   -1.70491
     0.22563   -1.74764
     0.21128   -1.79193
     0.19694   -1.84578
     0.18270   -1.91651
     0.16866   -1.99219
     0.15485   -2.06767
     0.14125   -2.13341
     0.12781   -2.19268
     0.11449   -2.25442
     0.10123   -2.32581
     0.08801   -2.41569
     0.07517   -2.57633
     0.06331   -2.80684
     0.05227   -2.95620
     0.04175   -3.05663
     0.03244   -3.22185
     0.02484   -3.44048
     0.01864   -3.72467
     0.01352   -4.01770
     0.00957   -4.33651
     0.00666   -4.92736
     0.00451   -5.58063
     0.00291   -6.27556
     0.00171   -6.98701
     0.00084   -7.64893
     0.00026   -8.12564
    -0.00004   -8.19317
    -0.00006   -7.59615
     0.00020   -6.09289
     0.00076   -4.32650
     0.00161   -2.82134
     0.00276   -1.64396
     0.00426   -0.76235
     0.00616   -0.11567
     0.00855    0.34921
     0.01156    0.68425
     0.01539    0.89500
     0.02042    0.98127
     0.02723    1.00000
     0.03612    0.98403
     0.04646    0.94411
     0.05795    0.89424
     0.07080    0.84736
     0.08507    0.80441
     0.09981    0.75948
     0.11445    0.72050
     0.12916    0.68594
     0.14405    0.65449
     0.15904    0.62457
     0.17397    0.59623
     0.18877    0.57060
     0.20349    0.54917
     0.21827    0.53322
     0.23324    0.51977
     0.24840    0.50672
     0.26361    0.48997
     0.27870    0.47221
     0.29363    0.45591
     0.30845    0.44507
     0.32331    0.43906
     0.33827    0.43402
     0.35332    0.42635
     0.36836    0.41288
     0.38333    0.39838
     0.39822    0.38533
     0.41309    0.37792
     0.42804    0.37394
     0.44310    0.37154
     0.45830    0.36938
     0.47356    0.36706
     0.48887    0.36492
     0.50419    0.36261
     0.51951    0.35994
     0.53483    0.35737
     0.55016    0.35523
     0.56545    0.35402
     0.58068    0.35303
     0.59587    0.35168
     0.61104    0.34885
     0.62623    0.34504
     0.64147    0.34103
     0.65675    0.33752
     0.67203    0.33473
     0.68729    0.33215
     0.70253    0.32959
     0.71777    0.32687
     0.73303    0.32424
     0.74829    0.32191
     0.76351    0.32043
     0.77866    0.31910
     0.79375    0.31727
     0.80884    0.31358
     0.82403    0.30839
     0.83931    0.30313
     0.85460    0.29965
     0.86973    0.29883
     0.88464    0.29760
     0.89946    0.29377
     0.91443    0.28296
     0.92966    0.26956
     0.94478    0.25776
     0.95899    0.25321
     0.97169    0.25669
     0.98279    0.26780
     0.99250    0.29422
     1.00000    0.39769
