#      x          Cp  
     1.00000    0.40508
     0.99219    0.21049
     0.98086    0.12818
     0.96772    0.07017
     0.95370    0.02354
     0.93933   -0.01647
     0.92481   -0.05182
     0.91022   -0.08443
     0.89560   -0.11633
     0.88099   -0.14697
     0.86636   -0.17543
     0.85171   -0.20333
     0.83706   -0.23192
     0.82241   -0.26040
     0.80778   -0.28841
     0.79316   -0.31601
     0.77853   -0.34285
     0.76389   -0.36942
     0.74923   -0.39657
     0.73459   -0.42443
     0.71995   -0.45227
     0.70532   -0.47955
     0.69067   -0.50696
     0.67601   -0.53527
     0.66135   -0.56465
     0.64669   -0.59483
     0.63205   -0.62595
     0.61741   -0.65787
     0.60279   -0.69067
     0.58818   -0.72435
     0.57359   -0.75860
     0.55901   -0.79302
     0.54444   -0.82774
     0.52988   -0.86305
     0.51532   -0.89917
     0.50078   -0.93598
     0.48625   -0.97357
     0.47174   -1.01193
     0.45724   -1.05084
     0.44276   -1.09015
     0.42830   -1.12987
     0.41385   -1.17015
     0.39943   -1.21106
     0.38504   -1.25224
     0.37067   -1.29312
     0.35631   -1.33381
     0.34197   -1.37496
     0.32765   -1.41715
     0.31337   -1.45987
     0.29912   -1.50240
     0.28490   -1.54489
     0.27070   -1.58855
     0.25654   -1.63454
     0.24243   -1.68226
     0.22837   -1.73181
     0.21439   -1.78323
     0.20047   -1.83671
     0.18663   -1.89271
     0.17288   -1.95229
     0.15925   -2.01718
     0.14575   -2.08601
     0.13241   -2.15944
     0.11924   -2.23782
     0.10627   -2.32342
     0.09355   -2.41932
     0.08115   -2.53107
     0.06917   -2.65334
     0.05770   -2.78818
     0.04692   -2.95046
     0.03711   -3.13850
     0.02862   -3.35429
     0.02159   -3.62080
     0.01601   -3.93651
     0.01175   -4.29806
     0.00852   -4.70389
     0.00600   -5.09865
     0.00400   -5.67668
     0.00245   -6.27035
     0.00133   -6.68725
     0.00057   -7.09610
     0.00013   -7.40442
     0.00000   -7.13514
     0.00019   -5.99863
     0.00073   -4.63635
     0.00168   -2.97413
     0.00309   -1.42844
     0.00498   -0.37478
     0.00730    0.24004
     0.01013    0.61804
     0.01367    0.84019
     0.01817    0.95249
     0.02398    0.99642
     0.03149    0.99425
     0.04111    0.96334
     0.05276    0.91750
     0.06578    0.86772
     0.07957    0.81943
     0.09368    0.77458
     0.10794    0.73436
     0.12232    0.69830
     0.13678    0.66563
     0.15129    0.63620
     0.16584    0.60969
     0.18043    0.58570
     0.19506    0.56392
     0.20972    0.54413
     0.22442    0.52612
     0.23915    0.50959
     0.25390    0.49422
     0.26866    0.48003
     0.28344    0.46704
     0.29824    0.45507
     0.31306    0.44392
     0.32789    0.43346
     0.34274    0.42365
     0.35758    0.41432
     0.37243    0.40558
     0.38727    0.39747
     0.40210    0.39005
     0.41693    0.38343
     0.43177    0.37782
     0.44662    0.37297
     0.46150    0.36868
     0.47639    0.36492
     0.49129    0.36177
     0.50622    0.35941
     0.52118    0.35751
     0.53616    0.35573
     0.55114    0.35384
     0.56610    0.35191
     0.58104    0.34975
     0.59597    0.34744
     0.61090    0.34507
     0.62582    0.34266
     0.64074    0.34018
     0.65565    0.33755
     0.67056    0.33483
     0.68548    0.33215
     0.70039    0.32962
     0.71530    0.32713
     0.73020    0.32464
     0.74510    0.32215
     0.75999    0.31977
     0.77486    0.31756
     0.78971    0.31520
     0.80456    0.31241
     0.81940    0.30938
     0.83422    0.30645
     0.84901    0.30323
     0.86380    0.29858
     0.87862    0.29290
     0.89345    0.28752
     0.90826    0.28146
     0.92312    0.27289
     0.93804    0.26496
     0.95285    0.25791
     0.96718    0.25186
     0.98053    0.25673
     0.99204    0.28168
     1.00000    0.40508
