#      x          Cp  
     1.00000    0.36650
     0.95000    0.10783
     0.90000    0.00830
     0.85000   -0.07956
     0.80000   -0.16378
     0.75000   -0.23917
     0.70000   -0.33900
     0.65000   -0.44691
     0.60000   -0.59919
     0.55000   -0.73669
     0.50000   -0.87913
     0.45000   -1.03772
     0.40000   -1.21095
     0.35000   -1.30758
     0.30000   -1.42452
     0.25000   -1.54954
     0.20000   -1.71463
     0.15000   -1.98291
     0.10000   -2.36358
     0.07500   -2.61544
     0.05000   -2.95431
     0.02500   -3.36425
     0.01250   -3.94157
     0.00750   -4.46819
     0.00500   -4.53460
     0.00000   -5.27958
     0.00500   -0.19446
     0.00750    0.51808
     0.01250    0.84858
     0.02500    0.99998
     0.05000    0.91824
     0.07500    0.82143
     0.10000    0.73377
     0.15000    0.59081
     0.20000    0.46071
     0.25000    0.35973
     0.30000    0.27809
     0.35000    0.20808
     0.40000    0.16636
     0.45000    0.14521
     0.50000    0.14402
     0.55000    0.15973
     0.60000    0.18356
     0.65000    0.19246
     0.70000    0.19724
     0.75000    0.20198
     0.80000    0.20633
     0.85000    0.21332
     0.90000    0.22454
     0.95000    0.25050
     1.00000    0.36650
