#      x          Cp  
     1.00000    0.43705
     0.99279    0.27363
     0.98341    0.21149
     0.97262    0.16348
     0.96010    0.12211
     0.94573    0.08359
     0.93006    0.04768
     0.91428    0.01539
     0.89840   -0.01461
     0.88262   -0.04276
     0.86683   -0.06981
     0.85095   -0.09631
     0.83501   -0.12244
     0.81909   -0.14838
     0.80314   -0.17445
     0.78720   -0.20091
     0.77127   -0.22789
     0.75534   -0.25551
     0.73940   -0.28373
     0.72345   -0.31316
     0.70752   -0.34474
     0.69167   -0.38132
     0.67593   -0.42254
     0.66035   -0.46518
     0.64488   -0.50665
     0.62947   -0.54535
     0.61409   -0.58340
     0.59871   -0.62127
     0.58334   -0.65944
     0.56800   -0.69764
     0.55270   -0.73569
     0.53744   -0.77353
     0.52220   -0.81101
     0.50699   -0.84805
     0.49181   -0.88423
     0.47664   -0.91953
     0.46149   -0.95420
     0.44635   -0.98838
     0.43122   -1.02211
     0.41610   -1.05513
     0.40101   -1.08719
     0.38599   -1.11811
     0.37104   -1.14691
     0.35612   -1.17246
     0.34112   -1.18892
     0.32590   -1.19927
     0.31042   -1.21203
     0.29478   -1.23898
     0.27920   -1.28615
     0.26387   -1.34000
     0.24881   -1.39439
     0.23392   -1.44280
     0.21910   -1.49096
     0.20428   -1.54190
     0.18945   -1.59911
     0.17463   -1.66409
     0.15990   -1.73816
     0.14542   -1.83069
     0.13135   -1.94617
     0.11778   -2.06887
     0.10471   -2.19343
     0.09206   -2.31146
     0.07983   -2.42846
     0.06824   -2.56903
     0.05758   -2.72700
     0.04790   -2.88784
     0.03920   -3.05660
     0.03164   -3.23574
     0.02531   -3.44446
     0.02009   -3.73528
     0.01584   -4.04537
     0.01238   -4.39207
     0.00953   -4.87070
     0.00721   -5.23554
     0.00526   -5.35019
     0.00360   -5.83608
     0.00225   -6.45823
     0.00121   -6.96997
     0.00047   -7.21037
     0.00002   -6.95656
    -0.00015   -6.01224
    -0.00007   -4.90948
     0.00024   -3.86645
     0.00079   -2.93212
     0.00158   -2.11267
     0.00262   -1.39275
     0.00394   -0.75760
     0.00559   -0.12959
     0.00760    0.38933
     0.00994    0.66285
     0.01268    0.82957
     0.01590    0.92819
     0.01977    0.98051
     0.02452    0.99932
     0.03053    0.99427
     0.03826    0.97136
     0.04798    0.93672
     0.05953    0.89504
     0.07280    0.84889
     0.08736    0.80216
     0.10261    0.75723
     0.11818    0.71452
     0.13388    0.67406
     0.14957    0.63543
     0.16515    0.59760
     0.18057    0.56109
     0.19583    0.52642
     0.21099    0.49485
     0.22612    0.46602
     0.24130    0.43916
     0.25655    0.41424
     0.27190    0.39100
     0.28734    0.36885
     0.30281    0.34684
     0.31824    0.32399
     0.33358    0.30170
     0.34882    0.28074
     0.36399    0.26224
     0.37915    0.24563
     0.39433    0.23056
     0.40952    0.21688
     0.42470    0.20466
     0.43987    0.19404
     0.45503    0.18545
     0.47023    0.17904
     0.48548    0.17422
     0.50077    0.17068
     0.51609    0.16807
     0.53141    0.16677
     0.54675    0.16714
     0.56215    0.17024
     0.57766    0.17517
     0.59332    0.18089
     0.60912    0.18647
     0.62502    0.19154
     0.64098    0.19608
     0.65698    0.19915
     0.67301    0.20060
     0.68906    0.20146
     0.70512    0.20212
     0.72120    0.20283
     0.73728    0.20348
     0.75335    0.20406
     0.76942    0.20458
     0.78547    0.20517
     0.80153    0.20598
     0.81761    0.20719
     0.83367    0.20869
     0.84973    0.21043
     0.86573    0.21234
     0.88163    0.21470
     0.89751    0.21785
     0.91351    0.22230
     0.92943    0.22836
     0.94523    0.23670
     0.95973    0.24775
     0.97238    0.26248
     0.98328    0.28339
     0.99273    0.31875
     1.00000    0.43705
