#      x          Cp  
     1.00000    0.15371
     0.99344    0.01222
     0.98417   -0.04365
     0.97245   -0.09706
     0.95865   -0.12871
     0.94433   -0.16178
     0.93015   -0.20695
     0.91601   -0.24034
     0.90168   -0.26505
     0.88727   -0.29582
     0.87292   -0.32510
     0.85848   -0.34624
     0.84390   -0.37531
     0.82945   -0.41504
     0.81521   -0.44848
     0.80106   -0.47230
     0.78680   -0.47822
     0.77243   -0.49256
     0.75817   -0.53884
     0.74400   -0.57423
     0.72960   -0.58955
     0.71505   -0.61862
     0.70069   -0.65340
     0.68634   -0.67088
     0.67176   -0.69281
     0.65731   -0.73392
     0.64311   -0.76195
     0.62882   -0.77382
     0.61435   -0.79117
     0.59988   -0.81187
     0.58549   -0.83115
     0.57111   -0.84433
     0.55657   -0.84896
     0.54188   -0.86258
     0.52717   -0.88619
     0.51257   -0.91148
     0.49809   -0.93444
     0.48365   -0.95062
     0.46918   -0.96480
     0.45461   -0.97912
     0.43999   -0.99667
     0.42533   -1.01713
     0.41070   -1.03917
     0.39609   -1.06278
     0.38152   -1.08789
     0.36698   -1.11388
     0.35245   -1.14018
     0.33791   -1.16518
     0.32335   -1.19046
     0.30876   -1.21774
     0.29416   -1.24935
     0.27956   -1.28643
     0.26500   -1.32746
     0.25047   -1.37255
     0.23598   -1.42243
     0.22152   -1.47686
     0.20711   -1.53595
     0.19277   -1.60061
     0.17850   -1.67089
     0.16425   -1.74266
     0.14997   -1.82594
     0.13576   -1.93902
     0.12174   -2.07146
     0.10798   -2.21995
     0.09433   -2.39054
     0.08066   -2.59943
     0.06748   -2.91770
     0.05537   -3.33297
     0.04397   -3.74493
     0.03358   -4.40715
     0.02548   -5.26258
     0.01847   -5.58731
     0.01250   -6.12225
     0.00834   -7.68770
     0.00554   -8.99225
     0.00356   -9.04665
     0.00207   -8.84883
     0.00095   -9.88999
     0.00022  -11.18758
    -0.00012  -11.99052
    -0.00009  -11.56673
     0.00035   -9.90595
     0.00119   -8.43836
     0.00246   -4.82284
     0.00426   -0.96735
     0.00651    0.04265
     0.00920    0.38192
     0.01243    0.61542
     0.01652    0.82463
     0.02211    0.94946
     0.03029    0.99608
     0.04088    0.99438
     0.05379    0.96554
     0.06820    0.92445
     0.08226    0.88380
     0.09650    0.84672
     0.11119    0.81077
     0.12587    0.77665
     0.14034    0.74480
     0.15472    0.71682
     0.16928    0.69355
     0.18407    0.67053
     0.19884    0.64744
     0.21349    0.62586
     0.22806    0.60574
     0.24260    0.58711
     0.25717    0.57072
     0.27181    0.55655
     0.28655    0.54353
     0.30135    0.53086
     0.31618    0.51746
     0.33098    0.50418
     0.34572    0.49143
     0.36042    0.47974
     0.37512    0.46897
     0.38983    0.45881
     0.40456    0.44914
     0.41930    0.43987
     0.43404    0.43091
     0.44878    0.42209
     0.46353    0.41305
     0.47829    0.40401
     0.49302    0.39514
     0.50765    0.38580
     0.52210    0.37669
     0.53637    0.36968
     0.55056    0.36762
     0.56484    0.37594
     0.57925    0.37876
     0.59354    0.36897
     0.60772    0.37019
     0.62207    0.38165
     0.63668    0.38511
     0.65135    0.38640
     0.66593    0.39331
     0.68040    0.39539
     0.69481    0.39112
     0.70909    0.39989
     0.72319    0.41432
     0.73732    0.41214
     0.75166    0.40923
     0.76597    0.42185
     0.78019    0.43034
     0.79467    0.42991
     0.80930    0.43870
     0.82354    0.45201
     0.83742    0.45687
     0.85133    0.45631
     0.86556    0.45091
     0.88001    0.45160
     0.89409    0.46167
     0.90767    0.46503
     0.92109    0.46054
     0.93459    0.44994
     0.94822    0.43670
     0.96165    0.43187
     0.97409    0.42136
     0.98473    0.38511
     0.99354    0.34356
     1.00000    0.15371
