#      x          Cp  
     1.00000    0.46977
     0.99163    0.28899
     0.98048    0.22711
     0.96766    0.16845
     0.95331    0.11612
     0.93775    0.06513
     0.92131    0.01458
     0.90432   -0.03597
     0.88705   -0.08665
     0.86974   -0.13765
     0.85250   -0.18856
     0.83538   -0.23985
     0.81850   -0.29448
     0.80184   -0.34369
     0.78523   -0.38329
     0.76853   -0.41986
     0.75174   -0.45522
     0.73489   -0.49185
     0.71802   -0.52896
     0.70115   -0.56595
     0.68427   -0.60302
     0.66740   -0.64040
     0.65055   -0.67791
     0.63373   -0.71552
     0.61693   -0.75311
     0.60016   -0.79062
     0.58343   -0.82805
     0.56674   -0.86541
     0.55009   -0.90240
     0.53348   -0.93878
     0.51690   -0.97465
     0.50038   -1.01004
     0.48390   -1.04449
     0.46745   -1.07743
     0.45103   -1.10903
     0.43466   -1.13997
     0.41834   -1.16814
     0.40197   -1.18678
     0.38545   -1.19982
     0.36877   -1.21808
     0.35203   -1.24189
     0.33530   -1.26775
     0.31857   -1.29569
     0.30185   -1.32645
     0.28517   -1.36018
     0.26855   -1.39695
     0.25200   -1.43727
     0.23555   -1.48239
     0.21922   -1.53234
     0.20306   -1.58780
     0.18711   -1.65005
     0.17143   -1.72050
     0.15610   -1.79971
     0.14122   -1.88847
     0.12689   -1.98862
     0.11327   -2.10076
     0.10048   -2.22590
     0.08867   -2.36325
     0.07791   -2.51085
     0.06822   -2.67066
     0.05960   -2.83730
     0.05196   -3.01526
     0.04522   -3.19574
     0.03927   -3.38492
     0.03400   -3.57634
     0.02933   -3.76939
     0.02519   -3.97383
     0.02150   -4.16911
     0.01820   -4.36431
     0.01526   -4.56181
     0.01263   -4.73605
     0.01030   -4.89399
     0.00824   -5.04128
     0.00643   -5.14214
     0.00487   -5.18288
     0.00352   -5.16415
     0.00240   -5.07797
     0.00151   -4.91264
     0.00083   -4.65140
     0.00036   -4.32138
     0.00009   -3.94788
    -0.00000   -3.53126
     0.00009   -3.06831
     0.00038   -2.57489
     0.00089   -2.05280
     0.00165   -1.47351
     0.00267   -0.89577
     0.00396   -0.39879
     0.00549    0.00688
     0.00727    0.32636
     0.00931    0.56630
     0.01159    0.73691
     0.01414    0.85293
     0.01698    0.92873
     0.02012    0.97350
     0.02360    0.99517
     0.02747    0.99978
     0.03180    0.99162
     0.03665    0.97385
     0.04212    0.94892
     0.04831    0.91849
     0.05536    0.88403
     0.06342    0.84661
     0.07260    0.80725
     0.08303    0.76697
     0.09473    0.72680
     0.10768    0.68745
     0.12172    0.64990
     0.13668    0.61464
     0.15237    0.58172
     0.16858    0.55119
     0.18518    0.52294
     0.20206    0.49671
     0.21913    0.47226
     0.23635    0.44938
     0.25367    0.42787
     0.27105    0.40745
     0.28848    0.38811
     0.30593    0.36973
     0.32339    0.35212
     0.34085    0.33519
     0.35829    0.31883
     0.37570    0.30266
     0.39298    0.28518
     0.41005    0.26843
     0.42700    0.25610
     0.44397    0.24683
     0.46099    0.23884
     0.47805    0.23214
     0.49515    0.22696
     0.51231    0.22311
     0.52953    0.22033
     0.54682    0.21856
     0.56416    0.21776
     0.58158    0.21789
     0.59907    0.21897
     0.61663    0.22087
     0.63428    0.22338
     0.65200    0.22653
     0.66981    0.23039
     0.68769    0.23488
     0.70566    0.23997
     0.72368    0.24546
     0.74169    0.25125
     0.75959    0.25790
     0.77733    0.26484
     0.79486    0.27078
     0.81227    0.27276
     0.82981    0.26893
     0.84753    0.26663
     0.86532    0.26564
     0.88312    0.26482
     0.90087    0.26497
     0.91840    0.26685
     0.93547    0.27043
     0.95170    0.27722
     0.96666    0.28823
     0.97997    0.30758
     0.99145    0.33584
     1.00000    0.46977
