#      x          Cp  
     1.00000    0.23448
     0.99149    0.14607
     0.98052    0.11331
     0.96806    0.08827
     0.95394    0.06727
     0.93827    0.04822
     0.92163    0.03122
     0.90470    0.01686
     0.88785    0.00653
     0.87114   -0.00106
     0.85457   -0.00758
     0.83812   -0.01387
     0.82177   -0.02072
     0.80549   -0.02905
     0.78922   -0.04109
     0.77293   -0.05645
     0.75658   -0.07380
     0.74016   -0.09279
     0.72367   -0.11303
     0.70714   -0.13408
     0.69062   -0.15442
     0.67416   -0.17426
     0.65781   -0.19508
     0.64157   -0.21757
     0.62544   -0.24257
     0.60937   -0.27110
     0.59332   -0.30588
     0.57719   -0.34839
     0.56094   -0.39700
     0.54453   -0.45190
     0.52796   -0.51347
     0.51127   -0.58227
     0.49456   -0.66049
     0.47794   -0.74918
     0.46153   -0.84453
     0.44537   -0.94461
     0.42952   -1.04761
     0.41398   -1.15180
     0.39873   -1.25495
     0.38376   -1.35430
     0.36902   -1.45069
     0.35449   -1.54380
     0.34013   -1.63280
     0.32587   -1.71639
     0.31166   -1.79268
     0.29743   -1.85598
     0.28311   -1.89967
     0.26863   -1.93291
     0.25396   -1.95952
     0.23909   -1.98256
     0.22409   -2.00549
     0.20906   -2.03222
     0.19414   -2.07525
     0.17950   -2.13792
     0.16521   -2.20491
     0.15125   -2.27094
     0.13752   -2.32912
     0.12397   -2.38513
     0.11070   -2.44417
     0.09797   -2.52030
     0.08605   -2.62847
     0.07505   -2.72884
     0.06491   -2.80003
     0.05563   -2.84704
     0.04729   -2.87851
     0.03999   -2.90734
     0.03367   -2.93738
     0.02821   -2.96952
     0.02347   -3.01140
     0.01932   -3.04991
     0.01569   -3.07263
     0.01254   -3.12480
     0.00983   -3.28727
     0.00756   -3.47950
     0.00567   -3.67118
     0.00411   -3.85041
     0.00283   -4.00305
     0.00181   -4.11084
     0.00102   -4.14940
     0.00045   -4.08920
     0.00009   -3.89855
    -0.00006   -3.55275
     0.00000   -3.03171
     0.00029   -2.35010
     0.00080   -1.67568
     0.00152   -1.07168
     0.00246   -0.55627
     0.00361   -0.13007
     0.00500    0.21401
     0.00664    0.48525
     0.00856    0.69255
     0.01078    0.84281
     0.01334    0.94161
     0.01628    0.99070
     0.01968    0.99930
     0.02361    0.98497
     0.02816    0.95931
     0.03341    0.92426
     0.03943    0.88197
     0.04626    0.83489
     0.05392    0.78882
     0.06265    0.74892
     0.07282    0.71530
     0.08460    0.68244
     0.09761    0.65338
     0.11135    0.63569
     0.12561    0.62698
     0.14028    0.62285
     0.15531    0.61624
     0.17074    0.60263
     0.18658    0.58673
     0.20281    0.57024
     0.21935    0.55506
     0.23610    0.54031
     0.25297    0.52581
     0.26988    0.51153
     0.28679    0.49746
     0.30369    0.48357
     0.32060    0.46986
     0.33753    0.45637
     0.35451    0.44317
     0.37153    0.43037
     0.38860    0.41815
     0.40572    0.40702
     0.42286    0.39729
     0.44003    0.38835
     0.45721    0.37999
     0.47440    0.37204
     0.49159    0.36435
     0.50878    0.35656
     0.52598    0.34862
     0.54320    0.34073
     0.56042    0.33295
     0.57766    0.32530
     0.59490    0.31783
     0.61215    0.31063
     0.62940    0.30368
     0.64664    0.29692
     0.66389    0.29033
     0.68113    0.28391
     0.69838    0.27767
     0.71563    0.27168
     0.73289    0.26583
     0.75015    0.26006
     0.76740    0.25430
     0.78466    0.24848
     0.80187    0.24243
     0.81903    0.23592
     0.83610    0.22927
     0.85309    0.22263
     0.87003    0.21613
     0.88695    0.20989
     0.90391    0.20431
     0.92093    0.19981
     0.93771    0.19599
     0.95355    0.19284
     0.96784    0.19076
     0.98041    0.19077
     0.99146    0.19768
     1.00000    0.23448
