#      x          Cp  
     1.00000***********
     0.99121  -27.58226
     0.97964    0.47649
     0.96673   -0.08878
     0.95233   -0.04459
     0.93657   -0.08413
     0.91958   -0.11685
     0.90165   -0.15259
     0.88305   -0.19022
     0.86405   -0.22877
     0.84487   -0.26960
     0.82577   -0.31291
     0.80697   -0.35350
     0.78872   -0.40518
     0.77124   -0.44926
     0.75471   -0.45221
     0.73916   -0.54649
     0.72424   -0.70054
     0.70931   -0.70565
     0.69392   -0.66822
     0.67801   -0.75648
     0.66160   -0.86859
     0.64470   -0.93941
     0.62746   -1.01509
     0.61013   -1.09771
     0.59279   -1.17307
     0.57542   -1.24535
     0.55804   -1.31703
     0.54069   -1.38586
     0.52335   -1.45148
     0.50602   -1.51554
     0.48871   -1.57838
     0.47143   -1.64013
     0.45418   -1.69931
     0.43697   -1.75507
     0.41978   -1.80750
     0.40260   -1.85768
     0.38546   -1.90858
     0.36838   -1.95848
     0.35136   -2.00625
     0.33442   -2.05267
     0.31756   -2.09874
     0.30083   -2.14847
     0.28424   -2.19340
     0.26777   -2.22648
     0.25138   -2.25574
     0.23510   -2.28433
     0.21897   -2.31524
     0.20303   -2.34826
     0.18735   -2.38397
     0.17200   -2.42298
     0.15706   -2.46518
     0.14263   -2.51060
     0.12882   -2.55999
     0.11573   -2.61391
     0.10347   -2.67225
     0.09210   -2.73476
     0.08169   -2.80099
     0.07222   -2.87102
     0.06369   -2.94659
     0.05603   -3.02542
     0.04917   -3.10905
     0.04304   -3.19559
     0.03756   -3.29105
     0.03265   -3.38886
     0.02824   -3.49437
     0.02429   -3.60361
     0.02073   -3.73162
     0.01753   -3.87976
     0.01468   -4.00903
     0.01213   -4.09772
     0.00986   -4.16065
     0.00784   -4.24982
     0.00606   -4.44670
     0.00457   -4.57577
     0.00338   -4.42668
     0.00249   -3.86150
     0.00180   -3.28346
     0.00125   -2.81777
     0.00077   -2.60291
     0.00035   -2.67836
     0.00006   -2.73332
    -0.00003   -2.53394
     0.00009   -2.14425
     0.00039   -1.73140
     0.00087   -1.33912
     0.00151   -1.00283
     0.00233   -0.69148
     0.00334   -0.39602
     0.00456   -0.11820
     0.00601    0.13862
     0.00770    0.37144
     0.00966    0.57604
     0.01190    0.74226
     0.01443    0.86718
     0.01725    0.94880
     0.02037    0.98883
     0.02378    0.99997
     0.02749    0.99408
     0.03152    0.97948
     0.03592    0.96042
     0.04073    0.93917
     0.04603    0.91686
     0.05189    0.89393
     0.05841    0.86968
     0.06563    0.84300
     0.07363    0.82013
     0.08253    0.80524
     0.09246    0.78084
     0.10359    0.74521
     0.11614    0.72303
     0.13036    0.70120
     0.14616    0.67438
     0.16336    0.65047
     0.18169    0.62673
     0.20080    0.60416
     0.22041    0.58291
     0.24031    0.56284
     0.26038    0.54401
     0.28052    0.52624
     0.30066    0.50943
     0.32077    0.49352
     0.34081    0.47843
     0.36076    0.46382
     0.38058    0.44982
     0.40025    0.43694
     0.41980    0.42626
     0.43928    0.41772
     0.45875    0.41115
     0.47822    0.40610
     0.49770    0.40272
     0.51722    0.40117
     0.53681    0.40167
     0.55651    0.40429
     0.57636    0.40891
     0.59637    0.41501
     0.61649    0.42161
     0.63658    0.42804
     0.65656    0.43431
     0.67642    0.44053
     0.69612    0.44680
     0.71565    0.45319
     0.73499    0.45936
     0.75414    0.46545
     0.77307    0.47149
     0.79177    0.47706
     0.81021    0.48271
     0.82836    0.48742
     0.84620    0.49161
     0.86359    0.49836
     0.88051    0.49964
     0.89694    0.50199
     0.91273    0.50420
     0.92780    0.50283
     0.94209    0.50282
     0.95555    0.47306
     0.96818    0.53720
     0.97997    0.28003
     0.99105  -15.46539
     1.00000***********
