#      x          Cp  
     1.00000    0.30983
     0.99394    0.20395
     0.98615    0.20794
     0.97667    0.20196
     0.96552    0.19004
     0.95274    0.17742
     0.93839    0.16418
     0.92250    0.14946
     0.90514    0.13393
     0.88637    0.11652
     0.86625    0.09733
     0.84486    0.07673
     0.82226    0.05361
     0.79854    0.02851
     0.77379    0.00145
     0.74809   -0.02888
     0.72152   -0.06264
     0.69419   -0.10015
     0.66619   -0.14234
     0.63762   -0.18955
     0.60858   -0.24355
     0.57917   -0.30499
     0.54949   -0.37450
     0.51965   -0.45543
     0.48976   -0.55109
     0.45992   -0.66726
     0.43023   -0.81698
     0.40080   -1.02055
     0.37173   -1.25733
     0.34313   -1.49418
     0.31509   -1.67111
     0.28772   -1.80291
     0.26111   -1.91340
     0.23535   -2.00230
     0.21054   -2.07464
     0.18676   -2.13675
     0.16409   -2.19639
     0.14263   -2.25105
     0.12243   -2.30517
     0.10358   -2.36435
     0.08614   -2.41854
     0.07016   -2.48307
     0.05572   -2.57868
     0.04285   -2.69740
     0.03160   -2.85262
     0.02201   -3.05380
     0.01413   -3.37881
     0.00796   -3.54656
     0.00354   -3.23930
     0.00089   -2.64369
     0.00000   -1.52278
     0.00089   -0.52741
     0.00354    0.30324
     0.00796    0.81350
     0.01413    0.99692
     0.02201    0.95917
     0.03160    0.88544
     0.04285    0.81708
     0.05572    0.75727
     0.07016    0.70510
     0.08614    0.65896
     0.10358    0.61775
     0.12243    0.58059
     0.14263    0.54642
     0.16409    0.51497
     0.18676    0.48559
     0.21054    0.45801
     0.23535    0.43201
     0.26111    0.40728
     0.28772    0.38372
     0.31509    0.36118
     0.34313    0.33944
     0.37173    0.31873
     0.40080    0.29856
     0.43023    0.27917
     0.45992    0.26007
     0.48976    0.24175
     0.51965    0.22376
     0.54949    0.20617
     0.57917    0.18906
     0.60858    0.17237
     0.63762    0.15608
     0.66619    0.13996
     0.69419    0.12463
     0.72152    0.10916
     0.74809    0.09443
     0.77379    0.08003
     0.79854    0.06276
     0.82226    0.08647
     0.84486    0.10795
     0.86625    0.12770
     0.88637    0.14653
     0.90514    0.16377
     0.92250    0.17954
     0.93839    0.19337
     0.95274    0.20601
     0.96552    0.21660
     0.97667    0.22582
     0.98615    0.22793
     0.99394    0.21841
     1.00000    0.30983
