#      x          Cp  
     1.00000    0.27189
     0.95000    0.17712
     0.90000    0.03818
     0.85000    0.11044
     0.80000    0.04773
     0.75000   -0.13354
     0.70000   -0.26848
     0.65000   -0.16696
     0.60000   -0.52541
     0.55000   -0.83359
     0.50000   -1.32285
     0.45000   -1.96018
     0.40000   -1.93318
     0.35000   -2.42284
     0.30000   -1.88481
     0.25000   -2.32834
     0.20000   -2.04437
     0.15000   -2.57677
     0.10000   -2.39423
     0.07500   -3.04588
     0.05000   -2.29108
     0.03750   -2.86957
     0.02500   -2.54755
     0.01250   -3.55049
     0.00000   -1.77996
     0.01250    0.95575
     0.02500    0.91760
     0.03750    0.83899
     0.05000    0.78288
     0.07500    0.72283
     0.10000    0.66707
     0.15000    0.60613
     0.20000    0.50237
     0.25000    0.50775
     0.30000    0.44150
     0.35000    0.44868
     0.40000    0.37172
     0.45000    0.45115
     0.50000    0.35137
     0.55000    0.35946
     0.60000    0.33731
     0.65000    0.34935
     0.70000    0.28575
     0.75000    0.29351
     0.80000    0.29375
     0.85000    0.30465
     0.90000    0.28142
     0.95000    0.26334
     1.00000    0.27189
