#      x          Cp  
     1.00000    0.40407
     0.99259    0.22777
     0.98226    0.16749
     0.96967    0.11173
     0.95548    0.06476
     0.94076    0.02577
     0.92573   -0.00792
     0.91052   -0.04042
     0.89530   -0.06991
     0.88005   -0.09575
     0.86475   -0.12229
     0.84950   -0.14845
     0.83426   -0.17103
     0.81897   -0.19333
     0.80368   -0.21645
     0.78841   -0.23833
     0.77312   -0.25966
     0.75784   -0.28136
     0.74257   -0.30216
     0.72729   -0.32202
     0.71199   -0.34217
     0.69668   -0.36287
     0.68139   -0.38430
     0.66612   -0.40514
     0.65086   -0.42508
     0.63557   -0.44383
     0.62025   -0.46359
     0.60494   -0.48547
     0.58965   -0.50655
     0.57437   -0.52710
     0.55907   -0.54810
     0.54377   -0.56969
     0.52848   -0.59189
     0.51320   -0.61429
     0.49792   -0.63628
     0.48261   -0.65714
     0.46728   -0.68170
     0.45200   -0.70935
     0.43674   -0.73264
     0.42143   -0.75668
     0.40612   -0.78567
     0.39084   -0.81483
     0.37557   -0.84410
     0.36028   -0.87497
     0.34498   -0.90848
     0.32969   -0.94542
     0.31442   -0.98610
     0.29920   -1.03086
     0.28402   -1.07889
     0.26888   -1.12954
     0.25377   -1.18471
     0.23869   -1.24756
     0.22368   -1.31866
     0.20879   -1.40101
     0.19406   -1.49344
     0.17953   -1.59611
     0.16520   -1.70890
     0.15112   -1.83467
     0.13734   -1.97270
     0.12390   -2.12362
     0.11085   -2.28771
     0.09826   -2.46036
     0.08619   -2.64460
     0.07474   -2.84464
     0.06402   -3.04687
     0.05408   -3.24029
     0.04506   -3.42703
     0.03702   -3.56784
     0.02994   -3.63973
     0.02387   -3.79450
     0.01885   -4.01678
     0.01475   -4.22107
     0.01138   -4.40571
     0.00864   -4.61324
     0.00641   -4.84358
     0.00459   -5.02806
     0.00312   -5.20627
     0.00195   -5.33257
     0.00107   -5.39784
     0.00046   -5.50053
     0.00011   -5.46884
    -0.00000   -5.18239
     0.00016   -4.64804
     0.00064   -3.92887
     0.00153   -2.56167
     0.00289   -1.05072
     0.00466   -0.13176
     0.00675    0.37449
     0.00921    0.67893
     0.01214    0.84562
     0.01562    0.93925
     0.01982    0.98645
     0.02497    1.00000
     0.03141    0.98826
     0.03946    0.95758
     0.04932    0.91404
     0.06090    0.86386
     0.07375    0.81267
     0.08742    0.76442
     0.10167    0.72067
     0.11628    0.68006
     0.13104    0.64323
     0.14587    0.60988
     0.16079    0.57963
     0.17580    0.55219
     0.19090    0.52693
     0.20604    0.50310
     0.22120    0.48087
     0.23638    0.46032
     0.25160    0.44109
     0.26683    0.42280
     0.28208    0.40557
     0.29734    0.38945
     0.31262    0.37424
     0.32791    0.35957
     0.34319    0.34543
     0.35847    0.33241
     0.37379    0.32020
     0.38909    0.30744
     0.40435    0.29600
     0.41967    0.28683
     0.43502    0.27600
     0.45030    0.26483
     0.46558    0.25705
     0.48094    0.24882
     0.49626    0.23905
     0.51154    0.23175
     0.52688    0.22533
     0.54222    0.21746
     0.55753    0.21051
     0.57284    0.20484
     0.58817    0.19939
     0.60350    0.19415
     0.61885    0.18912
     0.63418    0.18412
     0.64950    0.17942
     0.66482    0.17571
     0.68015    0.17254
     0.69549    0.16962
     0.71083    0.16688
     0.72618    0.16426
     0.74151    0.16164
     0.75683    0.15983
     0.77216    0.15894
     0.78750    0.15806
     0.80282    0.15766
     0.81816    0.15820
     0.83351    0.15878
     0.84883    0.15959
     0.86415    0.16174
     0.87948    0.16498
     0.89481    0.16918
     0.91014    0.17369
     0.92538    0.17965
     0.94045    0.18915
     0.95527    0.20174
     0.96955    0.21877
     0.98219    0.24387
     0.99256    0.27771
     1.00000    0.40407
