#      x          Cp  
     1.00000    0.22809
     0.99077    0.11371
     0.97890    0.13432
     0.96563    0.12369
     0.95096    0.11289
     0.93504    0.10023
     0.91804    0.08636
     0.90019    0.07155
     0.88171    0.05550
     0.86278    0.03822
     0.84353    0.01979
     0.82407    0.00043
     0.80445   -0.02034
     0.78473   -0.04246
     0.76493   -0.06593
     0.74507   -0.09101
     0.72516   -0.11817
     0.70520   -0.14709
     0.68521   -0.17827
     0.66518   -0.21217
     0.64511   -0.24902
     0.62499   -0.28941
     0.60483   -0.33389
     0.58460   -0.38309
     0.56430   -0.43844
     0.54393   -0.50080
     0.52349   -0.57114
     0.50303   -0.65103
     0.48265   -0.74228
     0.46253   -0.84770
     0.44294   -0.97223
     0.42424   -1.12737
     0.40682   -1.31537
     0.39069   -1.51177
     0.37559   -1.69946
     0.36108   -1.83896
     0.34683   -1.94405
     0.33268   -2.03975
     0.31863   -2.12665
     0.30465   -2.20080
     0.29070   -2.26550
     0.27679   -2.32596
     0.26292   -2.38106
     0.24912   -2.42803
     0.23539   -2.46822
     0.22176   -2.50200
     0.20825   -2.53180
     0.19491   -2.55921
     0.18178   -2.58407
     0.16893   -2.60641
     0.15640   -2.62415
     0.14424   -2.63743
     0.13252   -2.64582
     0.12127   -2.65227
     0.11057   -2.66013
     0.10047   -2.66907
     0.09101   -2.67982
     0.08221   -2.69154
     0.07406   -2.70431
     0.06656   -2.71901
     0.05968   -2.73544
     0.05338   -2.75298
     0.04762   -2.77214
     0.04236   -2.79175
     0.03756   -2.81480
     0.03317   -2.83736
     0.02915   -2.86357
     0.02548   -2.89141
     0.02213   -2.91891
     0.01906   -2.95430
     0.01627   -2.98617
     0.01372   -3.01592
     0.01141   -3.04930
     0.00934   -3.06216
     0.00749   -3.04616
     0.00586   -2.99772
     0.00445   -2.90710
     0.00326   -2.75555
     0.00228   -2.53896
     0.00148   -2.29933
     0.00087   -2.05405
     0.00042   -1.81731
     0.00014   -1.57929
     0.00001   -1.33596
     0.00003   -1.08211
     0.00021   -0.82365
     0.00055   -0.56652
     0.00105   -0.31326
     0.00174   -0.06935
     0.00260    0.15713
     0.00364    0.36143
     0.00487    0.54031
     0.00628    0.69367
     0.00791    0.81920
     0.00975    0.91348
     0.01180    0.97305
     0.01407    0.99856
     0.01656    0.99359
     0.01926    0.96574
     0.02217    0.92465
     0.02528    0.88174
     0.02860    0.84438
     0.03215    0.81411
     0.03595    0.78793
     0.04005    0.76723
     0.04448    0.74956
     0.04932    0.73203
     0.05465    0.71610
     0.06054    0.70044
     0.06712    0.68526
     0.07452    0.67060
     0.08293    0.65638
     0.09255    0.64232
     0.10360    0.62833
     0.11624    0.61448
     0.13057    0.60094
     0.14651    0.58785
     0.16388    0.57531
     0.18236    0.56353
     0.20166    0.55253
     0.22149    0.54245
     0.24167    0.53305
     0.26206    0.52412
     0.28258    0.51610
     0.30316    0.50851
     0.32378    0.50131
     0.34441    0.49454
     0.36502    0.48818
     0.38559    0.48219
     0.40611    0.47646
     0.42655    0.47092
     0.44689    0.46609
     0.46709    0.46096
     0.48721    0.45443
     0.50739    0.44521
     0.52776    0.43444
     0.54834    0.42313
     0.56914    0.41177
     0.59013    0.40030
     0.61129    0.38870
     0.63259    0.37700
     0.65404    0.36511
     0.67561    0.35309
     0.69729    0.34100
     0.71908    0.32874
     0.74096    0.31640
     0.76291    0.30387
     0.78491    0.29130
     0.80692    0.27864
     0.82887    0.26585
     0.85063    0.25328
     0.87203    0.24074
     0.89287    0.22840
     0.91287    0.21651
     0.93171    0.20507
     0.94907    0.19431
     0.96472    0.18396
     0.97857    0.17556
     0.99071    0.13915
     1.00000    0.22809
