#      x          Cp  
     1.00000    0.29461
     0.99564    0.19946
     0.98989    0.16262
     0.98302    0.13276
     0.97452    0.10510
     0.96355    0.07591
     0.95078    0.04628
     0.93860    0.02041
     0.92599   -0.00477
     0.91278   -0.02895
     0.89978   -0.05138
     0.88669   -0.07424
     0.87338   -0.09934
     0.86008   -0.12697
     0.84677   -0.15704
     0.83351   -0.19046
     0.82029   -0.22769
     0.80707   -0.26874
     0.79385   -0.31411
     0.78062   -0.36466
     0.76741   -0.42178
     0.75421   -0.49152
     0.74102   -0.57511
     0.72783   -0.66605
     0.71465   -0.76321
     0.70149   -0.86145
     0.68834   -0.94946
     0.67513   -0.99839
     0.66181   -0.99974
     0.64837   -0.98779
     0.63482   -0.98484
     0.62123   -1.01409
     0.60767   -1.05219
     0.59413   -1.08949
     0.58060   -1.11047
     0.56704   -1.11873
     0.55345   -1.12405
     0.53981   -1.13258
     0.52616   -1.15089
     0.51251   -1.17254
     0.49886   -1.19521
     0.48522   -1.21605
     0.47158   -1.23518
     0.45793   -1.25403
     0.44428   -1.27312
     0.43062   -1.29306
     0.41696   -1.31382
     0.40330   -1.33563
     0.38965   -1.35954
     0.37600   -1.38529
     0.36236   -1.41194
     0.34872   -1.43886
     0.33509   -1.46549
     0.32146   -1.49296
     0.30785   -1.52215
     0.29424   -1.55482
     0.28065   -1.58989
     0.26707   -1.62649
     0.25352   -1.66370
     0.23998   -1.70215
     0.22646   -1.74313
     0.21296   -1.78925
     0.19949   -1.84015
     0.18606   -1.89436
     0.17267   -1.95192
     0.15932   -2.01331
     0.14603   -2.08047
     0.13279   -2.15638
     0.11964   -2.24060
     0.10655   -2.33987
     0.09356   -2.45283
     0.08074   -2.57719
     0.06815   -2.71855
     0.05565   -2.93300
     0.04328   -3.20620
     0.03203   -3.36999
     0.02128   -4.00096
     0.01183   -4.62885
     0.00628   -4.85915
     0.00174   -7.34204
     0.00005  -10.27349
    -0.00018  -58.78843
     0.00149   -0.02326
     0.00509    0.43190
     0.01236    0.96525
     0.02486    0.99809
     0.03749    0.97533
     0.05083    0.94404
     0.06429    0.91585
     0.07762    0.89067
     0.09105    0.86664
     0.10464    0.84205
     0.11828    0.81892
     0.13191    0.79967
     0.14551    0.78190
     0.15912    0.76242
     0.17276    0.74183
     0.18646    0.72221
     0.20017    0.70524
     0.21389    0.68968
     0.22759    0.67506
     0.24129    0.66102
     0.25498    0.64732
     0.26868    0.63305
     0.28237    0.61807
     0.29605    0.60369
     0.30973    0.59157
     0.32340    0.58308
     0.33709    0.57610
     0.35078    0.56950
     0.36449    0.56156
     0.37820    0.55326
     0.39191    0.54527
     0.40562    0.53855
     0.41933    0.53303
     0.43303    0.52775
     0.44672    0.52190
     0.46042    0.51429
     0.47411    0.50633
     0.48781    0.49885
     0.50151    0.49345
     0.51521    0.49011
     0.52891    0.48758
     0.54262    0.48533
     0.55632    0.48270
     0.57003    0.48011
     0.58374    0.47781
     0.59744    0.47640
     0.61112    0.47561
     0.62480    0.47456
     0.63846    0.47242
     0.65211    0.46821
     0.66577    0.46288
     0.67944    0.45685
     0.69310    0.45050
     0.70676    0.44353
     0.72041    0.43537
     0.73407    0.42484
     0.74774    0.41386
     0.76142    0.40492
     0.77509    0.40134
     0.78874    0.39874
     0.80236    0.39303
     0.81596    0.38012
     0.82956    0.36490
     0.84320    0.35096
     0.85684    0.34147
     0.87042    0.33332
     0.88405    0.32483
     0.89750    0.31508
     0.91079    0.30497
     0.92426    0.29441
     0.93720    0.28410
     0.94959    0.27438
     0.96253    0.26466
     0.97391    0.25698
     0.98268    0.25242
     0.98971    0.25100
     0.99557    0.25725
     1.00000    0.29461
