#      x          Cp  
     1.00000    0.32486
     0.99053    0.17843
     0.97823    0.12543
     0.96429    0.06533
     0.94874    0.00922
     0.93171   -0.04234
     0.91340   -0.09206
     0.89416   -0.14386
     0.87434   -0.20084
     0.85426   -0.25998
     0.83412   -0.31940
     0.81409   -0.38465
     0.79429   -0.44775
     0.77455   -0.50047
     0.75494   -0.56543
     0.73564   -0.63553
     0.71664   -0.70195
     0.69786   -0.76371
     0.67928   -0.82893
     0.66094   -0.89365
     0.64278   -0.94975
     0.62465   -0.99878
     0.60664   -1.06122
     0.58877   -1.10938
     0.57082   -1.14019
     0.55266   -1.16339
     0.53429   -1.19086
     0.51578   -1.22027
     0.49716   -1.24828
     0.47842   -1.27372
     0.45953   -1.29869
     0.44050   -1.32530
     0.42136   -1.35449
     0.40218   -1.38654
     0.38304   -1.42402
     0.36399   -1.46462
     0.34504   -1.50484
     0.32614   -1.54345
     0.30729   -1.58447
     0.28857   -1.63318
     0.27010   -1.68872
     0.25193   -1.74758
     0.23404   -1.80738
     0.21646   -1.87208
     0.19936   -1.94910
     0.18299   -2.05087
     0.16742   -2.13523
     0.15257   -2.20361
     0.13855   -2.30507
     0.12553   -2.42771
     0.11358   -2.56512
     0.10266   -2.70392
     0.09269   -2.83135
     0.08359   -2.95492
     0.07528   -3.08846
     0.06770   -3.25186
     0.06081   -3.42382
     0.05453   -3.59494
     0.04881   -3.77347
     0.04359   -3.96614
     0.03883   -4.13601
     0.03446   -4.24446
     0.03045   -4.31386
     0.02675   -4.37718
     0.02334   -4.47457
     0.02019   -4.60400
     0.01730   -4.72478
     0.01466   -4.82758
     0.01225   -4.91553
     0.01008   -5.00425
     0.00814   -5.05363
     0.00644   -5.03514
     0.00498   -4.90383
     0.00375   -4.59492
     0.00273   -4.23799
     0.00188   -3.91478
     0.00119   -3.66850
     0.00065   -3.43541
     0.00027   -3.19793
     0.00005   -2.94858
    -0.00001   -2.68608
     0.00010   -2.42701
     0.00040   -2.15088
     0.00092   -1.83333
     0.00171   -1.45619
     0.00281   -0.98839
     0.00423   -0.51683
     0.00596   -0.08318
     0.00799    0.27730
     0.01029    0.53878
     0.01284    0.71441
     0.01560    0.82672
     0.01857    0.90158
     0.02177    0.95000
     0.02522    0.97916
     0.02892    0.99459
     0.03289    0.99995
     0.03718    0.99683
     0.04187    0.98692
     0.04703    0.97247
     0.05272    0.95428
     0.05897    0.93166
     0.06582    0.90507
     0.07329    0.87504
     0.08148    0.84346
     0.09051    0.81126
     0.10057    0.77871
     0.11181    0.74639
     0.12432    0.71347
     0.13798    0.67497
     0.15258    0.63567
     0.16814    0.60247
     0.18472    0.57062
     0.20212    0.53861
     0.22007    0.50671
     0.23834    0.47642
     0.25685    0.44954
     0.27569    0.42672
     0.29491    0.40603
     0.31445    0.38552
     0.33415    0.36541
     0.35391    0.34639
     0.37368    0.32848
     0.39346    0.31165
     0.41322    0.29578
     0.43292    0.28080
     0.45251    0.26648
     0.47197    0.25235
     0.49124    0.23906
     0.51020    0.22576
     0.52876    0.21377
     0.54700    0.20652
     0.56521    0.21034
     0.58359    0.21657
     0.60209    0.22432
     0.62088    0.24266
     0.64007    0.25961
     0.65949    0.27669
     0.67904    0.29604
     0.69852    0.31513
     0.71753    0.32425
     0.73576    0.35313
     0.75337    0.38065
     0.77076    0.37658
     0.78802    0.40188
     0.80509    0.43253
     0.82208    0.44630
     0.83899    0.45717
     0.85566    0.46899
     0.87186    0.48318
     0.88741    0.49757
     0.90231    0.50796
     0.91664    0.51107
     0.93050    0.51014
     0.94391    0.50683
     0.95671    0.50971
     0.96872    0.51450
     0.98002    0.50051
     0.99084    0.47552
     1.00000    0.32486
