#      x          Cp  
     1.00000    0.31317
     0.98968    0.10520
     0.97678    0.03638
     0.96261   -0.02025
     0.94703   -0.05727
     0.92993   -0.08721
     0.91141   -0.13155
     0.89168   -0.17531
     0.87079   -0.21248
     0.84909   -0.26057
     0.82693   -0.30615
     0.80442   -0.35052
     0.78184   -0.40363
     0.75939   -0.45428
     0.73712   -0.50953
     0.71521   -0.56893
     0.69369   -0.62686
     0.67253   -0.68387
     0.65163   -0.73646
     0.63093   -0.78606
     0.61029   -0.82629
     0.58957   -0.86331
     0.56873   -0.89757
     0.54764   -0.92415
     0.52619   -0.94896
     0.50436   -0.97347
     0.48208   -0.99550
     0.45940   -1.02688
     0.43652   -1.06883
     0.41362   -1.11910
     0.39096   -1.18318
     0.36881   -1.26349
     0.34741   -1.35735
     0.32689   -1.46018
     0.30730   -1.56923
     0.28866   -1.68510
     0.27096   -1.80453
     0.25414   -1.92457
     0.23817   -2.04413
     0.22300   -2.16171
     0.20859   -2.27603
     0.19490   -2.38791
     0.18191   -2.49640
     0.16959   -2.59854
     0.15792   -2.69418
     0.14688   -2.78594
     0.13644   -2.87397
     0.12659   -2.95670
     0.11731   -3.03424
     0.10856   -3.10688
     0.10034   -3.17588
     0.09260   -3.24463
     0.08534   -3.31020
     0.07852   -3.37131
     0.07212   -3.42871
     0.06612   -3.48595
     0.06050   -3.54044
     0.05523   -3.59014
     0.05029   -3.63609
     0.04566   -3.68067
     0.04132   -3.72110
     0.03725   -3.75855
     0.03344   -3.79040
     0.02988   -3.81970
     0.02655   -3.84594
     0.02343   -3.86172
     0.02053   -3.86309
     0.01783   -3.84782
     0.01533   -3.82321
     0.01300   -3.79543
     0.01086   -3.77426
     0.00888   -3.75303
     0.00707   -3.75203
     0.00543   -3.79317
     0.00400   -3.80213
     0.00278   -3.73622
     0.00181   -3.50620
     0.00107   -3.17153
     0.00054   -2.82053
     0.00019   -2.47343
     0.00000   -2.15052
    -0.00003   -1.86583
     0.00008   -1.69383
     0.00037   -1.56802
     0.00094   -1.34752
     0.00188   -0.95257
     0.00321   -0.47133
     0.00490   -0.01923
     0.00691    0.32560
     0.00917    0.56756
     0.01165    0.73458
     0.01434    0.84699
     0.01723    0.91904
     0.02031    0.96231
     0.02358    0.98626
     0.02705    0.99763
     0.03072    0.99982
     0.03462    0.99509
     0.03877    0.98506
     0.04319    0.97093
     0.04792    0.95352
     0.05298    0.93347
     0.05841    0.91125
     0.06426    0.88729
     0.07057    0.86193
     0.07739    0.83524
     0.08478    0.80745
     0.09282    0.77890
     0.10157    0.74985
     0.11112    0.72050
     0.12158    0.69093
     0.13303    0.66052
     0.14553    0.62934
     0.15908    0.59735
     0.17368    0.56511
     0.18934    0.53546
     0.20603    0.50671
     0.22364    0.47662
     0.24194    0.44654
     0.26084    0.42128
     0.28043    0.40043
     0.30055    0.37716
     0.32104    0.35654
     0.34184    0.33666
     0.36283    0.31784
     0.38393    0.29993
     0.40503    0.28264
     0.42607    0.26669
     0.44699    0.25228
     0.46769    0.23625
     0.48809    0.22143
     0.50816    0.20893
     0.52795    0.19876
     0.54752    0.19252
     0.56697    0.19149
     0.58651    0.19934
     0.60638    0.21396
     0.62672    0.23158
     0.64763    0.25328
     0.66911    0.27310
     0.69090    0.29079
     0.71277    0.31238
     0.73461    0.33768
     0.75604    0.36349
     0.77671    0.38850
     0.79652    0.41065
     0.81548    0.42914
     0.83370    0.44312
     0.85123    0.45565
     0.86796    0.47224
     0.88383    0.48651
     0.89896    0.49635
     0.91348    0.49977
     0.92750    0.50166
     0.94097    0.50468
     0.95390    0.50660
     0.96627    0.50660
     0.97820    0.49141
     0.98989    0.46871
     1.00000    0.31317
